Virulence,Replicate,ShannonDiversity
0.7,35,2.42177
0.7,36,0.713224
0.7,37,0.551367
0.7,38,0.00637735
0.7,39,0.948393
0.7,40,2.25737
0.7,41,1.39485
0.7,42,0.547157
0.7,43,2.07258
0.7,44,1.32344
0.7,45,1.00134
0.7,46,1.0426
0.7,47,0
0.7,48,1.1391
0.7,49,2.38326
0.7,50,0.0568192
0.8,1,1.4338
0.8,2,2.0797
0.8,3,0.892139
0.8,4,2.38474
0.8,5,0.00698024
0.8,6,1.97176
0.8,7,0
0.8,8,1.42847
0.8,9,1.71595
0.8,10,0
0.8,11,0.421927
0.8,12,1.17992
0.8,13,0.93247
0.8,14,2.03252
0.8,15,0.960912
0.8,16,2.38415
0.8,17,1.87913
0.8,18,1.23889
0.8,19,1.5843
0.8,20,1.11849
0.8,21,2.02297
0.8,22,0
0.8,23,2.13882
0.8,24,2.53339
0.8,25,1.21234
0.8,26,0.0591347
0.8,27,1.57826
0.8,28,1.72521
0.8,29,0.293153
0.8,30,0
0.8,31,0
0.8,32,1.6996
0.8,33,2.17865
0.8,34,1.79258
0.8,35,1.9208
0.8,36,0
0.8,37,1.58325
0.8,38,0.343235
0.8,39,1.98001
0.8,40,0.980876
0.8,41,1.08938
0.8,42,0.979254
0.8,43,1.19045
0.8,44,1.73888
0.8,45,1.1541
0.8,46,1.98161
0.8,47,2.07718
0.8,48,1.56641
0.8,49,0
0.8,50,1.9909
0.9,1,1.03693
0.9,2,0.938018
0.9,3,0.995956
0.9,4,1.00697
0.9,5,0.968258
0.9,6,0
0.9,7,0.416046
0.9,8,1.57031
0.9,9,2.1224
0.9,10,2.46144
0.9,11,0.969003
0.9,12,0
0.9,13,2.20476
0.9,14,0.999556
0.9,15,1.82014
0.9,16,1.58125
0.9,17,1.95026
0.9,18,1.633
0.9,19,1.85485
0.9,20,0.159017
0.9,21,0.997556
0.9,22,1.93562
0.9,23,1.8145
0.9,24,0.999802
0.9,25,0
0.9,26,0.186966
0.9,27,1.56984
0.9,28,1.66055
0.9,29,0.998564
0.9,30,2.28026
0.9,31,1.56022
0.9,32,0.992335
0.9,33,1.55725
0.9,34,1.53615
0.9,35,1.58458
0.9,36,2.19565
0.9,37,1.32732
0.9,38,2.16535
0.9,39,1.7112
0.9,40,1.88554
0.9,41,0.960891
0.9,42,0.95828
0.9,43,0.99046
0.9,44,2.17578
0.9,45,0.890169
0.9,46,1.92279
0.9,47,1.56433
0.9,48,1.87038
0.9,49,1.26228
0.9,50,0
1.0,1,0.134478
1.0,2,2.16044
1.0,3,0
1.0,4,0
1.0,5,0
1.0,6,0
1.0,7,1.52632
1.0,8,0.935883
1.0,9,0.66981
1.0,10,0
1.0,11,0
1.0,12,0
1.0,13,0
1.0,14,1.35093
1.0,15,0.392939
1.0,16,0
1.0,17,0
1.0,18,0
1.0,19,0.519065
1.0,20,0.738403
1.0,21,0
1.0,22,0
1.0,23,0
1.0,24,0
1.0,25,0
1.0,26,0
1.0,27,0
1.0,28,0
1.0,29,0.460192
1.0,30,0.909254
1.0,31,0.971351
1.0,32,0
1.0,33,0.887569
1.0,34,0
1.0,35,0
1.0,36,0
1.0,37,0
1.0,38,0
1.0,39,0
1.0,40,1.51456
1.0,41,0
1.0,42,0
1.0,43,0
1.0,44,0.716393
1.0,45,0
1.0,46,0.644337
1.0,47,0.875816
1.0,48,0
1.0,49,0
1.0,50,0
 ,1,0
 ,2,0
 ,3,0.833645
 ,4,0
 ,5,0.990309
 ,6,0
 ,7,0
 ,8,0
 ,9,0.0614139
 ,10,0.316439
 ,11,0.904773
 ,12,0.884122
 ,13,0
 ,14,0
 ,15,0
 ,16,0
 ,17,0.0134949
 ,18,0.882519
 ,19,0
 ,20,0.98683
 ,21,0
 ,22,0
 ,23,0
 ,24,0
 ,25,0
 ,26,0
 ,27,1.70272
 ,28,0.169556
 ,29,0.94975
 ,30,0.240084
 ,31,0.925913
 ,32,0
 ,33,0.693356
 ,34,0
 ,35,0.31017
 ,36,0
 ,37,0
 ,38,0
 ,39,0
 ,40,0
 ,41,0
 ,42,0
 ,43,0
 ,44,0
 ,45,0.391061
 ,46,0.00166884
 ,47,0
 ,48,0.444463
 ,49,0.383512
 ,50,0.511329
