ord	mouza	village	VILLAGE	di	long	lat	Best.Longitude	Best.Latitude	BAMvill[, 12]
122	39478	3947801	Joar Hamchadi	109	90,66081914	23,77609219	90,66081914	23,77609219	Mouza loc
123	39613	3961301	Lalurkandi	63	90,67611842	23,79588861	90,68007802	23,72927357	Vill Loc for Lex1
124	39618	3961801	Goal Para	39	90,66284402	23,78382953	90,66219567	23,78269491	lat long all
125	39618	3961802	Dakshinpara	22	90,66284402	23,78382953	NA	NA	
126	39720	3972001	Naikahan	79	90,6656939	23,77051574	90,65905811	23,77179835	lat long all
127	39882	3988201	Singapur	37	90,67056869	23,7664728	90,66789461	23,76658288	lat long all
128	39930	3993001	Sultansadi	95	90,67611842	23,76528782	90,67159491	23,76447102	lat long all
129	39962	3996201	Turkini	23	90,66779381	23,80007095	90,66779381	23,80007095	Mouza loc
130	47032	4703201	Atabdi	34	90,63479533	23,75497137	90,63025442	23,75731975	lat long all
131	47091	4709101	Ballabhdi	76	90,65346947	23,74967372	90,64392087	23,74809457	Vill Loc for Lex1
132	47091	4709102	Ballabhdi Khanda	36	90,65346947	23,74967372	90,63984245	23,75131394	lat long all
133	47091	4709103	Barujkhanda	8	90,65346947	23,74967372	90,65346947	23,74367372	Mouza loc
134	47150	4715001	Bhiti Kamaldi	59	90,62958479	23,74864873	90,62741397	23,7449582	Vill Loc for Lex1
135	47150	4715002	Para Manohardi	61	90,62958479	23,74864873	90,62103801	23,75130742	Vill Loc for Lex1
136	47274	4727401	Chhota Salmadi	19	90,66951872	23,76138429	NA	NA	
137	47274	4727402	Salmadi	22	90,66951872	23,76138429	NA	NA	
138	47306	4730601	Dariabad	22	90,64221999	23,7481402	90,6328921	23,75343226	Vill Loc for Lex1
139	47349	4734901	Dhandi	53	90,63787019	23,74312139	90,62896393	23,74561072	Vill Loc for Lex1
140	47354	4735401	Dhandi Udoydi (Baroani)	35	90,6350953	23,74834931	NA	NA	
141	47392	4739201	Gadadhardi	16	90,6524195	23,73524466	90,64439165	23,73106721	Vill Loc for Lex1
142	47392	4739202	Chandibardi	28	90,6524195	23,73524466	90,64952504	23,73581404	Vill Loc for Lex1
143	47392	4739203	Saizadi	16	90,6524195	23,73524466	90,64977109	23,73316149	Vill Loc for Lex1
144	47424	4742401	Hazadi	32	90,65729429	23,75155578	90,65729429	23,74855578	Mouza loc
145	47424	4742402	Noapara	47	90,65729429	23,75155578	90,65729429	23,74555578	Mouza loc
146	47424	4742403	Singhadirkanda	19	90,65729429	23,75155578	90,64504506	23,74700365	Vill Loc for Lex1
147	47424	4742499	Apradi	11	90,65729429	23,75155578	90,65729429	23,75155578	Mouza loc
148	47435	4743501	Ilamdi (Khondakarkandi)	153	90,66486894	23,75127698	NA	NA	
