month,day,hour,Wind speed,site2,site4
2,22,0,4.1,1.0276,5.3584
2,22,6,6.5,11.6601,4.434
2,22,12,11.3,20.753,14.8064
2,22,18,12.8,10.0532,14.4524
2,23,0,9.7,6.3916,8.1111
2,23,6,7.8,4.3708,4.6812
2,23,12,10.3,11.641,7.2895
2,23,18,7.9,8.7679,7.8111
2,24,0,8.8,9.7645,8.5382
2,24,6,10.6,8.0266,8.1011
2,24,12,10.6,8.9277,9.8507
2,24,18,10.2,7.8946,9.7033
2,25,0,11.4,9.3743,7.8384
2,25,6,11.4,9.6183,8.7096
2,25,12,12,10.1847,8.3615
2,25,18,15.6,10.2576,9.8252
2,26,0,15.1,11.3567,10.1613
2,26,6,12.5,12.2467,11.912
2,26,12,15,13.3985,12.8082
2,26,18,14.8,8.0069,10.8487
2,27,0,9.8,6.6517,8.6398
2,27,6,5.1,4.5846,4.5971
2,27,12,4.3,7.3214,4.7363
2,27,18,9.3,7.3341,6.2932
2,28,0,11.9,10.0426,6.5765
2,28,6,7.5,6.0905,8.3396
2,28,12,4.7,7.4562,9.8836
2,28,18,6.7,7.0729,8.7295
3,1,0,9.7,8.106,8.6858
3,1,6,4.3,5.7281,7.5678
3,1,12,3.4,3.8578,3.2755
3,1,18,4.2,5.2762,4.1006
3,2,0,6.9,5.9059,5.3236
3,2,6,6,7.4984,5.1615
3,2,12,7.9,9.3418,7.7464
3,2,18,10.3,6.5303,6.4233
3,3,0,11.4,8.4597,9.6255
3,3,6,6.4,7.9095,9.4252
3,3,12,8.2,7.6928,8.2381
3,3,18,8.5,2.7282,3.8603
3,4,0,9.1,9.517,5.9491
3,4,6,12.9,5.6056,8.5278
3,4,12,14.7,14.0459,4.8849
3,4,18,9.9,7.6343,8.6343
3,5,0,5,3.8849,8.0001
3,5,6,6.1,4.302,1.3921
3,5,12,4.1,6.0202,4.2983
3,5,18,9,8.7105,6.8044
3,6,0,10.6,7.4675,5.3966
3,6,6,11.7,5.6903,6.5843
3,6,12,8.7,7.7624,7.592
3,6,18,4.8,4.3437,5.1895
3,7,0,4,5.2494,3.7637
3,7,6,6.7,5.3375,4.1069
3,7,12,11.2,9.0046,7.0265
3,7,18,12.5,10.4036,8.478
3,8,0,10.5,9.6116,9.7543
3,8,12,7.2,6.7383,7.3591
3,8,18,6.1,5.558,5.7433
3,9,0,11.3,8.6094,7.0705
3,9,6,14.9,12.3558,12.1539
3,9,12,20.6,14.756,15.848
3,9,18,17.1,8.4506,12.8395
3,10,0,15.4,11.4474,16.8229
3,10,6,10.4,8.382,11.9487
3,10,12,5.3,4.6106,9.9348
3,10,18,8.9,7.4736,1.2198
3,11,0,11.4,10.2652,3.9812
3,11,6,4.5,5.0299,6.4389
3,11,12,5.8,4.3132,0.8233
3,11,18,7.9,0.2242,0.9525
3,12,0,7.9,5.5974,2.1836
3,12,6,13.5,6.9979,8.5238
3,12,12,12.6,11.5712,9.5403
3,12,18,10,12.1269,9.9732
3,13,0,10.5,16.4539,16.0086
3,13,6,11.1,9.291,11.5111
3,13,12,8,6.9476,6.2965
3,13,18,3.8,2.121,4.4686
3,14,0,2.6,1.49,3.0008
3,14,6,6,6.4285,7.5786
3,14,12,9,4.2112,5.6524
3,14,18,13.1,7.0852,8.9567
3,15,0,13,4.2242,8.7906
3,15,6,7.9,2.7694,7.8791
3,15,12,5.5,2.2367,4.2083
3,15,18,6.3,5.8215,2.8765
3,16,0,6.6,5.9998,4.1336
3,16,6,7.9,2.6279,4.8825
3,16,12,8.6,2.1058,1.9211
3,16,18,9.4,8.5111,4.9206
3,17,0,12.3,8.6369,5.8795
3,17,6,12.3,9.8999,7.7153
3,17,12,7.9,7.8288,9.4024
3,17,18,6.2,3.1617,7.4036
3,18,0,2.8,2.4019,4.8399
3,18,6,2.4,1.7924,2.7282
3,18,12,5.1,4.2062,3.8837
3,18,18,3.1,2.5018,1.7687
3,19,0,3.1,5.73,3.0436
3,19,6,3.3,2.1579,5.3622
3,19,12,2.7,3.6915,5.7741
3,19,18,4.2,5.3271,4.8328
3,20,0,4.6,1.8698,4.2424
3,20,6,6,9.2664,9.2808
3,20,12,7.9,10.8268,10.164
3,20,18,12,9.8428,11.2191
3,21,0,12.5,9.4191,9.4665
3,21,6,12.3,10.1332,9.9723
3,21,12,13.9,14.7129,10.9388
3,21,18,15.8,11.8274,10.5106
3,22,0,13.7,13.4852,13.2657
3,22,6,10.4,11.4597,12.2148
3,22,12,10,11.5779,11.8085
3,22,18,9.6,7.5676,8.2463
3,23,0,7.7,10.9018,12.7356
3,23,6,6.2,9.8475,10.0172
3,23,12,7.2,6.9409,5.021
3,23,18,4.8,3.6443,4.603
3,24,0,8.3,5.5231,6.5531
3,24,6,7.9,7.5507,7.9929
3,24,12,11.3,9.952,11.0426
3,24,18,11.1,7.2103,9.2711
3,25,0,10.2,6.6403,7.3591
3,25,6,8.2,7.4431,8.4547
3,25,12,4.8,4.885,6.1078
3,25,18,5.7,4.8254,2.7485
3,26,0,9.2,5.1749,1.5343
3,26,6,6.1,7.3411,5.5536
3,26,12,6.5,8.5011,5.6287
3,26,18,9.9,5.2645,5.4666
3,27,0,7.7,6.9913,8.0259
3,27,6,8.8,9.3134,9.0215
3,27,12,11.7,13.6,11.3256
3,27,18,13.5,8.9012,12.1022
3,28,0,10.7,6.1752,14.6526
3,28,6,16.5,11.6704,5.4578
3,28,12,15,15.025,14.2886
3,28,18,15.8,10.3542,11.782
3,29,0,11.6,10.4381,10.1944
3,29,6,10.7,9.0991,8.1111
3,29,12,11.4,11.2729,9.2638
3,29,18,12.7,9.8441,8.6575
3,30,0,15.6,16.2829,12.5247
3,30,6,11.9,11.4565,10.1652
3,30,12,14.1,12.997,9.8225
3,30,18,14.9,11.2061,10.0653
3,31,0,12.1,15.1748,11.8111
3,31,6,13,9.4052,7.9259
3,31,12,12.6,13.6388,11.856
3,31,18,9.8,3.3953,4.2529
4,1,0,5.8,2.9231,5.0695
4,1,6,9.1,10.9197,6.1068
4,1,12,13.8,11.1185,9.5156
4,1,18,5.8,5.8263,9.7092
4,2,0,8.2,8.279,7.9465
4,2,6,11.7,10.0119,8.7705
4,2,12,12.9,10.7782,11.2048
4,2,18,11.4,10.4006,10.465
4,3,0,14.8,11.9862,12.1263
4,3,6,10,5.8515,7.4312
4,3,12,8.7,4.9678,5.2212
4,3,18,4.8,2.2474,3.1064
4,4,0,2.8,1.517,4.0821
4,4,6,4.4,3.6017,0.7988
4,4,12,6.4,5.7274,3.1107
4,4,18,3.9,2.8765,2.6392
4,5,0,2.2,4.8753,3.76
4,5,6,2.7,2.5319,2.3094
4,5,12,5.3,4.5138,8.1225
4,5,18,3.8,4.6339,2.2178
4,6,0,7.3,4.6184,2.0824
4,6,6,12.5,12.3171,7.1597
4,6,12,21.1,19.5892,13.1482
4,6,18,19.4,13.3874,18.3467
4,7,0,14,8.3229,15.7533
4,7,6,6,11.2532,7.4147
4,7,12,8.1,8.5401,8.7144
4,7,18,3.9,5.097,8.4541
4,8,0,5.8,2.6937,5.6583
4,8,6,3.8,5.7808,7.2213
4,8,12,5.6,3.904,4.0637
4,8,18,7.7,5.924,8.2108
4,9,0,3.2,2.8646,6.5014
4,9,6,3.9,3.1349,3.1053
4,9,12,6.4,8.5274,3.0334
4,9,18,13.8,5.2782,6.9884
4,10,0,8.2,3.0377,3.85
4,10,6,11.1,11.114,8.3032
4,10,12,16.6,13.2702,11.898
4,10,18,13.4,10.2906,11.3574
4,11,0,8.3,9.9224,9.6616
4,11,6,4.3,3.6346,6.577
4,11,12,4,2.1997,3.81
4,11,18,5.6,2.6657,2.5443
4,12,0,1.3,3.3524,1.9001
4,12,6,6,3.4077,2.5442
4,12,12,6.3,7.8023,6.7514
4,12,18,10.7,2.742,3.6384
4,13,0,8.9,1.1012,1.5794
4,13,6,12.1,4.3982,6.1993
4,13,12,7.2,8.0431,10.7402
4,13,18,6.5,5.2616,7.098
4,14,0,11.2,9.9789,8.0592
4,14,6,12.3,9.2933,10.8136
4,14,12,12.3,15.6897,11.3119
4,14,18,9.6,4.3699,6.9632
4,15,0,11,7.3057,3.2622
4,15,6,13.9,5.0678,8.2772
4,15,12,12.7,9.5675,1.5855
4,15,18,10.3,6.6106,7.3028
4,16,0,8.3,5.9135,7.7964
4,16,6,9.2,11.4233,10.4717
4,17,0,17.7,10.79,7.9137
4,17,6,13.8,14.0479,14.8438
4,17,12,10.5,13.3048,14.1148
4,17,18,9,5.7412,9.4837
4,18,0,12.7,0.5633,4.2707
4,18,6,18.8,12.1139,8.0678
4,18,12,12.8,15.1529,14.3772
4,18,18,14,11.4279,13.3956
4,19,0,12.9,10.7124,10.0201
4,19,6,10.2,7.1867,9.493
4,19,12,6.3,3.6005,7.1833
4,19,18,5.8,2.4053,5.7329
4,20,0,8.2,0.8066,5.8872
4,20,6,1.8,1.9864,4.5234
4,20,12,1,3.7078,3.662
4,20,18,8.6,5.0259,5.6646
4,21,0,10.4,4.4852,3.5147
4,21,6,6.1,6.3107,8.5401
4,21,12,3.8,2.8665,4.724
4,21,18,6.2,3.8488,5.2027
4,22,0,4,2.0565,1.203
4,22,6,4.3,5.3754,3.1991
4,22,12,8.3,10.1567,4.4521
4,22,18,10.7,9.9728,9.5695
4,23,0,9,9.1966,8.8247
4,23,6,11.2,12.5763,12.5908
4,23,12,8.2,13.5999,10.5352
4,23,18,9.1,1.5176,5.5927
4,24,0,10.9,11.4848,4.9075
4,24,6,17.4,14.3054,10.5346
4,24,12,17.1,12.433,16.136
4,24,18,18.3,12.855,12.083
4,25,0,20.8,19.0514,16.161
4,25,6,15.6,11.8999,11.7049
4,25,12,14.2,11.6729,11.142
4,25,18,13.3,9.83,10.4629
4,26,0,7,8.6277,9.7419
4,26,6,2.5,3.4569,5.0352
4,26,12,4.8,3.9418,2.9045
4,26,18,11.9,7.4192,4.2846
4,27,0,13.6,8.0061,5.5351
4,27,6,14.8,11.1192,11.4121
4,27,12,13.4,11.1792,13.0193
4,27,18,13.7,9.7956,9.8737
4,28,0,13.5,7.5996,8.3284
4,28,6,6.2,4.0822,6.1092
4,28,12,2.5,2.7875,1.9125
4,28,18,8,6.1398,3.1114
4,29,0,9.9,9.2711,7.3495
4,29,6,13.1,9.7056,8.1582
4,29,12,12.9,14.2109,12.5193
4,29,18,10.7,7.2462,7.6059
