stateabb,ccode,year,irst,milex,milper,pec,tpop,upop,cinc,version
USA,2,1853,730,4605,21,11570,25736,1496,0.0787437,4
USA,2,1854,668,5765,21,13632,26561,1623,0.0742004,4
USA,2,1855,711,5892,26,14651,27386,1760,0.0759974,4
USA,2,1856,801,6117,26,15378,28212,1908,0.0784092,4
USA,2,1857,724,7499,27,15779,29037,2069,0.0832949,4
USA,2,1858,640,7297,29,16015,29862,2244,0.0834308,4
USA,2,1859,763,5638,29,17435,30687,2433,0.0830744,4
USA,2,1860,835,7060,28,18282,31513,2639,0.0773722,4
USA,2,1861,664,95362,217,17660,32351,2759,0.1444292,4
USA,2,1862,715,136769,673,18366,33188,2886,0.1763908,4
USA,2,1863,860,119662,960,21157,34026,3018,0.178967,4
USA,2,1864,1031,157390,1032,22597,34863,3156,0.1929127,4
USA,2,1865,845,30471,1063,22658,35701,3301,0.1354652,4
USA,2,1866,1225,17821,77,26846,36538,3452,0.0981717,4
USA,2,1867,1326,30698,75,28027,37376,3610,0.1141338,4
USA,2,1868,1454,20154,66,31646,38213,3776,0.1066403,4
USA,2,1869,1739,16559,52,35983,39051,3949,0.1080056,4
USA,2,1870,1692,13128,50,37779,39905,4130,0.0989996,4
USA,2,1871,1735,11811,42,39546,40938,4302,0.098381,4
USA,2,1872,2590,14246,42,48479,41972,4481,0.1152826,4
USA,2,1873,2602,15014,43,53674,43006,4667,0.1162688,4
USA,2,1874,2439,12899,44,51736,44040,4862,0.1142451,4
USA,2,1875,2057,11720,38,52194,45073,5064,0.1069647,4
USA,2,1876,1899,10749,41,51080,46107,5275,0.1019168,4
USA,2,1877,2100,9074,34,56754,47141,5495,0.1046526,4
USA,2,1878,2338,11367,36,55588,48174,5724,0.1083453,4
USA,2,1879,2786,10527,38,67742,49208,5962,0.1203331,4
USA,2,1880,3896,11414,38,76969,50262,6211,0.1254597,4
USA,2,1881,4211,11973,38,81416,51542,6494,0.1264246,4
USA,2,1882,4697,13040,38,91087,52821,6789,0.1310108,4
USA,2,1883,4669,11425,37,97750,54100,7099,0.1313463,4
USA,2,1884,4164,11438,39,102689,55379,7422,0.1313873,4
USA,2,1885,4110,9748,39,103359,56658,7761,0.1312613,4
USA,2,1886,5774,10382,39,107964,57938,8114,0.1461353,4
USA,2,1887,6520,10765,39,123077,59217,8484,0.1510995,4
USA,2,1888,6594,12647,39,139275,60496,8871,0.1523269,4
USA,2,1889,7726,13195,39,133959,61775,9275,0.1548427,4
USA,2,1890,9350,14788,39,150826,63056,9698,0.1653962,4
USA,2,1891,8412,15315,38,162044,64361,10075,0.1655897,4
USA,2,1892,9304,15654,39,171105,65666,10467,0.1733359,4
USA,2,1893,7238,16964,39,172586,66970,10874,0.1657286,4
USA,2,1894,6764,16001,42,161748,68275,11298,0.1544223,4
USA,2,1895,9598,15187,42,182744,69580,11737,0.168099,4
USA,2,1896,8762,16382,42,183531,70885,12194,0.1600112,4
USA,2,1897,9808,30249,44,190740,72189,12669,0.16911,4
USA,2,1898,11963,60011,236,207271,73494,13162,0.1970619,4
USA,2,1899,13839,38588,100,236406,74799,13674,0.1854763,4
USA,2,1900,10352,41481,126,256081,76094,14207,0.1879988,4
USA,2,1901,13690,36087,112,280242,77584,14723,0.2026186,4
USA,2,1902,15187,39722,111,300106,79163,15258,0.2076682,4
USA,2,1903,14768,43814,106,356268,80632,15812,0.2105013,4
USA,2,1904,14082,47918,110,353388,82166,16387,0.2049464,4
USA,2,1905,20345,45098,108,397156,83822,16982,0.213788,4
USA,2,1906,23774,43602,112,419190,85450,17600,0.2182837,4
USA,2,1907,23737,58725,108,487862,87008,18239,0.227735,4
USA,2,1908,14248,54189,129,432351,88710,18902,0.2031931,4
USA,2,1909,24339,56177,142,478835,90490,19589,0.2251969,4
USA,2,1910,26512,55880,139,523027,92407,20302,0.2264873,4
USA,2,1911,24056,57157,145,521004,93863,21039,0.2162103,4
USA,2,1912,31753,58992,153,557076,95335,21804,0.224931,4
USA,2,1913,31803,62825,155,600107,97225,22596,0.2199163,4
USA,2,1914,23890,253205,166,556778,99111,23340,0.2063691,4
USA,2,1915,32667,257648,174,580731,100546,24008,0.2220877,4
USA,2,1916,43460,277421,179,646120,101961,24688,0.232941,4
USA,2,1917,45784,658584,644,710959,103268,25310,0.2440332,4
USA,2,1918,45176,7014226,2897,743925,103208,26020,0.2948764,4
USA,2,1919,35228,11217796,1173,648393,104514,26723,0.3813615,4
USA,2,1920,42809,1657118,343,743808,106461,27428,0.2895664,4
USA,2,1921,20101,1116342,387,622541,108538,28210,0.2532295,4
USA,2,1922,36173,860853,270,641311,110049,29013,0.2555951,4
USA,2,1923,45665,678256,247,834889,111947,29840,0.2720777,4
USA,2,1924,38540,570142,261,762070,114109,30690,0.253591,4
USA,2,1925,46122,589706,252,790029,115829,31565,0.2540457,4
USA,2,1926,49069,558004,247,852304,117397,32464,0.2632676,4
USA,2,1927,45656,596501,249,842978,119035,33389,0.2386266,4
USA,2,1928,52371,678100,251,833446,120509,34340,0.2400723,4
USA,2,1929,57339,701300,255,903141,121767,35318,0.2397934,4
USA,2,1930,41352,699200,256,814891,123188,36326,0.2281101,4
USA,2,1931,26363,698900,253,709367,124149,36360,0.2160157,4
USA,2,1932,13901,641600,245,612400,124949,36424,0.197177,4
USA,2,1933,23605,570400,244,649968,125690,36518,0.2051403,4
USA,2,1934,26474,803100,247,689998,126485,36644,0.1974428,4
USA,2,1935,34640,806400,252,721900,127362,36843,0.1932461,4
USA,2,1936,48534,932600,291,825460,128181,36995,0.2059848,4
USA,2,1937,51380,1032900,312,869666,128961,37229,0.2008996,4
USA,2,1938,28805,1131499,323,751346,129969,37463,0.1707712,4
USA,2,1939,47898,980000,334,829091,131028,37772,0.1819711,4
USA,2,1940,60765,1657000,458,939812,132122,37988,0.2019071,4
USA,2,1941,75150,6301000,1801,1031214,133402,38183,0.2444945,4
USA,2,1942,78047,26001000,3859,1103469,134860,38377,0.2854552,4
USA,2,1943,80592,72109000,9045,1169553,136739,38554,0.3456322,4
USA,2,1944,81322,87000000,11452,1247643,138397,38898,0.3506417,4
USA,2,1945,72304,90000000,12123,1219068,139928,39100,0.3838635,4
USA,2,1946,60421,45133984,3030,1188144,141389,39725,0.3639884,4
USA,2,1947,77015,14315999,1583,1315777,144126,40857,0.3099419,4
USA,2,1948,80413,10960998,1446,1396394,147208,42019,0.2946597,4
USA,2,1949,70740,13503000,1615,1199344,149767,43216,0.2731664,4
USA,2,1950,87848,14559000,1460,1241836,152271,43964,0.284443,4
USA,2,1951,95435,33398000,3249,1325948,154878,44711,0.3194995,4
USA,2,1952,84520,47852000,3636,1309824,157553,45123,0.3113674,4
USA,2,1953,101250,49621008,3555,1347597,160184,46581,0.3111584,4
USA,2,1954,80115,42786000,3302,1302449,163026,47007,0.2809401,4
USA,2,1955,106173,40518000,2935,1415958,165931,47688,0.2664225,4
USA,2,1956,104522,41773008,2806,1492506,168903,48389,0.2606138,4
USA,2,1957,102253,44548000,2796,1494767,171984,49087,0.2550486,4
USA,2,1958,77342,45503008,2411,1437859,174882,49733,0.23447,4
USA,2,1959,84773,46614000,2328,1513627,177830,50320,0.2289647,4
USA,2,1960,90067,45380000,2306,1421218,180671,50966,0.2154438,4
USA,2,1961,88917,47808000,2307,1447002,183691,50941,0.2106549,4
USA,2,1962,89202,52381008,2807,1508570,186538,50916,0.2099114,4
USA,2,1963,99120,52295008,2700,1589655,189242,50891,0.2079665,4
USA,2,1964,115281,51213008,2687,1610682,191889,50866,0.2029826,4
USA,2,1965,119260,51827008,2660,1700357,194303,50841,0.2015391,4
USA,2,1966,121655,67572000,3090,1784048,196560,50815,0.2086695,4
USA,2,1967,115406,75448000,3380,1903194,198712,50790,0.2085481,4
USA,2,1968,119262,80732000,3550,1985402,200706,50765,0.2039257,4
USA,2,1969,128152,81446000,3460,2034492,202677,53117,0.1975469,4
USA,2,1970,119309,77827008,3070,2469126,205052,55468,0.1798439,4
USA,2,1971,109265,74862000,2720,2497135,207661,55560,0.1688821,4
USA,2,1972,120875,77639000,2323,2576787,209896,55652,0.1632864,4
USA,2,1973,136804,78385000,2206,2672528,211909,55743,0.1571975,4
USA,2,1974,132196,85906000,2146,2621686,213854,55736,0.1513209,4
USA,2,1975,105897,90948000,2098,2570153,215973,55728,0.1425023,4
USA,2,1976,116121,91013000,2075,2715656,218035,55721,0.1408845,4
USA,2,1977,113701,100925000,2060,2805234,220239,55713,0.1401722,4
USA,2,1978,124314,109247000,2060,2818576,222585,56208,0.1381623,4
USA,2,1979,123688,122279000,2033,2866804,225055,56702,0.1356744,4
USA,2,1980,101456,143981000,2050,2799174,227726,57197,0.1317046,4
USA,2,1981,109614,169888000,2101,2713720,229966,57825,0.1365281,4
USA,2,1982,67656,196345000,2168,2594129,232188,58453,0.1281606,4
USA,2,1983,76762,217198000,2201,2597045,234307,58856,0.131504,4
USA,2,1984,83940,237052000,2222,3177672,236348,59259,0.1313398,4
USA,2,1985,80067,245154000,2244,3161485,238466,60260,0.1332526,4
USA,2,1986,74032,265480000,2269,3285852,240651,61261,0.1320948,4
USA,2,1987,80876,273966000,2280,3430381,242804,61975,0.1312786,4
USA,2,1988,90631,281935000,2250,3725148,245021,62689,0.1327556,4
USA,2,1989,87722,294880000,2240,3844484,247342,63402,0.1466928,4
USA,2,1990,89726,289755000,2180,3936181,249907,64116,0.139376,4
USA,2,1991,79738,262389000,2110,4041865,252618,64814,0.1355988,4
USA,2,1992,84322,286892000,1920,4154138,255391,65413,0.1460814,4
USA,2,1993,88793,297600000,1810,4430624,258132,66072,0.1527098,4
USA,2,1994,91244,293214000,1710,4455146,260602,66457,0.1448253,4
USA,2,1995,95191,277834000,1620,4678672,262755,66945,0.1406412,4
USA,2,1996,95535,277254000,1570,4751977,265284,67433,0.1383393,4
USA,2,1997,98485,276324000,1530,4922493,267901,68503,0.13966,4
USA,2,1998,98658,279702000,1510,4977176,274028,69572,0.1417342,4
USA,2,1999,97427,292147000,1490,5043448,276218,70642,0.1428883,4
USA,2,2000,101803,303136000,1366,5264636,278357,75342,0.1429513,4
USA,2,2001,90104,322365000,1368,5224415,285112,76419,0.1420117,4
USA,2,2002,91587,348555000,1414,5276818,287888,77512,0.1434598,4
USA,2,2003,93677,404920000,1427,5394710,290448,78621,0.1420938,4
USA,2,2004,99681,455908000,1450,5527871,293192,79745,0.1431688,4
USA,2,2005,94897,495326000,1473,5529642,295896,80805,0.1482896,4
USA,2,2006,98557,521840000,1546,5497134,298755,81880,0.1463773,4
USA,2,2007,98102,552568000,1506,5548023,301621,82969,0.1421487,4
CAN,20,1920,1118,10755,4,31979,8556,1598,0.0101284,4
CAN,20,1921,678,10209,4,30630,8788,1659,0.0105423,4
CAN,20,1922,494,10028,4,26533,8919,1708,0.0084077,4
CAN,20,1923,899,13316,4,35626,9010,1760,0.0098605,4
CAN,20,1924,661,12824,4,29947,9143,1822,0.0088947,4
CAN,20,1925,765,12984,4,29242,9294,1893,0.0087039,4
CAN,20,1926,789,13936,4,33207,9451,1971,0.00924,4
CAN,20,1927,922,16745,4,36491,9637,2054,0.0093703,4
CAN,20,1928,1255,18862,5,37299,9835,2119,0.0097022,4
CAN,20,1929,1400,21058,4,40842,10029,2187,0.009803,4
CAN,20,1930,1026,22649,5,39101,10208,2256,0.0097882,4
CAN,20,1931,683,18263,6,31481,10377,2328,0.009185,4
CAN,20,1932,345,11999,5,29101,10510,2361,0.008633,4
CAN,20,1933,417,17149,5,29070,10633,2397,0.0084307,4
CAN,20,1934,770,12943,5,33577,10741,2426,0.0089085,4
CAN,20,1935,957,24921,4,33523,10845,2459,0.0087363,4
CAN,20,1936,1134,24762,6,36524,10950,2490,0.0086481,4
CAN,20,1937,1425,32419,6,39978,11045,2526,0.0089261,4
CAN,20,1938,1174,35282,6,36854,11152,2560,0.0087166,4
CAN,20,1939,1407,125700,6,40964,11267,2589,0.0090911,4
CAN,20,1940,2045,730100,21,46411,11381,2617,0.0120588,4
CAN,20,1941,2460,1038380,280,51156,11507,2645,0.0150791,4
CAN,20,1942,2821,2321324,400,55917,11654,2690,0.0171436,4
CAN,20,1943,2725,3841192,740,58587,11795,2738,0.0185215,4
CAN,20,1944,2736,3622309,728,60382,11946,2790,0.0169748,4
CAN,20,1945,2611,2664365,801,56093,12072,2845,0.0170419,4
CAN,20,1946,2111,1552759,46,59632,12292,2903,0.015644,4
CAN,20,1947,2672,385771,43,62009,12551,2972,0.013188,4
CAN,20,1948,2903,195025,40,68228,13167,3041,0.0125928,4
CAN,20,1949,2892,370149,47,63490,13475,3113,0.0128127,4
CAN,20,1950,3070,447964,45,60887,13737,3186,0.0126052,4
CAN,20,1951,3237,1150942,62,64945,14050,3261,0.0135349,4
CAN,20,1952,3359,1843656,102,64874,14496,3337,0.0142037,4
CAN,20,1953,3734,2028835,104,67118,14886,3415,0.0142198,4
CAN,20,1954,2898,1818274,108,67691,15330,3496,0.0133411,4
CAN,20,1955,4114,1883021,112,72628,15736,3578,0.0131893,4
CAN,20,1956,4809,1889889,116,83921,16123,3664,0.013736,4
CAN,20,1957,4598,1905207,121,82785,16677,3750,0.0132075,4
CAN,20,1958,3955,1766497,119,84364,17120,3841,0.0125974,4
CAN,20,1959,5354,1703318,120,90080,17522,3934,0.0128275,4
CAN,20,1960,5270,1735570,121,94926,17909,4049,0.0124448,4
CAN,20,1961,5886,1722891,124,99412,18238,4154,0.0125685,4
CAN,20,1962,6507,1735210,124,109109,18614,4247,0.01263,4
CAN,20,1963,7436,1588421,120,112561,18964,4399,0.0124492,4
CAN,20,1964,8282,1677304,120,128155,19325,4554,0.0127586,4
CAN,20,1965,9132,1544548,120,135644,19678,4702,0.012747,4
CAN,20,1966,9093,1642790,110,141051,20048,4645,0.0121847,4
CAN,20,1967,8797,1813063,105,151902,20412,4669,0.0120226,4
CAN,20,1968,10161,1782772,105,164716,20729,4692,0.0121025,4
CAN,20,1969,9350,1770133,100,172971,21028,4806,0.0114056,4
CAN,20,1970,11198,1920602,95,242840.7,21297,4920,0.0120093,4
CAN,20,1971,11040,2110319,85,258255.8,22962,5035,0.0121747,4
CAN,20,1972,11859,2260834,90,292970.8,22220,5149,0.0124754,4
CAN,20,1973,13386,2404759,82,313955.8,22494,5263,0.0124323,4
CAN,20,1974,13623,2926380,82,321082.2,22808,5377,0.0125804,4
CAN,20,1975,13025,3074729,78,317106.6,23142,5432,0.0124603,4
CAN,20,1976,13290,3639959,78,319833.9,23450,5487,0.0122465,4
CAN,20,1977,13581,3877762,78,329997.1,23726,5543,0.0122423,4
CAN,20,1978,14898,4016964,79,336226.8,23964,5598,0.0121561,4
CAN,20,1979,16078,4119005,79,355904.2,24202,5653,0.0122483,4
CAN,20,1980,15901,4387240,82,358075.2,24516,5713,0.0122626,4
CAN,20,1981,14811,5246444,81,350470.9,24820,6604,0.0122387,4
CAN,20,1982,11871,6182339,81,332254.6,25117,6989,0.0116481,4
CAN,20,1983,12832,6562003,81,337859.9,25367,7374,0.0118277,4
CAN,20,1984,14699,7195604,82,418555.3,25608,7759,0.0118372,4
CAN,20,1985,13459,6809000,83,418920.9,25843,8144,0.0114103,4
CAN,20,1986,14081,7180000,85,426317.7,26101,8530,0.0115082,4
CAN,20,1987,14737,7960000,86,450791.4,26450,8915,0.0117335,4
CAN,20,1988,15193,8830000,88,482256.8,26798,9300,0.0118674,4
CAN,20,1989,15458,9480000,88,486668.6,27286,9685,0.0123878,4
CAN,20,1990,12281,10280000,87,498385.7,27701,10070,0.0116063,4
CAN,20,1991,12987,11420000,86,500841,28031,10455,0.0123652,4
CAN,20,1992,13924,10310000,82,498542.3,28377,10686,0.0124408,4
CAN,20,1993,14387,9600000,76,517304.7,28703,10918,0.0124252,4
CAN,20,1994,13897,9695000,75,513871.8,29036,11149,0.0120203,4
CAN,20,1995,14415,9126000,70,517566,29354,11381,0.011727,4
CAN,20,1996,14735,8624000,66,548685.1,29672,11612,0.0116868,4
CAN,20,1997,15553,7801000,61,577041.7,30004,11751,0.0116001,4
CAN,20,1998,15930,7677000,60,593114.4,30563,11892,0.0118511,4
CAN,20,1999,16235,8395000,60,594470,30857,12035,0.0118983,4
CAN,20,2000,16595,8320000,59,642984.2,31147,12178,0.01182,4
CAN,20,2001,15276,7745000,57,658831.9,31021,12323,0.011386,4
CAN,20,2002,16002,8522000,52,662650.3,31373,12470,0.0112931,4
CAN,20,2003,15929,10102000,52,687163.4,31676,12618,0.0109833,4
CAN,20,2004,16305,11501000,57,699730.5,31995,12768,0.0108033,4
CAN,20,2005,15327,13224000,62,698313.4,32312,12905,0.0107274,4
CAN,20,2006,15493,15103000,62,673840.7,32649,13043,0.0104488,4
CAN,20,2007,15572,18491000,63,707232.1,32976,13183,0.0106829,4
BHM,31,1973,0,0,0,19010.3,181,0,0.0003212,4
BHM,31,1974,0,0,0,15960.03,185,0,0.0002697,4
BHM,31,1975,0,0,0,15446.43,189,0,0.0002606,4
BHM,31,1976,0,5500,0,13079.72,193,0,0.0002124,4
BHM,31,1977,0,4800,0,20515.82,197,0,0.0003156,4
BHM,31,1978,0,4900,0,13336.98,201,0,0.0002021,4
BHM,31,1979,0,2700,0,12244.69,206,0,0.0001793,4
BHM,31,1980,0,5000,0,14390.49,210,135,0.0002332,4
BHM,31,1981,0,6600,0,11265.46,214,139,0.0001921,4
BHM,31,1982,0,9000,0,12330.27,218,143,0.000207,4
BHM,31,1983,0,8000,0,11071.27,223,146,0.0001859,4
BHM,31,1984,0,8600,0,8534.946,227,150,0.0001217,4
BHM,31,1985,0,9600,1,1360.552,232,154,0.0000531,4
BHM,31,1986,0,11100,0,111.1657,236,157,0.0000344,4
BHM,31,1987,0,14337,0,111.4114,241,159,0.0000344,4
BHM,31,1988,0,77700,0,111.7799,246,163,0.0000456,4
BHM,31,1989,0,66500,2,113.6224,251,165,0.000058,4
BHM,31,1990,0,65700,1,116.6933,255,172,0.0000506,4
BHM,31,1991,0,48000,0,139.4178,260,177,0.0000426,4
BHM,31,1992,0,17800,1,143.1028,264,182,0.0000438,4
BHM,31,1993,0,-9,1,149.4902,269,187,0.0000471,4
BHM,31,1994,0,20000,0,156.9832,274,192,0.0000358,4
BHM,31,1995,0,19000,0,160.1769,279,195,0.0000348,4
BHM,31,1996,0,22000,0,164.5989,284,199,0.0000345,4
BHM,31,1997,0,22000,0,173.6887,289,203,0.000034,4
BHM,31,1998,0,26000,0,188.1833,296,207,0.0000347,4
BHM,31,1999,0,26000,1,197.3959,301,211,0.000042,4
BHM,31,2000,0,30000,1,209.4337,307,214,0.0000423,4
BHM,31,2001,0,29000,1,218.3842,308,217,0.0000422,4
BHM,31,2002,0,28000,1,235.7501,312,221,0.0000417,4
BHM,31,2003,0,33000,1,250.0834,317,224,0.0000402,4
BHM,31,2004,0,34000,1,262.5909,321,228,0.0000413,4
BHM,31,2005,0,36000,1,266.0764,325,231,0.0000415,4
BHM,31,2006,0,48000,1,267.6295,330,234,0.0000427,4
BHM,31,2007,0,58000,1,269.5831,334,238,0.0000437,4
CUB,40,1902,0,-9,3,5,1760,262,0.0011215,4
CUB,40,1903,0,-9,3,5,1840,266,0.0011201,4
CUB,40,1904,0,-9,4,5,1880,271,0.0011529,4
CUB,40,1905,0,-9,4,6,1930,275,0.0011218,4
CUB,40,1906,0,6161,4,5,1980,279,0.0034081,4
CUB,40,1909,0,-9,5,11,2150,294,0.001167,4
CUB,40,1910,0,-9,5,12,2220,301,0.0011722,4
CUB,40,1911,0,-9,5,23,2290,309,0.0011662,4
CUB,40,1912,0,-9,5,16,2360,316,0.001179,4
CUB,40,1913,0,7293,11,8,2410,324,0.0031746,4
CUB,40,1914,0,-9,13,8,2510,330,0.001421,4
CUB,40,1915,0,-9,15,13,2590,336,0.0011779,4
CUB,40,1916,0,-9,18,20,2660,341,0.0012203,4
CUB,40,1917,0,-9,19,14,2750,348,0.0012404,4
CUB,40,1918,0,-9,19,21,2830,354,0.0012454,4
CUB,40,1919,0,14374,18,19,2910,361,0.0013558,4
CUB,40,1920,0,16979,18,21,3000,378,0.0016701,4
CUB,40,1921,0,17444,18,23,3080,393,0.0017549,4
CUB,40,1922,0,14133,12,10,3180,418,0.001655,4
CUB,40,1923,0,9506,12,15,3260,437,0.0015931,4
CUB,40,1924,0,9516,12,13,3350,459,0.001783,4
CUB,40,1925,0,12043,13,26,3430,485,0.0018452,4
CUB,40,1926,0,12471,13,30,3520,511,0.0018764,4
CUB,40,1927,0,12313,13,30,3610,548,0.0018457,4
CUB,40,1928,0,12846,13,29,3510,581,0.0017728,4
CUB,40,1929,0,12734,13,32,3580,644,0.0017985,4
CUB,40,1930,0,11988,13,33,3650,691,0.0017736,4
CUB,40,1931,0,10100,13,29,3960,740,0.0017968,4
CUB,40,1932,0,9795,13,26,3960,802,0.001892,4
CUB,40,1933,0,7894,13,26,3960,867,0.0018172,4
CUB,40,1934,0,12195,13,29,4040,901,0.0018244,4
CUB,40,1935,0,14488,16,31,4070,922,0.0017698,4
CUB,40,1936,0,18385,16,34,4110,944,0.0018335,4
CUB,40,1937,0,18485,19,38,4170,966,0.0018041,4
CUB,40,1938,0,18385,19,40,4230,983,0.0017455,4
CUB,40,1939,0,18477,19,42,4250,1006,0.0015868,4
CUB,40,1940,0,17416,19,44,4290,1042,0.0014569,4
CUB,40,1941,0,-9,19,46,4330,1088,0.0017546,4
CUB,40,1942,0,15794,20,47,4370,1116,0.0014924,4
CUB,40,1943,0,-9,20,49,4780,1148,0.0018267,4
CUB,40,1944,0,-9,20,56,4850,1173,0.0017596,4
CUB,40,1945,0,-9,21,74,4930,1199,0.0017085,4
CUB,40,1946,0,-9,18,81,5040,1224,0.00215,4
CUB,40,1947,0,-9,18,95,5150,1261,0.0018982,4
CUB,40,1948,0,39943,18,97,5287,1298,0.0017359,4
CUB,40,1949,0,-9,19,98,5399,1337,0.0017947,4
CUB,40,1950,0,39175,20,431,5858,1372,0.0016774,4
CUB,40,1951,0,-9,20,612,5638,1395,0.0017869,4
CUB,40,1952,0,56000,20,643,5759,1416,0.0014931,4
CUB,40,1953,0,53000,21,712,6129,1440,0.0014937,4
CUB,40,1954,0,-9,21,706,6254,1463,0.0016421,4
CUB,40,1955,0,54000,13,802,6426,1488,0.0013484,4
CUB,40,1956,3,51000,13,884,6513,1509,0.0013235,4
CUB,40,1957,12,56100,19,3224,6641,1538,0.0014732,4
CUB,40,1958,20,-9,19,5496,6763,1568,0.0017592,4
CUB,40,1959,29,-9,19,5298,6901,1599,0.0017135,4
CUB,40,1960,37,175000,46,4748,7029,1609,0.0018325,4
CUB,40,1961,46,175000,270,4431,7134,1620,0.0037443,4
CUB,40,1962,54,200000,270,5378,7254,1630,0.0036522,4
CUB,40,1963,63,200000,80,5412,7415,1641,0.0019923,4
CUB,40,1964,52,200000,110,5023,7612,1651,0.0021614,4
CUB,40,1965,36,140000,110,5189,7809,1661,0.0021013,4
CUB,40,1966,67,230000,110,5347,7985,1672,0.0020863,4
CUB,40,1967,120,170000,110,5544,8139,1710,0.0019963,4
CUB,40,1968,120,213000,110,10164,8284,1747,0.0021002,4
CUB,40,1969,119,186000,140,10739,8421,1785,0.0022474,4
CUB,40,1970,140,228000,140,13777.8,8546,1822,0.002242,4
CUB,40,1971,111,290000,140,12512.06,8678,1855,0.0022357,4
CUB,40,1972,187,267000,140,12051.28,8041,1889,0.0021383,4
CUB,40,1973,221,270000,140,13603.86,9011,1922,0.0021594,4
CUB,40,1974,250,282000,140,14394.69,9162,1956,0.0021114,4
CUB,40,1975,298,326000,120,15480.23,9299,1989,0.0020205,4
CUB,40,1976,250,-9,125,15556.68,9430,2216,0.0023056,4
CUB,40,1977,330,770000,200,16531.61,9547,2444,0.0027554,4
CUB,40,1978,324,1031579,210,16022.83,9644,2671,0.0028489,4
CUB,40,1979,313,1136486,210,16693.75,9720,2898,0.0028519,4
CUB,40,1980,292,1126388,220,15782.71,9724,3126,0.0028742,4
CUB,40,1981,317,1272515,225,16437.39,9724,3353,0.0029223,4
CUB,40,1982,290,1330000,230,17288.74,9801,3395,0.0029362,4
CUB,40,1983,352,1338001,250,17061.95,9897,3428,0.0030418,4
CUB,40,1984,325,1357214,297,17321.3,9994,3492,0.003194,4
CUB,40,1985,401,1350000,297,37818.46,10098,3597,0.0034213,4
CUB,40,1986,412,1480000,297,33822.73,10199,3659,0.0033421,4
CUB,40,1987,402,1660000,297,36471.46,10301,3802,0.0033758,4
CUB,40,1988,321,2240000,297,37860.8,10412,3944,0.0034229,4
CUB,40,1989,314,1830000,297,20030.1,10523,4007,0.0032644,4
CUB,40,1990,270,1691000,297,18324.7,10624,4070,0.0031637,4
CUB,40,1991,270,1160000,297,16549.87,10744,4134,0.0032334,4
CUB,40,1992,200,-9,175,16702.26,10831,4168,0.0026891,4
CUB,40,1993,100,-9,175,14215.17,10904,4202,0.0026432,4
CUB,40,1994,131,356,140,14825.49,10950,4314,0.0019758,4
CUB,40,1995,207,700000,70,9091.348,10980,4426,0.001575,4
CUB,40,1996,231,715000,70,10345.42,11019,4270,0.0015529,4
CUB,40,1997,342,720000,55,9545.44,11059,4384,0.0014488,4
CUB,40,1998,283,765000,55,8993.514,11116,4400,0.0014399,4
CUB,40,1999,303,750000,50,10166.13,11160,4424,0.0013884,4
CUB,40,2000,336,735000,58,12463.33,11201,4448,0.0014429,4
CUB,40,2001,270,735000,46,16720.83,11157,4471,0.0013719,4
