stateabb,ccode,year,version
"DEN",390,1885,2011
"MOR",600,1885,2011
"IRN",630,1885,2011
"TUR",640,1885,2011
"CHN",710,1885,2011
"JPN",740,1885,2011
"USA",2,1886,2011
"HAI",41,1886,2011
"MEX",70,1886,2011
"GUA",90,1886,2011
"SAL",92,1886,2011
"COL",100,1886,2011
"VEN",101,1886,2011
"ECU",130,1886,2011
"PER",135,1886,2011
"BRA",140,1886,2011
"BOL",145,1886,2011
"PAR",150,1886,2011
"CHL",155,1886,2011
"ARG",160,1886,2011
"URU",165,1886,2011
"UKG",200,1886,2011
"NTH",210,1886,2011
"BEL",211,1886,2011
"FRN",220,1886,2011
"SWZ",225,1886,2011
"SPN",230,1886,2011
"POR",235,1886,2011
"GMY",255,1886,2011
"AUH",300,1886,2011
"ITA",325,1886,2011
"YUG",345,1886,2011
"GRC",350,1886,2011
"ROM",360,1886,2011
"RUS",365,1886,2011
"SWD",380,1886,2011
"DEN",390,1886,2011
"MOR",600,1886,2011
"IRN",630,1886,2011
"TUR",640,1886,2011
"CHN",710,1886,2011
"JPN",740,1886,2011
"USA",2,1887,2011
"HAI",41,1887,2011
"MEX",70,1887,2011
"GUA",90,1887,2011
"SAL",92,1887,2011
"COL",100,1887,2011
"VEN",101,1887,2011
"ECU",130,1887,2011
"PER",135,1887,2011
"BRA",140,1887,2011
"BOL",145,1887,2011
"PAR",150,1887,2011
"CHL",155,1887,2011
"ARG",160,1887,2011
"URU",165,1887,2011
"UKG",200,1887,2011
"NTH",210,1887,2011
"BEL",211,1887,2011
"FRN",220,1887,2011
"SWZ",225,1887,2011
"SPN",230,1887,2011
"POR",235,1887,2011
"GMY",255,1887,2011
"AUH",300,1887,2011
"ITA",325,1887,2011
"YUG",345,1887,2011
"GRC",350,1887,2011
"ROM",360,1887,2011
"RUS",365,1887,2011
"SWD",380,1887,2011
"DEN",390,1887,2011
"MOR",600,1887,2011
"IRN",630,1887,2011
"TUR",640,1887,2011
"CHN",710,1887,2011
"KOR",730,1887,2011
"JPN",740,1887,2011
"THI",800,1887,2011
"USA",2,1888,2011
"HAI",41,1888,2011
"MEX",70,1888,2011
"GUA",90,1888,2011
"SAL",92,1888,2011
"COL",100,1888,2011
"VEN",101,1888,2011
"ECU",130,1888,2011
"PER",135,1888,2011
"BRA",140,1888,2011
"BOL",145,1888,2011
"PAR",150,1888,2011
"CHL",155,1888,2011
"ARG",160,1888,2011
"URU",165,1888,2011
"UKG",200,1888,2011
"NTH",210,1888,2011
"BEL",211,1888,2011
"FRN",220,1888,2011
"SWZ",225,1888,2011
"SPN",230,1888,2011
"POR",235,1888,2011
"GMY",255,1888,2011
"AUH",300,1888,2011
"ITA",325,1888,2011
"YUG",345,1888,2011
"GRC",350,1888,2011
"ROM",360,1888,2011
"RUS",365,1888,2011
"SWD",380,1888,2011
"DEN",390,1888,2011
"MOR",600,1888,2011
"IRN",630,1888,2011
"TUR",640,1888,2011
"CHN",710,1888,2011
"KOR",730,1888,2011
"JPN",740,1888,2011
"THI",800,1888,2011
"USA",2,1889,2011
"HAI",41,1889,2011
"MEX",70,1889,2011
"GUA",90,1889,2011
"SAL",92,1889,2011
"COL",100,1889,2011
"VEN",101,1889,2011
"ECU",130,1889,2011
"PER",135,1889,2011
"BRA",140,1889,2011
"BOL",145,1889,2011
"PAR",150,1889,2011
"CHL",155,1889,2011
"ARG",160,1889,2011
"URU",165,1889,2011
"UKG",200,1889,2011
"NTH",210,1889,2011
"BEL",211,1889,2011
"FRN",220,1889,2011
"SWZ",225,1889,2011
"SPN",230,1889,2011
"POR",235,1889,2011
"GMY",255,1889,2011
"AUH",300,1889,2011
"ITA",325,1889,2011
"YUG",345,1889,2011
"GRC",350,1889,2011
"ROM",360,1889,2011
"RUS",365,1889,2011
"SWD",380,1889,2011
"DEN",390,1889,2011
"MOR",600,1889,2011
"IRN",630,1889,2011
"TUR",640,1889,2011
"CHN",710,1889,2011
"KOR",730,1889,2011
"JPN",740,1889,2011
"THI",800,1889,2011
"USA",2,1890,2011
"HAI",41,1890,2011
"MEX",70,1890,2011
"GUA",90,1890,2011
"SAL",92,1890,2011
"COL",100,1890,2011
"VEN",101,1890,2011
"ECU",130,1890,2011
"PER",135,1890,2011
"BRA",140,1890,2011
"BOL",145,1890,2011
"PAR",150,1890,2011
"CHL",155,1890,2011
"ARG",160,1890,2011
"URU",165,1890,2011
"UKG",200,1890,2011
"NTH",210,1890,2011
"BEL",211,1890,2011
"FRN",220,1890,2011
"SWZ",225,1890,2011
"SPN",230,1890,2011
"POR",235,1890,2011
"GMY",255,1890,2011
"AUH",300,1890,2011
"ITA",325,1890,2011
"YUG",345,1890,2011
"GRC",350,1890,2011
"ROM",360,1890,2011
"RUS",365,1890,2011
"SWD",380,1890,2011
"DEN",390,1890,2011
"MOR",600,1890,2011
"IRN",630,1890,2011
"TUR",640,1890,2011
"CHN",710,1890,2011
"KOR",730,1890,2011
"JPN",740,1890,2011
"THI",800,1890,2011
"USA",2,1891,2011
"HAI",41,1891,2011
"MEX",70,1891,2011
"GUA",90,1891,2011
"SAL",92,1891,2011
"COL",100,1891,2011
"VEN",101,1891,2011
"ECU",130,1891,2011
"PER",135,1891,2011
"BRA",140,1891,2011
"BOL",145,1891,2011
"PAR",150,1891,2011
"CHL",155,1891,2011
"ARG",160,1891,2011
"URU",165,1891,2011
"UKG",200,1891,2011
"NTH",210,1891,2011
"BEL",211,1891,2011
"FRN",220,1891,2011
"SWZ",225,1891,2011
"SPN",230,1891,2011
"POR",235,1891,2011
"GMY",255,1891,2011
"AUH",300,1891,2011
"ITA",325,1891,2011
"YUG",345,1891,2011
"GRC",350,1891,2011
"ROM",360,1891,2011
"RUS",365,1891,2011
"SWD",380,1891,2011
"DEN",390,1891,2011
"MOR",600,1891,2011
"IRN",630,1891,2011
"TUR",640,1891,2011
"CHN",710,1891,2011
"KOR",730,1891,2011
"JPN",740,1891,2011
"THI",800,1891,2011
"USA",2,1892,2011
"HAI",41,1892,2011
"MEX",70,1892,2011
"GUA",90,1892,2011
"SAL",92,1892,2011
"COL",100,1892,2011
"VEN",101,1892,2011
"ECU",130,1892,2011
"PER",135,1892,2011
"BRA",140,1892,2011
"BOL",145,1892,2011
"PAR",150,1892,2011
"CHL",155,1892,2011
"ARG",160,1892,2011
"URU",165,1892,2011
"UKG",200,1892,2011
"NTH",210,1892,2011
"BEL",211,1892,2011
"FRN",220,1892,2011
"SWZ",225,1892,2011
"SPN",230,1892,2011
"POR",235,1892,2011
"GMY",255,1892,2011
"AUH",300,1892,2011
"ITA",325,1892,2011
"YUG",345,1892,2011
"GRC",350,1892,2011
"ROM",360,1892,2011
"RUS",365,1892,2011
"SWD",380,1892,2011
"DEN",390,1892,2011
"MOR",600,1892,2011
"IRN",630,1892,2011
"TUR",640,1892,2011
"CHN",710,1892,2011
"KOR",730,1892,2011
"JPN",740,1892,2011
"THI",800,1892,2011
"USA",2,1893,2011
"HAI",41,1893,2011
"MEX",70,1893,2011
"GUA",90,1893,2011
"SAL",92,1893,2011
"COL",100,1893,2011
"VEN",101,1893,2011
"ECU",130,1893,2011
"PER",135,1893,2011
"BRA",140,1893,2011
"BOL",145,1893,2011
"PAR",150,1893,2011
"CHL",155,1893,2011
"ARG",160,1893,2011
"URU",165,1893,2011
"UKG",200,1893,2011
"NTH",210,1893,2011
"BEL",211,1893,2011
"FRN",220,1893,2011
"SWZ",225,1893,2011
"SPN",230,1893,2011
"POR",235,1893,2011
"GMY",255,1893,2011
"AUH",300,1893,2011
"ITA",325,1893,2011
"YUG",345,1893,2011
"GRC",350,1893,2011
"ROM",360,1893,2011
"RUS",365,1893,2011
"SWD",380,1893,2011
"DEN",390,1893,2011
"MOR",600,1893,2011
"IRN",630,1893,2011
"TUR",640,1893,2011
"CHN",710,1893,2011
"KOR",730,1893,2011
"JPN",740,1893,2011
"THI",800,1893,2011
"USA",2,1894,2011
"HAI",41,1894,2011
"DOM",42,1894,2011
"MEX",70,1894,2011
"GUA",90,1894,2011
"SAL",92,1894,2011
"COL",100,1894,2011
"VEN",101,1894,2011
"ECU",130,1894,2011
"PER",135,1894,2011
"BRA",140,1894,2011
"BOL",145,1894,2011
"PAR",150,1894,2011
"CHL",155,1894,2011
"ARG",160,1894,2011
"URU",165,1894,2011
"UKG",200,1894,2011
"NTH",210,1894,2011
"BEL",211,1894,2011
"FRN",220,1894,2011
"SWZ",225,1894,2011
"SPN",230,1894,2011
"POR",235,1894,2011
"GMY",255,1894,2011
"AUH",300,1894,2011
"ITA",325,1894,2011
"YUG",345,1894,2011
"GRC",350,1894,2011
"ROM",360,1894,2011
"RUS",365,1894,2011
"SWD",380,1894,2011
"DEN",390,1894,2011
"MOR",600,1894,2011
"IRN",630,1894,2011
"TUR",640,1894,2011
"CHN",710,1894,2011
"KOR",730,1894,2011
"JPN",740,1894,2011
"THI",800,1894,2011
"USA",2,1895,2011
"HAI",41,1895,2011
"DOM",42,1895,2011
"MEX",70,1895,2011
"GUA",90,1895,2011
"SAL",92,1895,2011
"COL",100,1895,2011
"VEN",101,1895,2011
"ECU",130,1895,2011
"PER",135,1895,2011
"BRA",140,1895,2011
"BOL",145,1895,2011
"PAR",150,1895,2011
"CHL",155,1895,2011
"ARG",160,1895,2011
"URU",165,1895,2011
"UKG",200,1895,2011
"NTH",210,1895,2011
"BEL",211,1895,2011
"FRN",220,1895,2011
"SWZ",225,1895,2011
"SPN",230,1895,2011
"POR",235,1895,2011
"GMY",255,1895,2011
"AUH",300,1895,2011
"ITA",325,1895,2011
"YUG",345,1895,2011
"GRC",350,1895,2011
"ROM",360,1895,2011
"RUS",365,1895,2011
"SWD",380,1895,2011
"DEN",390,1895,2011
"MOR",600,1895,2011
"IRN",630,1895,2011
"TUR",640,1895,2011
"CHN",710,1895,2011
"KOR",730,1895,2011
"JPN",740,1895,2011
"THI",800,1895,2011
"USA",2,1896,2011
"HAI",41,1896,2011
"DOM",42,1896,2011
"MEX",70,1896,2011
"GUA",90,1896,2011
"SAL",92,1896,2011
"COL",100,1896,2011
"VEN",101,1896,2011
"ECU",130,1896,2011
"PER",135,1896,2011
"BRA",140,1896,2011
"BOL",145,1896,2011
"PAR",150,1896,2011
"CHL",155,1896,2011
"ARG",160,1896,2011
"URU",165,1896,2011
"UKG",200,1896,2011
"NTH",210,1896,2011
"BEL",211,1896,2011
"FRN",220,1896,2011
"SWZ",225,1896,2011
"SPN",230,1896,2011
"POR",235,1896,2011
"GMY",255,1896,2011
"AUH",300,1896,2011
"ITA",325,1896,2011
"YUG",345,1896,2011
"GRC",350,1896,2011
"ROM",360,1896,2011
"RUS",365,1896,2011
"SWD",380,1896,2011
"DEN",390,1896,2011
"MOR",600,1896,2011
"IRN",630,1896,2011
"TUR",640,1896,2011
"CHN",710,1896,2011
"KOR",730,1896,2011
"JPN",740,1896,2011
"THI",800,1896,2011
"USA",2,1897,2011
"HAI",41,1897,2011
"DOM",42,1897,2011
"MEX",70,1897,2011
"GUA",90,1897,2011
"SAL",92,1897,2011
"COL",100,1897,2011
"VEN",101,1897,2011
"ECU",130,1897,2011
"PER",135,1897,2011
"BRA",140,1897,2011
"BOL",145,1897,2011
"PAR",150,1897,2011
"CHL",155,1897,2011
"ARG",160,1897,2011
"URU",165,1897,2011
"UKG",200,1897,2011
"NTH",210,1897,2011
"BEL",211,1897,2011
"FRN",220,1897,2011
"SWZ",225,1897,2011
"SPN",230,1897,2011
"POR",235,1897,2011
"GMY",255,1897,2011
"AUH",300,1897,2011
"ITA",325,1897,2011
"YUG",345,1897,2011
"GRC",350,1897,2011
"ROM",360,1897,2011
"RUS",365,1897,2011
"SWD",380,1897,2011
"DEN",390,1897,2011
"MOR",600,1897,2011
"IRN",630,1897,2011
"TUR",640,1897,2011
"CHN",710,1897,2011
"KOR",730,1897,2011
"JPN",740,1897,2011
"THI",800,1897,2011
"USA",2,1898,2011
"HAI",41,1898,2011
"DOM",42,1898,2011
"MEX",70,1898,2011
"GUA",90,1898,2011
"SAL",92,1898,2011
"COL",100,1898,2011
"VEN",101,1898,2011
"ECU",130,1898,2011
"PER",135,1898,2011
"BRA",140,1898,2011
"BOL",145,1898,2011
"PAR",150,1898,2011
"CHL",155,1898,2011
"ARG",160,1898,2011
"URU",165,1898,2011
"UKG",200,1898,2011
"NTH",210,1898,2011
"BEL",211,1898,2011
"FRN",220,1898,2011
"SWZ",225,1898,2011
"SPN",230,1898,2011
"POR",235,1898,2011
"GMY",255,1898,2011
"AUH",300,1898,2011
"ITA",325,1898,2011
"YUG",345,1898,2011
"GRC",350,1898,2011
"ROM",360,1898,2011
"RUS",365,1898,2011
"SWD",380,1898,2011
"DEN",390,1898,2011
"ETH",530,1898,2011
"MOR",600,1898,2011
"IRN",630,1898,2011
"TUR",640,1898,2011
"CHN",710,1898,2011
"KOR",730,1898,2011
"JPN",740,1898,2011
"THI",800,1898,2011
"USA",2,1899,2011
"HAI",41,1899,2011
"DOM",42,1899,2011
"MEX",70,1899,2011
"GUA",90,1899,2011
"HON",91,1899,2011
"SAL",92,1899,2011
"COL",100,1899,2011
"VEN",101,1899,2011
"ECU",130,1899,2011
"PER",135,1899,2011
"BRA",140,1899,2011
"BOL",145,1899,2011
"PAR",150,1899,2011
"CHL",155,1899,2011
"ARG",160,1899,2011
"URU",165,1899,2011
"UKG",200,1899,2011
"NTH",210,1899,2011
"BEL",211,1899,2011
"FRN",220,1899,2011
"SWZ",225,1899,2011
"SPN",230,1899,2011
"POR",235,1899,2011
"GMY",255,1899,2011
"AUH",300,1899,2011
"ITA",325,1899,2011
"YUG",345,1899,2011
"GRC",350,1899,2011
"ROM",360,1899,2011
"RUS",365,1899,2011
"SWD",380,1899,2011
"DEN",390,1899,2011
"ETH",530,1899,2011
"MOR",600,1899,2011
"IRN",630,1899,2011
"TUR",640,1899,2011
"CHN",710,1899,2011
"KOR",730,1899,2011
"JPN",740,1899,2011
"THI",800,1899,2011
"USA",2,1900,2011
"HAI",41,1900,2011
"DOM",42,1900,2011
"MEX",70,1900,2011
"GUA",90,1900,2011
"HON",91,1900,2011
"SAL",92,1900,2011
"NIC",93,1900,2011
"COL",100,1900,2011
"VEN",101,1900,2011
"ECU",130,1900,2011
"PER",135,1900,2011
"BRA",140,1900,2011
"BOL",145,1900,2011
"PAR",150,1900,2011
"CHL",155,1900,2011
"ARG",160,1900,2011
"URU",165,1900,2011
"UKG",200,1900,2011
"NTH",210,1900,2011
"BEL",211,1900,2011
"FRN",220,1900,2011
"SWZ",225,1900,2011
"SPN",230,1900,2011
"POR",235,1900,2011
"GMY",255,1900,2011
"AUH",300,1900,2011
"ITA",325,1900,2011
"YUG",345,1900,2011
"GRC",350,1900,2011
"ROM",360,1900,2011
"RUS",365,1900,2011
"SWD",380,1900,2011
"DEN",390,1900,2011
"ETH",530,1900,2011
"MOR",600,1900,2011
"IRN",630,1900,2011
"TUR",640,1900,2011
"CHN",710,1900,2011
"KOR",730,1900,2011
"JPN",740,1900,2011
"THI",800,1900,2011
"USA",2,1901,2011
"HAI",41,1901,2011
"DOM",42,1901,2011
"MEX",70,1901,2011
"GUA",90,1901,2011
"HON",91,1901,2011
"SAL",92,1901,2011
"NIC",93,1901,2011
"COL",100,1901,2011
"VEN",101,1901,2011
"ECU",130,1901,2011
"PER",135,1901,2011
"BRA",140,1901,2011
"BOL",145,1901,2011
"PAR",150,1901,2011
"CHL",155,1901,2011
"ARG",160,1901,2011
"URU",165,1901,2011
"UKG",200,1901,2011
"NTH",210,1901,2011
"BEL",211,1901,2011
"FRN",220,1901,2011
"SWZ",225,1901,2011
"SPN",230,1901,2011
"POR",235,1901,2011
"GMY",255,1901,2011
"AUH",300,1901,2011
"ITA",325,1901,2011
"YUG",345,1901,2011
"GRC",350,1901,2011
"ROM",360,1901,2011
"RUS",365,1901,2011
"SWD",380,1901,2011
"DEN",390,1901,2011
"ETH",530,1901,2011
"MOR",600,1901,2011
"IRN",630,1901,2011
"TUR",640,1901,2011
"CHN",710,1901,2011
"KOR",730,1901,2011
"JPN",740,1901,2011
"THI",800,1901,2011
"USA",2,1902,2011
"CUB",40,1902,2011
"HAI",41,1902,2011
"DOM",42,1902,2011
"MEX",70,1902,2011
"GUA",90,1902,2011
"HON",91,1902,2011
"SAL",92,1902,2011
"NIC",93,1902,2011
"COL",100,1902,2011
"VEN",101,1902,2011
"ECU",130,1902,2011
"PER",135,1902,2011
"BRA",140,1902,2011
"BOL",145,1902,2011
"PAR",150,1902,2011
"CHL",155,1902,2011
"ARG",160,1902,2011
"URU",165,1902,2011
"UKG",200,1902,2011
"NTH",210,1902,2011
"BEL",211,1902,2011
"FRN",220,1902,2011
"SWZ",225,1902,2011
"SPN",230,1902,2011
"POR",235,1902,2011
"GMY",255,1902,2011
"AUH",300,1902,2011
"ITA",325,1902,2011
"YUG",345,1902,2011
"GRC",350,1902,2011
"ROM",360,1902,2011
"RUS",365,1902,2011
"SWD",380,1902,2011
"DEN",390,1902,2011
"ETH",530,1902,2011
"MOR",600,1902,2011
"IRN",630,1902,2011
"TUR",640,1902,2011
"CHN",710,1902,2011
"KOR",730,1902,2011
"JPN",740,1902,2011
"THI",800,1902,2011
"USA",2,1903,2011
"CUB",40,1903,2011
"HAI",41,1903,2011
"DOM",42,1903,2011
"MEX",70,1903,2011
"GUA",90,1903,2011
"HON",91,1903,2011
"SAL",92,1903,2011
"NIC",93,1903,2011
"PAN",95,1903,2011
"COL",100,1903,2011
"VEN",101,1903,2011
"ECU",130,1903,2011
"PER",135,1903,2011
"BRA",140,1903,2011
"BOL",145,1903,2011
"PAR",150,1903,2011
"CHL",155,1903,2011
"ARG",160,1903,2011
"URU",165,1903,2011
"UKG",200,1903,2011
"NTH",210,1903,2011
"BEL",211,1903,2011
"FRN",220,1903,2011
"SWZ",225,1903,2011
"SPN",230,1903,2011
"POR",235,1903,2011
"GMY",255,1903,2011
"AUH",300,1903,2011
"ITA",325,1903,2011
"YUG",345,1903,2011
"GRC",350,1903,2011
"ROM",360,1903,2011
"RUS",365,1903,2011
"SWD",380,1903,2011
"DEN",390,1903,2011
"ETH",530,1903,2011
"MOR",600,1903,2011
"IRN",630,1903,2011
"TUR",640,1903,2011
"CHN",710,1903,2011
"KOR",730,1903,2011
"JPN",740,1903,2011
"THI",800,1903,2011
"USA",2,1904,2011
"CUB",40,1904,2011
"HAI",41,1904,2011
"DOM",42,1904,2011
"MEX",70,1904,2011
"GUA",90,1904,2011
"HON",91,1904,2011
"SAL",92,1904,2011
"NIC",93,1904,2011
"PAN",95,1904,2011
"COL",100,1904,2011
"VEN",101,1904,2011
"ECU",130,1904,2011
"PER",135,1904,2011
"BRA",140,1904,2011
"BOL",145,1904,2011
"PAR",150,1904,2011
"CHL",155,1904,2011
"ARG",160,1904,2011
"URU",165,1904,2011
"UKG",200,1904,2011
"NTH",210,1904,2011
"BEL",211,1904,2011
"FRN",220,1904,2011
"SWZ",225,1904,2011
"SPN",230,1904,2011
"POR",235,1904,2011
"GMY",255,1904,2011
"AUH",300,1904,2011
"ITA",325,1904,2011
"YUG",345,1904,2011
"GRC",350,1904,2011
"ROM",360,1904,2011
"RUS",365,1904,2011
"SWD",380,1904,2011
"DEN",390,1904,2011
"ETH",530,1904,2011
"MOR",600,1904,2011
"IRN",630,1904,2011
"TUR",640,1904,2011
"CHN",710,1904,2011
"KOR",730,1904,2011
"JPN",740,1904,2011
"THI",800,1904,2011
"USA",2,1905,2011
"CUB",40,1905,2011
"HAI",41,1905,2011
"DOM",42,1905,2011
"MEX",70,1905,2011
"GUA",90,1905,2011
"HON",91,1905,2011
"SAL",92,1905,2011
"NIC",93,1905,2011
"PAN",95,1905,2011
"COL",100,1905,2011
"VEN",101,1905,2011
"ECU",130,1905,2011
"PER",135,1905,2011
"BRA",140,1905,2011
"BOL",145,1905,2011
"PAR",150,1905,2011
"CHL",155,1905,2011
"ARG",160,1905,2011
"URU",165,1905,2011
"UKG",200,1905,2011
"NTH",210,1905,2011
"BEL",211,1905,2011
"FRN",220,1905,2011
"SWZ",225,1905,2011
"SPN",230,1905,2011
"POR",235,1905,2011
"GMY",255,1905,2011
"AUH",300,1905,2011
"ITA",325,1905,2011
"YUG",345,1905,2011
"GRC",350,1905,2011
"ROM",360,1905,2011
"RUS",365,1905,2011
"SWD",380,1905,2011
"NOR",385,1905,2011
"DEN",390,1905,2011
"ETH",530,1905,2011
"MOR",600,1905,2011
"IRN",630,1905,2011
"TUR",640,1905,2011
"CHN",710,1905,2011
"KOR",730,1905,2011
"JPN",740,1905,2011
"THI",800,1905,2011
"USA",2,1906,2011
"CUB",40,1906,2011
"HAI",41,1906,2011
"DOM",42,1906,2011
"MEX",70,1906,2011
"GUA",90,1906,2011
"HON",91,1906,2011
"SAL",92,1906,2011
"NIC",93,1906,2011
"PAN",95,1906,2011
"COL",100,1906,2011
"VEN",101,1906,2011
"ECU",130,1906,2011
"PER",135,1906,2011
"BRA",140,1906,2011
"BOL",145,1906,2011
"PAR",150,1906,2011
"CHL",155,1906,2011
"ARG",160,1906,2011
"URU",165,1906,2011
"UKG",200,1906,2011
"NTH",210,1906,2011
"BEL",211,1906,2011
"FRN",220,1906,2011
"SWZ",225,1906,2011
"SPN",230,1906,2011
"POR",235,1906,2011
"GMY",255,1906,2011
"AUH",300,1906,2011
"ITA",325,1906,2011
"YUG",345,1906,2011
"GRC",350,1906,2011
"ROM",360,1906,2011
"RUS",365,1906,2011
"SWD",380,1906,2011
"NOR",385,1906,2011
"DEN",390,1906,2011
"ETH",530,1906,2011
"MOR",600,1906,2011
"IRN",630,1906,2011
"TUR",640,1906,2011
"CHN",710,1906,2011
"JPN",740,1906,2011
"THI",800,1906,2011
"USA",2,1907,2011
"HAI",41,1907,2011
"DOM",42,1907,2011
"MEX",70,1907,2011
"GUA",90,1907,2011
"HON",91,1907,2011
"SAL",92,1907,2011
"NIC",93,1907,2011
"PAN",95,1907,2011
"COL",100,1907,2011
"VEN",101,1907,2011
"ECU",130,1907,2011
"PER",135,1907,2011
"BRA",140,1907,2011
"BOL",145,1907,2011
"PAR",150,1907,2011
"CHL",155,1907,2011
"ARG",160,1907,2011
"URU",165,1907,2011
"UKG",200,1907,2011
"NTH",210,1907,2011
"BEL",211,1907,2011
"FRN",220,1907,2011
"SWZ",225,1907,2011
"SPN",230,1907,2011
"POR",235,1907,2011
"GMY",255,1907,2011
"AUH",300,1907,2011
"ITA",325,1907,2011
"YUG",345,1907,2011
"GRC",350,1907,2011
"ROM",360,1907,2011
"RUS",365,1907,2011
"SWD",380,1907,2011
"NOR",385,1907,2011
"DEN",390,1907,2011
"ETH",530,1907,2011
"MOR",600,1907,2011
"IRN",630,1907,2011
"TUR",640,1907,2011
"CHN",710,1907,2011
"JPN",740,1907,2011
"THI",800,1907,2011
"USA",2,1908,2011
"HAI",41,1908,2011
"DOM",42,1908,2011
"MEX",70,1908,2011
"GUA",90,1908,2011
"HON",91,1908,2011
"SAL",92,1908,2011
"NIC",93,1908,2011
"PAN",95,1908,2011
"COL",100,1908,2011
"VEN",101,1908,2011
"ECU",130,1908,2011
"PER",135,1908,2011
"BRA",140,1908,2011
"BOL",145,1908,2011
"PAR",150,1908,2011
"CHL",155,1908,2011
"ARG",160,1908,2011
"URU",165,1908,2011
"UKG",200,1908,2011
"NTH",210,1908,2011
"BEL",211,1908,2011
"FRN",220,1908,2011
"SWZ",225,1908,2011
"SPN",230,1908,2011
"POR",235,1908,2011
"GMY",255,1908,2011
"AUH",300,1908,2011
"ITA",325,1908,2011
"YUG",345,1908,2011
"GRC",350,1908,2011
"BUL",355,1908,2011
"ROM",360,1908,2011
"RUS",365,1908,2011
"SWD",380,1908,2011
"NOR",385,1908,2011
"DEN",390,1908,2011
"ETH",530,1908,2011
"MOR",600,1908,2011
"IRN",630,1908,2011
"TUR",640,1908,2011
"CHN",710,1908,2011
"JPN",740,1908,2011
"THI",800,1908,2011
"USA",2,1909,2011
"CUB",40,1909,2011
"HAI",41,1909,2011
"DOM",42,1909,2011
"MEX",70,1909,2011
"GUA",90,1909,2011
"HON",91,1909,2011
"SAL",92,1909,2011
"NIC",93,1909,2011
"PAN",95,1909,2011
"COL",100,1909,2011
"VEN",101,1909,2011
"ECU",130,1909,2011
"PER",135,1909,2011
"BRA",140,1909,2011
"BOL",145,1909,2011
"PAR",150,1909,2011
"CHL",155,1909,2011
"ARG",160,1909,2011
"URU",165,1909,2011
"UKG",200,1909,2011
"NTH",210,1909,2011
"BEL",211,1909,2011
"FRN",220,1909,2011
"SWZ",225,1909,2011
"SPN",230,1909,2011
"POR",235,1909,2011
"GMY",255,1909,2011
"AUH",300,1909,2011
"ITA",325,1909,2011
"YUG",345,1909,2011
"GRC",350,1909,2011
"BUL",355,1909,2011
"ROM",360,1909,2011
"RUS",365,1909,2011
"SWD",380,1909,2011
"NOR",385,1909,2011
"DEN",390,1909,2011
"ETH",530,1909,2011
"MOR",600,1909,2011
"IRN",630,1909,2011
"TUR",640,1909,2011
"CHN",710,1909,2011
"JPN",740,1909,2011
"THI",800,1909,2011
"USA",2,1910,2011
"CUB",40,1910,2011
"HAI",41,1910,2011
"DOM",42,1910,2011
"MEX",70,1910,2011
"GUA",90,1910,2011
"HON",91,1910,2011
"SAL",92,1910,2011
"NIC",93,1910,2011
"PAN",95,1910,2011
"COL",100,1910,2011
"VEN",101,1910,2011
"ECU",130,1910,2011
"PER",135,1910,2011
"BRA",140,1910,2011
"BOL",145,1910,2011
"PAR",150,1910,2011
"CHL",155,1910,2011
"ARG",160,1910,2011
"URU",165,1910,2011
"UKG",200,1910,2011
"NTH",210,1910,2011
"BEL",211,1910,2011
"FRN",220,1910,2011
"SWZ",225,1910,2011
"SPN",230,1910,2011
"POR",235,1910,2011
"GMY",255,1910,2011
"AUH",300,1910,2011
"ITA",325,1910,2011
"YUG",345,1910,2011
"GRC",350,1910,2011
"BUL",355,1910,2011
"ROM",360,1910,2011
"RUS",365,1910,2011
"SWD",380,1910,2011
"NOR",385,1910,2011
"DEN",390,1910,2011
"ETH",530,1910,2011
"MOR",600,1910,2011
"IRN",630,1910,2011
"TUR",640,1910,2011
"CHN",710,1910,2011
"JPN",740,1910,2011
"THI",800,1910,2011
"USA",2,1911,2011
"CUB",40,1911,2011
"HAI",41,1911,2011
"DOM",42,1911,2011
"MEX",70,1911,2011
"GUA",90,1911,2011
"HON",91,1911,2011
"SAL",92,1911,2011
"NIC",93,1911,2011
"PAN",95,1911,2011
"COL",100,1911,2011
"VEN",101,1911,2011
"ECU",130,1911,2011
"PER",135,1911,2011
"BRA",140,1911,2011
"BOL",145,1911,2011
"PAR",150,1911,2011
"CHL",155,1911,2011
"ARG",160,1911,2011
"URU",165,1911,2011
"UKG",200,1911,2011
"NTH",210,1911,2011
"BEL",211,1911,2011
"FRN",220,1911,2011
"SWZ",225,1911,2011
"SPN",230,1911,2011
"POR",235,1911,2011
"GMY",255,1911,2011
"AUH",300,1911,2011
"ITA",325,1911,2011
"YUG",345,1911,2011
"GRC",350,1911,2011
"BUL",355,1911,2011
"ROM",360,1911,2011
"RUS",365,1911,2011
"SWD",380,1911,2011
"NOR",385,1911,2011
"DEN",390,1911,2011
"ETH",530,1911,2011
"MOR",600,1911,2011
"IRN",630,1911,2011
"TUR",640,1911,2011
"CHN",710,1911,2011
"JPN",740,1911,2011
"THI",800,1911,2011
"USA",2,1912,2011
"CUB",40,1912,2011
"HAI",41,1912,2011
"DOM",42,1912,2011
"MEX",70,1912,2011
"GUA",90,1912,2011
"HON",91,1912,2011
"SAL",92,1912,2011
"NIC",93,1912,2011
"PAN",95,1912,2011
"COL",100,1912,2011
"VEN",101,1912,2011
"ECU",130,1912,2011
"PER",135,1912,2011
"BRA",140,1912,2011
"BOL",145,1912,2011
