AA AAPL ABT AEP ALL AMGN AMZN AVP AXP
-0.010835 0.003189 -0.029697 -0.030612 0 -0.050508 0 -0.021333 -0.022519
0.067138 0.045772 0.004251 -0.016447 0.064567 -0.013567 -0.002674 0.013851 0.07419
-0.005298 -0.055319 0.025397 -0.013601 0.001479 0.022439 -0.049598 0.021948 -0.021083
-0.033289 -0.025097 0.029928 -0.003165 0.014771 0.013982 -0.104372 0.024545 0.012997
0.041667 0.023762 0.021844 -0.005669 0.036099 0.037703 -0.023622 -0.009412 0.006598
0.025124 0 0.016866 -0.014139 0.049452 -0.011438 -0.037097 -0.001296 0.058267
-0.00258 0.001934 0.018129 0.014111 -0.036412 -0.004424 0.0067 0.000649 0.011012
0.032978 -0.031532 0.011555 0.028969 0.040845 0.012135 0.011647 -0.001729 -0.012934
0.004382 -0.004651 -0.036517 0.014409 0.000801 0.010469 0.111842 0.012771 0.035172
-0.039576 0.06008 0.004082 0.010708 0.002934 -0.03994 0.04142 -0.012396 -0.035404
0.023361 0.016373 0.006194 0.010811 -0.016489 0.022454 0.022727 0.023804 -0.037742
-0.046925 0.003718 -0.00404 -0.018824 -0.015955 -0.017365 -0.011111 -0.000846 -0.012594
0.051564 -0.012346 -0.014294 -0.022237 0.003847 -0.005198 -0.029494 -0.026867 0.056851
0.006327 0.05125 0.031746 -0.010479 -0.006844 0.027168 0.050651 0.023913 0.017931
0.028607 0.054697 -0.026971 -0.00721 -0.094542 0.04527 0.081267 -0.040552 0.01626
-0.012225 0.01522 0.017444 0.000454 0.030441 -0.000649 0.028025 -0.026333 -0.000333
-0.009901 -0.001111 0.020998 -0.002722 -0.004136 0.009739 0.100372 -0.008636 0.03001
0.025313 0.001112 0.009057 0.011147 0.00801 -0.010609 0.076577 0.011463 0.013273
-0.023773 -0.056635 -0.004862 0.000675 -0.010889 -0.041267 -0.066946 0.037851 -0.039936
-0.004059 0.059447 -0.012401 -0.027653 -0.02886 0.001525 -0.050448 0.004586 0.001331
-0.00721 0.016667 0.009323 0.021734 -0.007659 0.013875 -0.054309 0.028913 -0.02559
0.036628 0.039344 0.028841 -0.009052 0.03674 -0.001335 0.094881 -0.006972 0.034106
0.028023 -0.046267 -0.013192 -0.014844 -0.011912 -0.013202 0.08894 -0.000638 -0.001979
0.006519 0.044653 0.007055 -0.012749 -0.011453 -0.033362 -0.2 -0.012348 -0.008923
0.024728 0.012665 0.005715 0.019723 -0.006098 0.020498 0.017016 0.021341 0.022674
0.002011 -0.027097 -0.004583 -0.013815 -0.002454 0.020601 -0.027027 0.013508 0.00163
-0.023796 -0.055704 -0.004972 0.000467 -0.003998 -0.039024 -0.06746 -0.026447 -0.025391
-0.025844 -0.001702 -0.004627 -0.014236 -0.023155 -0.004376 -0.089362 -0.007701 -0.014028
-0.022611 -0.002273 -0.014875 -0.008049 -0.008217 -0.001055 0.087227 0.009485 -0.003049
0.014255 0.058656 0.017743 0.013842 0.012428 0.020767 -0.004298 0.026265 0.010533
0.016193 -0.001076 0.009829 -0.004473 0.005351 -0.006207 -0.034532 -0.009988 0.006725
-0.001503 0.026925 -0.011938 0.03476 0.025047 0.015614 0.041729 -0.007146 0.014362
0.024089 0.026219 0.008364 0.006627 -0.004276 0.012299 0.008584 0.008679 0.006256
0.011173 0.001022 -0.00977 0.00681 -0.003067 0.011475 0.053901 0.004827 0.036649
0.006688 -0.044921 -0.003537 0.016 -0.005846 -0.039373 -0.061911 -0.017544 0.022727
0.010688 0 -0.006165 0.002025 -0.016713 -0.011983 0.021521 0.00744 0.009568
-0.008574 0.002138 0.007707 -0.008756 0.001259 -0.010898 -0.009831 -0.009285 -0.018954
0.046411 0.033067 -0.00914 0.007474 0.015404 0.030567 0.034043 0.016826 0.00187
