tstamp	tyear	pow
200201161935   15.81597   5395
200201161940   15.81944   5105
200201161945   15.82292   5684
200201161950   15.82639   5822
200201161955   15.82986   5448
200201162000   15.83333   5403
200201162005   15.83681   5829
200201162010   15.84028   6446
200201162015   15.84375   5997
200201162020   15.84722   5372
200201162025   15.85069   4580
200201162030   15.85417   3787
200201162035   15.85764   3086
200201162040   15.86111   2134
200201162045   15.86458   2301
200201162050   15.86806   4343
200201162055   15.87153   6683
200201162100   15.87500   7201
200201162105   15.87847   7673
200201162110   15.88194   8291
200201162115   15.88542   7993
200201162120   15.88889   7277
200201162125   15.89236   6965
200201162130   15.89583   7140
200201162135   15.89931   7132
200201162140   15.90278   8153
200201162145   15.90625   9586
200201162150   15.90972  10653
200201162155   15.91319  11689
200201162200   15.91667  11994
200201162205   15.92014  12504
200201162210   15.92361  12870
200201162215   15.92708  12809
200201162220   15.93056  12756
200201162225   15.93403  12459
200201162230   15.93750  11605
200201162235   15.94097  11232
200201162240   15.94444  11468
200201162245   15.94792  11415
200201162250   15.95139  11255
200201162255   15.95486  10378
200201162300   15.95833  10599
200201162305   15.96181  11232
200201162310   15.96528  11354
200201162315   15.96875  11956
200201162320   15.97222  11910
200201162325   15.97569  11537
200201162330   15.97917  11666
200201162335   15.98264  10729
200201162340   15.98611   9449
200201162345   15.98958   8816
200201162350   15.99306   8176
200201162355   15.99653   8283
200201170000   16.00000   8489
200201170005   16.00347   8374
200201170010   16.00694   8565
200201170015   16.01042   8329
200201170020   16.01389   7353
200201170025   16.01736   6866
200201170030   16.02083   6972
200201170035   16.02431   7727
200201170040   16.02778   8352
200201170045   16.03125   8892
200201170050   16.03472   8786
200201170055   16.03819   8626
200201170100   16.04167   8519
200201170105   16.04514   8938
200201170110   16.04861   9350
200201170115   16.05208   9281
200201170120   16.05556   9190
200201170125   16.05903   9312
200201170130   16.06250   9472
200201170135   16.06597   9487
200201170140   16.06944   9388
200201170145   16.07292   9083
200201170150   16.07639   8108
200201170155   16.07986   7483
200201170200   16.08333   7010
200201170205   16.08681   6340
200201170210   16.09028   5784
200201170215   16.09375   5913
200201170220   16.09722   5052
200201170225   16.10069   4481
200201170230   16.10417   4595
200201170235   16.10764   4191
200201170240   16.11111   4953
200201170245   16.11458   6508
200201170250   16.11806   7368
200201170255   16.12153   7125
200201170300   16.12500   6988
200201170305   16.12847   7559
200201170310   16.13194   7574
200201170315   16.13542   8192
200201170320   16.13889   8816
200201170325   16.14236   8877
200201170330   16.14583   7742
200201170335   16.14931   8550
200201170340   16.15278  10081
200201170345   16.15625  10554
200201170350   16.15972  10859
200201170355   16.16319  11011
200201170400   16.16667  10843
200201170405   16.17014  11110
200201170410   16.17361  12299
200201170415   16.17708  12764
200201170420   16.18056  12306
200201170425   16.18403  12268
200201170430   16.18750  11986
200201170435   16.19097  11011
200201170440   16.19444  11011
200201170445   16.19792  10683
200201170450   16.20139  10714
200201170455   16.20486  11217
200201170500   16.20833  11544
200201170505   16.21181  11346
200201170510   16.21528  11499
200201170515   16.21875  10973
200201170520   16.22222   8801
200201170525   16.22569   9815
200201170530   16.22917  11148
200201170535   16.23264  11834
200201170540   16.23611  13282
200201170545   16.23958  14265
200201170550   16.24306  13907
200201170555   16.24653  13838
200201170600   16.25000  13762
200201170605   16.25347  13708
200201170610   16.25694  13716
200201170615   16.26042  13548
200201170620   16.26389  13739
200201170625   16.26736  13762
200201170630   16.27083  13137
200201170635   16.27431  12230
200201170640   16.27778  12123
200201170645   16.28125  11826
200201170650   16.28472  12101
200201170655   16.28819  12002
200201170700   16.29167  12062
200201170705   16.29514  12680
200201170710   16.29861  12977
200201170715   16.30208  13274
200201170720   16.30556  13739
200201170725   16.30903  14067
200201170730   16.31250  14585
200201170735   16.31597  14135
200201170740   16.31944  14326
200201170745   16.32292  14760
200201170750   16.32639  15050
200201170755   16.32986  14592
200201170800   16.33333  14912
200201170805   16.33681  14806
200201170810   16.34028  12832
200201170815   16.34375  11575
200201170820   16.34722  10698
200201170825   16.35069  10607
200201170830   16.35417  10775
200201170835   16.35764   9769
200201170840   16.36111   9662
200201170845   16.36458   9830
200201170850   16.36806  10226
200201170855   16.37153  11087
200201170900   16.37500  11773
200201170905   16.37847  11781
200201170910   16.38194  11392
200201170915   16.38542  11849
200201170920   16.38889  12146
200201170925   16.39236  13137
200201170930   16.39583  14120
200201170935   16.39931  14531
200201170940   16.40278  14181
200201170945   16.40625  13472
200201170950   16.40972  13701
200201170955   16.41319  14440
200201171000   16.41667  13937
200201171005   16.42014  13884
200201171010   16.42361  13998
200201171015   16.42708  14150
200201171020   16.43056  14737
200201171025   16.43403  14790
200201171030   16.43750  14661
200201171035   16.44097  14021
200201171040   16.44444  13998
200201171045   16.44792  13945
200201171050   16.45139  13800
200201171055   16.45486  14006
200201171100   16.45833  13754
200201171105   16.46181  13884
200201171110   16.46528  14288
200201171115   16.46875  14920
200201171120   16.47222  14989
200201171125   16.47569  14646
200201171130   16.47917  15316
200201171135   16.48264  15354
200201171140   16.48611  14592
200201171145   16.48958  14409
200201171150   16.49306  13952
200201171155   16.49653  13693
200201171200   16.50000  15042
200201171205   16.50347  15347
200201171210   16.50694  15316
200201171215   16.51042  15514
200201171220   16.51389  16116
200201171225   16.51736  16292
200201171230   16.52083  15895
200201171235   16.52431  14585
200201171240   16.52778  12893
200201171245   16.53125  13396
200201171250   16.53472  13785
200201171255   16.53819  14783
200201171300   16.54167  14569
200201171305   16.54514  14074
200201171310   16.54861  13365
200201171315   16.55208  13381
200201171320   16.55556  13084
200201171325   16.55903  13289
200201171330   16.56250  13411
200201171335   16.56597  13167
200201171340   16.56944  12977
200201171345   16.57292  12924
200201171350   16.57639  13449
200201171355   16.57986  13731
200201171400   16.58333  13503
200201171405   16.58681  13541
200201171410   16.59028  13960
200201171415   16.59375  12924
200201171420   16.59722  12047
200201171425   16.60069  11240
200201171430   16.60417  10455
200201171435   16.60764  10417
200201171440   16.61111  11339
200201171445   16.61458  11857
200201171450   16.61806  12619
200201171455   16.62153  11720
200201171500   16.62500  11278
200201171505   16.62847  12619
200201171510   16.63194  12619
200201171515   16.63542  12741
200201171520   16.63889  12413
200201171525   16.64236  13388
200201171530   16.64583  14234
200201171535   16.64931  13472
200201171540   16.65278  12154
200201171545   16.65625  10843
200201171550   16.65972  10386
200201171555   16.66319   9334
200201171600   16.66667   9106
200201171605   16.67014  10317
200201171610   16.67361  12276
200201171615   16.67708  14188
200201171620   16.68056  15461
200201171625   16.68403  15011
200201171630   16.68750  13533
200201171635   16.69097  13023
200201171640   16.69444  13724
200201171645   16.69792  14691
200201171650   16.70139  14242
200201171655   16.70486  14379
200201171700   16.70833  12367
200201171705   16.71181  12459
200201171710   16.71528  13526
200201171715   16.71875  12497
200201171720   16.72222  12322
200201171725   16.72569  12771
200201171730   16.72917  13815
200201171735   16.73264  14912
200201171740   16.73611  16398
200201171745   16.73958  15926
200201171750   16.74306  14478
200201171755   16.74653  14394
200201171800   16.75000  15758
200201171805   16.75347  16345
200201171810   16.75694  17473
200201171815   16.76042  16292
200201171820   16.76389  12451
200201171825   16.76736  13091
200201171830   16.77083  15065
200201171835   16.77431  15004
200201171840   16.77778  15964
200201171845   16.78125  15225
200201171850   16.78472  13823
200201171855   16.78819  13190
200201171900   16.79167  13571
200201171905   16.79514  13404
200201171910   16.79861  12977
200201171915   16.80208  11499
200201171920   16.80556  11346
200201171925   16.80903  10729
200201171930   16.81250  10371
200201171935   16.81597  10081
200201171940   16.81944  10241
200201171945   16.82292  10592
200201171950   16.82639   9083
200201171955   16.82986   8892
200201172000   16.83333   9380
200201172005   16.83681   9487
200201172010   16.84028   9350
200201172015   16.84375   9334
200201172020   16.84722  10676
200201172025   16.85069  11674
200201172030   16.85417  11902
200201172035   16.85764  11826
200201172040   16.86111  12306
200201172045   16.86458  12626
200201172050   16.86806  12177
200201172055   16.87153  11064
200201172100   16.87500   9883
200201172105   16.87847   8771
200201172110   16.88194   7445
200201172115   16.88542   7452
200201172120   16.88889   8816
200201172125   16.89236  10546
200201172130   16.89583  10897
200201172135   16.89931  10607
200201172140   16.90278  10859
200201172145   16.90625  11994
