unsteady_bouss_testproblem

Specification of unsteady Boussinesq problem.

choose specific example
     1  Bottom heated cavity
     2  Laterally heated cavity
     3  Bottom heated forward step : 1

-----------------------------------------------------------
Boussinesq flow in a rectangular cavity [0,L]x[0,H]
-----------------------------------------------------------

Grid generation for Boussinesq box domain 
Input the domain height H (default 8) : 1
Input the domain width  L (default 1) : 8
Grid type: uniform/stretched 1/2 (default stretched) : 1
Input the number of elements in y direction : 20
Number of elements in x-direction. 
Input the multiplication factor in x-direction (default L/H) : 
Choose node enumeration direction x/y : 1/2 (default is x) : 2
Type of BC for the temperature on vertical walls:
   1   Adiabatic (Neumann, default)
   2   Perfectly conducting (Dirichlet) : 

Grid statistics (level  1):
   Number of elements:  3200 (160 x  20)
   hxmin=0.0500    hxmax=0.0500
   hymin=0.0500    hymax=0.0500
Grid partitioning done in    0.228 seconds
Grid data saved in box_grid1h.mat.

SPACE DISCRETISATION OF THE BOUSSINESQ PROBLEM (u,p,T): 
Setting up Q2-Q1-Q2 matrices:  
   Number of elements:              3200
   Number of velocity dofs (x+y):  26322
   Number of pressure dofs:         3381
   Number of temperature dofs:     13161
   Total number of dofs:           42864
   System setup in    1.404 seconds
Grid data saved in rect_grid1h.mat.
System matrices saved in rect_bouss_nobc.mat.


Unsteady Boussinesq flow in a cavity domain ...
To restart integration from Checkpoint datafile run restart_bouss
Rayleigh number (default 3.4e5) : 15000
Prandtl number (default 0.71) : 7.1
target time? (default 100) : 300
number of timesteps (x200)? (default 5) : 2
accuracy tolerance? (default 3e-5) : 1e-6
number of nonlinear Picard correction steps? (default is none) : 0
averaging frequency? (default 10) : 
plot solution evolution? 1/0 : 
generate solution history data points? 1/0 (default is no) : 
      fluid viscosity parameter is 2.18e-02 
temperature viscosity parameter is 3.06e-03 
Integrating using stabilized TR ...
intermediate (CheckPoint) datafile: stabtrBouss_restart
[Warning: Matrix is close to singular or badly scaled. Results may be inaccurate. RCOND =
1.799118e-23.] 
[> In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/stabtrBouss.m',108,1)">stabtrBouss at 108</a>
  In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/unsteady_bouss.m',48,1)">unsteady_bouss at 48</a>
  In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/test_problems/unsteady_bouss_testproblem.m',16,1)">unsteady_bouss_testproblem at 16</a>] 

lastmsg =

Matrix is close to singular or badly scaled. Results may be inaccurate. RCOND =  1.799118e-23.

This should not cause difficulty for enclosed flow problems.

 StabTR with no nonlinear corrections

   step  timestep    time    meanKE   vorticity
   121   2.20e-02     0.77   0.0000   0.0000   
   122   2.25e-02     0.79   0.0000   0.0000   
   123   2.32e-02     0.82   0.0000   0.0000   
   124   2.39e-02     0.84   0.0000   0.0000   
   125   2.46e-02     0.87   0.0000   0.0000   
   126   2.55e-02     0.89   0.0000   0.0000   
   127   2.63e-02     0.92   0.0000   0.0000   
   128   2.71e-02     0.94   0.0000   0.0000   
   129   2.80e-02     0.97   0.0000   0.0000   
   130   2.89e-02     1.00   0.0000   0.0000   --- Averaging
   131   2.98e-02     1.02   0.0000   0.0000   
   132   3.04e-02     1.05   0.0000   0.0000   
   133   3.13e-02     1.08   0.0000   0.0000   
   134   3.23e-02     1.11   0.0000   0.0000   
   135   3.33e-02     1.14   0.0000   0.0000   
   136   3.44e-02     1.18   0.0000   0.0000   
   137   3.55e-02     1.21   0.0000   0.0000   
   138   3.66e-02     1.25   0.0000   0.0000   
   139   3.77e-02     1.29   0.0000   0.0000   
   140   3.89e-02     1.33   0.0000   0.0000   --- Averaging
   141   4.01e-02     1.35   0.0000   0.0000   
   142   4.09e-02     1.39   0.0000   0.0000   
   143   4.20e-02     1.43   0.0000   0.0000   
   144   4.33e-02     1.47   0.0000   0.0000   
   145   4.46e-02     1.52   0.0000   0.0000   
   146   4.60e-02     1.56   0.0000   0.0000   
   147   4.74e-02     1.61   0.0000   0.0000   
   148   4.89e-02     1.66   0.0000   0.0000   
   149   5.03e-02     1.71   0.0000   0.0000   
   150   5.19e-02     1.76   0.0000   0.0000   --- Averaging
   151   5.34e-02     1.79   0.0000   0.0000   
   152   5.44e-02     1.85   0.0000   0.0000   
   153   5.58e-02     1.90   0.0000   0.0000   
   154   5.75e-02     1.96   0.0000   0.0000   
   155   5.92e-02     2.02   0.0000   0.0000   
   156   6.10e-02     2.08   0.0000   0.0000   
   157   6.28e-02     2.14   0.0000   0.0000   
   158   6.47e-02     2.21   0.0000   0.0000   
   159   6.66e-02     2.27   0.0000   0.0000   
   160   6.85e-02     2.34   0.0000   0.0000   --- Averaging
   161   7.05e-02     2.38   0.0000   0.0000   
   162   7.17e-02     2.45   0.0000   0.0000   
   163   7.36e-02     2.52   0.0000   0.0000   
   164   7.58e-02     2.60   0.0000   0.0000   
   165   7.80e-02     2.68   0.0000   0.0000   
   166   8.02e-02     2.76   0.0000   0.0000   
   167   8.25e-02     2.84   0.0000   0.0000   
   168   8.49e-02     2.92   0.0000   0.0000   
   169   8.74e-02     3.01   0.0000   0.0000   
   170   8.98e-02     3.10   0.0000   0.0000   --- Averaging
   171   9.24e-02     3.15   0.0000   0.0000   
   172   9.39e-02     3.24   0.0000   0.0000   
