## CMB data from WMAP probe
## first column is wavenumber (x variable)
## second column is the estimated specturm
## third column is estimated standard deviation
   ell    Cl             se           measerr    cosmic
  167    4899.3999     425.6142      20.1015     405.5127
  168    4996.2100     426.9413      20.3484     406.5929
  169    4757.9600     428.2393      20.5975     407.6418
  170    4289.2900     429.5077      20.8486     408.6591
  171    4572.1001     430.7460      21.1020     409.6440
  172    4689.1499     431.9539      21.3574     410.5965
  173    4945.3999     433.1309      21.6150     411.5159
  174    4636.6899     434.2766      21.8748     412.4018
  175    5132.3501     435.3905      22.1367     413.2538
  176    5291.8301     436.4723      22.4009     414.0714
  177    4906.1299     437.5216      22.6673     414.8543
  178    5036.7100     438.5381      22.9361     415.6020
  179    6034.5400     439.5211      23.2069     416.3141
  180    5097.6201     440.4704      23.4802     416.9902
  181    3655.3611     441.3857      23.7558     417.6299
  182    4459.3760     442.2665      24.0338     418.2327
  183    4202.4458     443.1124      24.3140     418.7983
  184    5565.5771     443.9230      24.5967     419.3263
  185    5292.7871     444.6981      24.8818     419.8163
  186    4965.5161     445.4371      25.1693     420.2678
  187    5221.6299     446.1398      25.4593     420.6805
  188    5948.0908     446.8058      25.7518     421.0540
  189    6163.9219     447.4347      26.0468     421.3879
  190    5495.4351     448.0262      26.3444     421.6818
  191    5468.0000     448.5798      26.6445     421.9353
  192    6175.0918     449.0953      26.9471     422.1481
  193    5738.8950     449.5723      27.2525     422.3198
  194    5214.8569     450.0104      27.5604     422.4500
  195    4661.0420     450.4094      27.8710     422.5383
  196    5356.1099     450.7687      28.1843     422.5844
  197    5740.6660     451.0882      28.5004     422.5879
  198    5702.0669     451.3676      28.8192     422.5484
  199    5105.9868     451.6064      29.1408     422.4655
  200    6152.4800     459.0997      29.9409     429.1588
  201    5074.6128     456.8416      27.8561     428.9855
  202    5240.9780     456.9322      28.1642     428.7680
  203    5815.8320     456.9815      28.4751     428.5064
  204    5448.9810     457.0176      28.7904     428.2273
  205    5391.9409     456.9856      29.1067     427.8789
  206    4888.0298     456.9135      29.4258     427.4877
  207    4442.5239     456.8294      29.7495     427.0799
  208    4605.2349     456.6784      30.0743     426.6040
  209    4306.1968     456.5163      30.4039     426.1123
  210    5648.5791     456.2878      30.7344     425.5533
  211    5285.3618     456.0489      31.0698     424.9791
  212    5689.2061     455.7445      31.4063     424.3382
  213    5726.2051     455.4306      31.7478     423.6828
  214    5140.9419     455.0796      32.0924     422.9872
  215    6542.2061     454.6643      32.4381     422.2262
  216    5581.5459     454.2404      32.7889     421.4515
  217    4907.5288     453.7805      33.1429     420.6376
  218    6008.8159     453.2574      33.4980     419.7594
  219    5487.0908     452.7265      33.8584     418.8682
  220    6064.0288     452.1609      34.2221     417.9388
  221    6387.7358     451.5607      34.5892     416.9716
  222    5969.8052     450.9262      34.9596     415.9667
  223    5724.6572     450.2579      35.3334     414.9245
  224    5238.1372     449.5566      35.7113     413.8453
  225    5334.3311     448.8226      36.0932     412.7294
  226    5632.4858     448.0555      36.4785     411.5770
  227    5791.2051     447.2560      36.8674     410.3886
  228    5262.7842     446.4241      37.2599     409.1642
  229    4980.0269     445.5602      37.6559     407.9042
  230    5383.9858     444.6646      38.0557     406.6089
  231    5718.6958     443.7377      38.4591     405.2786
  232    5988.0640     442.7798      38.8664     403.9135
  233    5956.9209     441.8180      39.2797     402.5384
  234    4419.0908     440.7989      39.6945     401.1044
  235    6361.1450     439.7495      40.1132     399.6364
  236    6613.8882     438.6703      40.5357     398.1346
  237    5088.7568     437.5883      40.9647     396.6236
  238    5748.0630     436.4502      41.3952     395.0550
  239    5443.6909     435.2832      41.8298     393.4535
  240    6037.1948     434.1139      42.2709     391.8430
  241    5428.4111     432.8897      42.7136     390.1761
  242    5102.0361     431.6375      43.1606     388.4769
  243    5122.0449     430.3836      43.6143     386.7693
  244    5174.9570     429.0758      44.0697     385.0061
  245    6054.9761     427.7668      44.5320     383.2348
  246    5410.7622     426.4048      44.9961     381.4087
  247    5513.8818     425.0419      45.4674     379.5745
  248    5746.8042     423.6264      45.9402     377.6863
  249    4472.8931     422.2107      46.4204     375.7903
  250    5341.5430     420.7432      46.9024     373.8408
  251    4775.1792     419.2757      47.3918     371.8839
  252    6041.2021     417.7578      47.8830     369.8748
  253    4771.8838     416.2413      48.3818     367.8595
  254    4761.6421     414.7018      48.8855     365.8163
  255    5548.3301     413.1145      49.3908     363.7237
  256    5001.9121     411.5315      49.9044     361.6271
  257    4991.7690     409.9032      50.4203     359.4830
  258    5665.6899     408.2802      50.9441     357.3361
  259    5049.3291     406.6385      51.4732     355.1653
  260    5485.4722     404.9545      52.0048     352.9497
  261    4891.0869     403.2783      52.5449     350.7334
  262    5812.1602     401.5854      53.0900     348.4954
  263    5334.0020     399.8770      53.6405     346.2365
  264    4666.9150     398.1294      54.1929     343.9364
  265    4563.2319     396.3923      54.7541     341.6382
  266    5203.7080     394.6420      55.3207     339.3213
  267    4857.5439     392.8796      55.8931     336.9865
  268    5436.7041     391.0825      56.4685     334.6140
  269    4681.3442     389.2988      57.0530     332.2458
  270    4083.0649     387.5050      57.6432     329.8618
  271    5119.7788     385.7019      58.2390     327.4629
  272    5668.4092     383.8904      58.8407     325.0497
  273    4573.1709     382.0478      59.4447     322.6031
  274    4795.4590     380.2217      60.0581     320.1636
  275    4187.4028     378.3894      60.6774     317.7120
  276    4288.6851     376.5518      61.3029     315.2489
  277    5368.5112     374.7095      61.9345     312.7750
  278    4723.2388     372.8633      62.5722     310.2910
  279    5069.4639     370.9911      63.2124     307.7787
  280    4393.5210     369.1395      63.8627     305.2768
  281    4297.6050     367.2861      64.5192     302.7668
  282    5330.3799     365.4318      65.1824     300.2495
  283    5177.6611     363.5773      65.8519     297.7254
  284    4529.8979     361.7233      66.5281     295.1952
  285    4131.8740     359.8705      67.2109     292.6596
  286    5141.5781     357.9977      67.8962     290.1015
  287    3848.0061     356.1498      68.5926     287.5572
  288    4118.6479     354.3052      69.2958     285.0095
  289    4782.7090     352.4648      70.0059     282.4589
  290    4564.9609     350.6291      70.7230     279.9061
  291    3550.0920     348.7989      71.4471     277.3518
  292    4448.3062     346.9751      72.1785     274.7966
  293    4613.5308     345.1582      72.9172     272.2410
  294    3849.0349     343.3276      73.6585     269.6691
  295    4017.4641     341.5268      74.4119     267.1149
  296    3941.2129     339.7348      75.1725     264.5623
  297    4284.6719     337.9526      75.9408     262.0118
  298    3918.2300     336.1808      76.7167     259.4641
  299    4167.6909     334.4200      77.5003     256.9196
  300    4435.9541     332.6710      78.2917     254.3792
  301    2982.4700     330.9138      79.0861     251.8277
  302    4162.6792     329.1904      79.8933     249.2971
  303    3259.0049     327.4805      80.7084     246.7720
  304    4049.6130     325.7849      81.5317     244.2532
  305    3771.2229     324.1042      82.3632     241.7410
  306    3326.9851     322.4190      83.1977     239.2213
  307    3602.1389     320.7701      84.0458     236.7244
  308    3735.2629     319.1380      84.9023     234.2357
  309    3374.0701     317.5233      85.7674     231.7559
  310    4242.6108     315.9263      86.6409     229.2854
  311    3298.3911     314.3285      87.5178     226.8107
  312    3248.4189     312.7694      88.4087     224.3607
  313    3761.9880     311.2302      89.3087     221.9215
  314    2944.8870     309.7113      90.2175     219.4938
  315    4140.9878     308.1942      91.1297     217.0645
  316    3903.4199     306.7179      92.0567     214.6612
  317    2852.8960     305.2637      92.9927     212.2709
  318    2986.7810     303.8136      93.9326     209.8810
  319    3679.7161     302.4054      94.8872     207.5182
  320    3484.5090     301.0212      95.8513     205.1699
  321    2552.9009     299.6428      96.8190     202.8239
  322    3556.8081     298.3084      97.8025     200.5060
  323    3042.8201     296.9995      98.7956     198.2040
  324    3470.5271     295.6987      99.7924     195.9062
  325    3792.7971     294.4427     100.8051     193.6377
  326    3158.4231     293.1961     101.8215     191.3746
  327    2648.8240     291.9956     102.8543     189.1413
  328    3024.1509     290.8056     103.8908     186.9148
  329    2741.8630     289.6626     104.9438     184.7188
  330    2744.6799     288.5321     106.0015     182.5307
  331    2982.1550     287.4500     107.0763     180.3738
  332    2795.1570     286.3808     108.1548     178.2260
  333    2461.6270     285.3605     109.2505     176.1101
  334    3159.1570     284.3546     110.3501     174.0045
  335    2297.7520     283.3984     111.4670     171.9314
  336    2761.8911     282.4578     112.5880     169.8698
  337    3127.6680     281.5506     113.7196     167.8310
  338    2565.4939     280.6949     114.8692     165.8257
  339    2644.9419     279.8562     116.0226     163.8336
  340    3318.8921     279.0527     117.1871     161.8656
  341    2180.1089     278.3024     118.3703     159.9321
  342    2791.7351     277.5706     119.5570     158.0135
  343    2054.2849     276.8755     120.7552     156.1204
  344    2648.9099     276.2174     121.9643     154.2531
  345    1810.7460     275.5972     123.1851     152.4121
  346    2168.6101     275.0325     124.4252     150.6073
  347    2063.5420     274.4893     125.6691     148.8201
  348    1500.0291     273.9850     126.9244     147.0606
  349    2316.3279     273.5204     128.1913     145.3291
  350    2152.0740     273.0965     129.4704     143.6261
  351    2439.2820     272.7128     130.7609     141.9518
  352    2554.9060     272.3699     132.0635     140.3064
  353    2219.2200     272.0677     133.3780     138.6897
  354    2886.4980     271.8060     134.7044     137.1016
  355    2479.3101     271.5853     136.0433     135.5420
  356    2319.9810     271.4050     137.3942     134.0108
  357    2287.5020     271.2652     138.7572     132.5080
  358    2354.9341     271.1493     140.1241     131.0253
  359    2115.0149     271.0912     141.5122     129.5789
  360    1980.5830     271.0733     142.9126     128.1607
  361    3008.0100     271.0960     144.3256     126.7704
  362    2506.2019     271.1424     145.7421     125.4003
  363    2058.7180     271.2461     147.1803     124.0658
  364    2186.5710     271.3908     148.6317     122.7591
  365    1726.1180     271.5591     150.0866     121.4724
  366    2300.5591     271.7844     151.5634     120.2210
  367    2164.5930     272.0336     153.0440     118.9896
  368    1631.8470     272.3404     154.5473     117.7931
  369    1727.1670     272.6706     156.0539     116.6167
  370    1614.4080     273.0584     157.5836     115.4748
  371    2058.5449     273.4697     159.1167     114.3530
  372    1566.2500     273.9218     160.6634     113.2583
  373    1714.9189     274.4310     162.2332     112.1979
  374    1735.2080     274.9640     163.8065     111.1574
  375    2358.2241     275.5376     165.3937     110.1439
  376    2161.2090     276.1685     167.0044     109.1641
  377    1505.6570     276.8232     168.6190     108.2042
  378    2331.6299     277.5186     170.2475     107.2711
  379    2039.6790     278.2546     171.8898     106.3647
  380    1712.7939     279.0308     173.5459     105.4848
  381    1599.7880     279.8475     175.2160     104.6315
  382    1714.3560     280.7049     176.9003     103.8046
  383    1453.0350     281.6031     178.5990     103.0041
  384    1544.8420     282.5421     180.3123     102.2298
  385    1589.2410     283.5218     182.0400     101.4818
  386    1344.1060     284.5239     183.7703     100.7536
  387    1993.6580     285.5848     185.5270     100.0578
  388    1561.6450     286.6864     187.2983      99.3880
  389    1666.1060     287.8286     189.0844      98.7442
  390    1777.5129     288.9937     190.8736      98.1201
  391    1811.0179     290.2177     192.6897      97.5279
  392    2388.8811     291.4643     194.5089      96.9554
  393    1423.7810     292.7699     196.3552      96.4147
  394    1823.0730     294.0977     198.2042      95.8935
  395    1899.4630     295.4852     200.0813      95.4039
  396    1266.8140     296.8949     201.9611      94.9338
  397     825.0203     298.3457     203.8566      94.4891
  398     874.7407     299.8558     205.7801      94.0757
  399    1766.4659     301.3894     207.7077      93.6817
  400    1448.1400     302.9627     209.6498      93.3129
  401    1516.8860     304.5775     211.6083      92.9692
  402    1865.5510     306.2324     213.5822      92.6502
  403    1262.1930     307.9286     215.5730      92.3555
  404    2127.5220     309.6645     217.5798      92.0847
  405    1805.7810     311.4404     219.6031      91.8372
  406    1771.8910     313.2555     221.6427      91.6128
  407    1760.5190     315.1102     223.6993      91.4109
  408    1680.4060     316.9836     225.7582      91.2254
  409    1343.1710     318.9153     227.8480      91.0673
  410    1323.7889     320.8853     229.9549      90.9304
  411    1835.4230     322.8735     232.0647      90.8088
  412    2102.0730     324.9182     234.2050      90.7132
  413    2141.4021     326.9811     236.3491      90.6320
  414    1582.7100     329.1012     238.5252      90.5760
  415    2441.4221     331.2375     240.7039      90.5336
  416    1995.7791     333.4307     242.9151      90.5156
  417    1924.9130     335.6395     245.1292      90.5103
  418    1160.1920     337.8839     247.3610      90.5229
  419    1719.7791     340.1639     249.6107      90.5531
  420    2133.7610     342.4789     251.8785      90.6005
  421    1878.4821     344.8289     254.1644      90.6646
  422    1963.1500     347.2139     256.4689      90.7450
  423    1605.9200     349.6334     258.7921      90.8414
  424    2282.4241     352.0874     261.1341      90.9533
  425    1600.3660     354.5749     263.4945      91.0804
  426    1805.1410     357.0968     265.8745      91.2222
  427    1901.6110     359.6284     268.2556      91.3728
  428     934.4476     362.2170     270.6741      91.5430
  429    2321.0750     364.8380     273.1112      91.7268
  430    2410.3679     367.4700     275.5519      91.9181
  431    1538.1240     370.1569     278.0289      92.1279
  432    1820.4351     372.8526     280.5080      92.3445
  433    1348.0560     375.5800     283.0068      92.5732
  434    2323.0071     378.3629     285.5436      92.8193
  435    1926.1940     381.1543     288.0834      93.0709
  436    1162.6560     383.9763     290.6428      93.3335
  437    2640.8450     386.8296     293.2229      93.6067
  438    1452.6639     389.7137     295.8237      93.8900
  439    1675.2040     392.6279     298.4447      94.1832
  440    1335.2550     395.5730     301.0872      94.4858
  441    1277.1980     398.5482     303.7506      94.7976
  442    2871.2329     401.5283     306.4161      95.1122
  443    2083.7200     404.5637     309.1226      95.4411
  444    1207.6390     407.6271     311.8492      95.7780
  445    2108.8430     410.6960     314.5794      96.1166
  446    2242.2549     413.8181     317.3496      96.4685
  447    1751.0909     416.9444     320.1230      96.8213
  448    1361.6670     420.0985     322.9178      97.1808
  449    1200.1760     423.3075     325.7550      97.5524
  450    1426.4840     426.5188     328.5948      97.9240
  451    1744.0620     423.2253     320.5962     102.6292
  452    2106.7471     426.4395     323.3858     103.0536
  453    2108.6831     429.6781     326.1948     103.4833
  454    2838.5281     432.9460     329.0282     103.9178
  455    2632.6599     436.2407     331.8839     104.3568
  456    1588.1570     439.5616     334.7617     104.7999
  457    1512.8040     442.9091     337.6625     105.2466
  458    1352.7490     446.2829     340.5862     105.6967
  459    1577.5210     449.6836     343.5338     106.1498
  460    1560.3240     453.1096     346.5040     106.6055
  461    1984.0900     456.5612     349.4977     107.0635
  462    3104.8391     460.0393     352.5160     107.5233
  463    2826.3569     463.5424     355.5578     107.9846
  464    2176.8479     467.0719     358.6248     108.4471
  465    1901.6440     470.6249     361.7145     108.9104
  466    1337.9871     474.2042     364.8300     109.3742
  467    2034.5630     477.8087     367.9707     109.8380
  468    1249.0710     481.4359     371.1343     110.3015
  469     932.2463     485.0890     374.3245     110.7645
  470    2312.3701     488.7664     377.5399     111.2264
  471    3055.0371     492.4680     380.7809     111.6871
  472    2153.2209     496.1924     384.0464     112.1460
  473    2392.1150     499.9428     387.3398     112.6030
  474    2054.9641     503.7150     390.6575     113.0575
  475    2242.0530     507.5125     394.0031     113.5094
  476    2273.2810     511.3328     397.3746     113.9582
  477    1417.6110     515.1759     400.7723     114.4036
  478    1962.6670     519.0434     404.1981     114.8453
  479    2615.9360     522.9329     407.6500     115.2829
  480    2351.0281     526.8459     411.1298     115.7162
  481    1875.3070     530.7830     414.6383     116.1446
  482    2202.9800     534.7399     418.1719     116.5680
  483    2869.6521     538.7213     421.7352     116.9860
  484    1994.6250     542.7249     425.3267     117.3982
  485    3398.7749     546.7521     428.9477     117.8044
  486    1682.7400     550.7997     432.5956     118.2042
  487    2546.2571     554.8690     436.2718     118.5972
  488     691.2237     558.9613     439.9781     118.9832
  489    1757.2939     563.0750     443.7132     119.3618
  490    2863.0300     567.2112     447.4786     119.7327
  491    3843.4060     571.3685     451.2730     120.0955
  492    1973.2010     575.5471     455.0970     120.4501
  493    1755.1840     579.7487     458.9528     120.7959
  494    2486.3411     583.9697     462.8369     121.1328
  495    1766.4449     588.2131     466.7527     121.4603
  496    2584.2500     592.4776     470.6993     121.7783
  497    1349.0380     596.7649     474.6786     122.0863
  498    2777.1411     601.0703     478.6862     122.3840
  499    1711.4091     605.3994     482.7281     122.6712
  500    2770.2361     609.7482     486.8006     122.9475
  501    1602.9650     614.1169     490.9041     123.2127
  502    2950.7280     618.5056     495.0389     123.4668
  503    1870.4230     622.9188     499.2093     123.7096
  504    2957.3701     627.3532     503.4119     123.9413
  505    2524.6221     631.8084     507.6465     124.1619
  506    1723.1940     636.2831     511.9118     124.3713
  507    2207.9021     640.7841     516.2145     124.5696
  508    2804.7981     645.3065     520.5497     124.7569
  509    1780.3140     649.8483     524.9153     124.9330
  510    2488.4341     654.4185     529.3205     125.0980
  511    2433.6240     659.0081     533.7560     125.2520
  512    2808.1130     663.6223     538.2274     125.3949
  513    1853.1190     668.2613     542.7345     125.5267
  514    1217.9370     672.9243     547.2767     125.6476
  515    2448.9619     677.6094     551.8521     125.7573
  516    1387.0870     682.3204     556.4644     125.8561
  517    1065.2889     687.0548     561.1110     125.9439
  518    2313.2661     691.8156     565.7949     126.0206
  519    2261.7471     696.6014     570.5151     126.0864
  520    2704.7100     701.4136     575.2724     126.1412
  521    3779.3770     706.2487     580.0637     126.1850
  522    2364.9590     711.1123     584.8945     126.2178
  523    1648.0680     716.0023     589.7626     126.2397
  524    2722.2480     720.9167     594.6660     126.2507
  525    2033.5450     725.8603     599.6096     126.2507
  526    3248.9021     730.8292     604.5894     126.2398
  527    1358.1880     735.8254     609.6074     126.2180
  528    1414.6550     740.8492     614.6640     126.1853
  529    2783.4509     745.9035     619.7619     126.1416
  530    3036.6350     750.9825     624.8954     126.0871
  531    3558.9880     756.0934     630.0716     126.0218
  532    3248.3159     761.2303     635.2848     125.9455
  533    2003.5500     766.3984     640.5399     125.8584
  534    3191.3440     771.5912     645.8308     125.7604
  535    3179.0930     776.8165     651.1649     125.6516
  536    2663.3259     782.0742     656.5422     125.5320
  537    2312.9341     787.3585     661.9570     125.4015
  538    2795.6240     792.6733     667.4131     125.2602
  539    3452.6340     798.0207     672.9126     125.1081
  540    2672.3970     803.3975     678.4523     124.9452
  541    2880.9680     808.8055     684.0341     124.7715
  542    2434.8401     814.2468     689.6598     124.5870
  543    1738.8409     819.7172     695.3255     124.3917
  544    3036.1331     825.2195     701.0339     124.1856
  545    3722.6331     830.7563     706.7875     123.9688
  546    3224.9580     836.3264     712.5851     123.7412
  547    2456.0029     841.9277     718.4247     123.5029
  548    3428.1970     847.5631     724.3093     123.2539
  549    2696.3091     853.2320     730.2379     122.9941
  550    1899.7030     858.9338     736.2102     122.7235
  551    3701.2070     864.6703     742.2280     122.4423
  552    1608.4410     870.4418     748.2912     122.1506
  553    2400.6389     876.2474     754.3986     121.8487
  554    3063.1780     882.0915     760.5547     121.5368
  555    3863.6489     887.9700     766.7548     121.2151
  556    1522.4840     893.8873     773.0034     120.8839
  557    4987.7212     899.8401     779.2968     120.5433
  558    2277.1531     905.8292     785.6353     120.1938
  559    1209.2750     911.8604     792.0248     119.8354
  560    3229.7500     917.9250     798.4565     119.4684
  561    4036.7061     924.0368     804.9437     119.0931
  562     444.5700     930.1815     811.4718     118.7097
  563    2383.4241     936.3698     818.0514     118.3184
  564    2765.2410     942.6012     824.6818     117.9194
  565    1519.2570     948.8702     831.3572     117.5130
  566    3228.8091     955.1823     838.0828     117.0994
  567     608.2505     961.5386     844.8598     116.6789
  568     177.3318     967.9363     851.6849     116.2515
  569    2050.6270     974.3822     858.5645     115.8177
  570    2166.8030     980.8680     865.4905     115.3776
  571    1311.9659     987.4000     872.4686     114.9314
  572     434.7462     993.9772     879.4978     114.4794
  573    3556.0491    1000.5992     886.5775     114.0217
  574    -772.2820    1007.2698     893.7113     113.5587
  575    3944.6951    1013.9893     900.8989     113.0904
  576    2023.6250    1020.7547     908.1375     112.6172
  577    4177.3770    1027.5676     915.4282     112.1393
  578    2011.0760    1034.4304     922.7736     111.6569
  579    2142.7910    1041.3391     930.1689     111.1702
