    date      Mkt-RF     SMB     HML      RF
19640212    0.30    0.01    0.17   0.014
19640213    0.07    0.02   -0.08   0.014
19640214   -0.04    0.08    0.22   0.014
19640217    0.02    0.08    0.25   0.014
19640218    0.01   -0.27    0.51   0.014
19640219    0.11   -0.05    0.09   0.014
19640220    0.09   -0.04    0.72   0.014
19640224    0.10   -0.13    0.47   0.014
19640225    0.04   -0.10    0.15   0.014
19640226    0.27    0.07    0.21   0.014
19640227   -0.29    0.26   -0.08   0.014
19640228    0.21   -0.02    0.43   0.014
19640302    0.23   -0.08    0.32   0.015
19640303    0.24   -0.28   -0.22   0.015
19640304   -0.20    0.02   -0.10   0.015
19640305    0.01    0.07    0.20   0.015
19640306    0.31    0.39   -0.01   0.015
19640309    0.01    0.04    0.43   0.015
19640310    0.26   -0.41    0.26   0.015
19640311    0.39   -0.28    0.20   0.015
19640312    0.18   -0.06    0.17   0.015
19640313    0.11    0.01    0.08   0.015
19640316    0.04    0.03   -0.27   0.015
19640317    0.18   -0.03    0.26   0.015
19640318    0.10   -0.11    0.50   0.015
19640319   -0.08    0.07    0.03   0.015
19640320   -0.41    0.32    0.11   0.015
19640323    0.02    0.37   -0.05   0.015
19640324   -0.17    0.06    0.27   0.015
19640325    0.25    0.20    0.53   0.015
19640326    0.26    0.07    0.69   0.015
19640330   -0.10    0.09    0.08   0.015
19640331   -0.17    0.22   -0.28   0.015
19640401    0.35    0.02    0.62   0.013
19640402    0.58   -0.02    0.25   0.013
19640403    0.22    0.09   -0.45   0.013
19640406    0.08    0.09    0.27   0.013
19640407   -0.34    0.29   -0.42   0.013
19640408    0.01    0.32    0.17   0.013
19640409    0.00    0.24   -0.14   0.013
19640410    0.18    0.15    0.10   0.013
19640413   -0.07   -0.05   -0.19   0.013
19640414    0.18   -0.26   -0.12   0.013
19640415    0.11    0.01   -0.55   0.013
19640416    0.09   -0.20   -0.08   0.013
19640417    0.38   -0.43    0.33   0.013
19640420   -0.07   -0.18   -0.16   0.013
19640421    0.03   -0.08   -0.10   0.013
19640422   -0.05   -0.19    0.23   0.013
19640423   -0.18   -0.29   -0.03   0.013
19640424   -0.77   -0.12   -0.39   0.013
19640427   -0.53   -0.06    0.26   0.013
19640428    0.63   -0.30    0.74   0.013
19640429   -0.40   -0.16   -0.71   0.013
19640430   -0.24   -0.26   -0.05   0.013
19640501    0.77   -0.19    0.30   0.013
19640504    0.45    0.04    0.19   0.013
19640505    0.44   -0.51    0.12   0.013
19640506    0.26   -0.22    0.19   0.013
19640507    0.10   -0.16    0.74   0.013
19640508   -0.17   -0.01    0.11   0.013
19640511   -0.02    0.04    0.02   0.013
19640512    0.32   -0.09    0.02   0.013
19640513   -0.23    0.01   -0.15   0.013
19640514   -0.10    0.27   -0.04   0.013
19640515    0.15   -0.21   -0.04   0.013
19640518   -0.33    0.02   -0.21   0.013
19640519   -0.45    0.35   -0.15   0.013
19640520    0.42   -0.25    0.42   0.013
19640521    0.08    0.03   -0.21   0.013
19640522    0.06    0.12    0.05   0.013
19640525   -0.12   -0.14    0.10   0.013
19640526   -0.17    0.11    0.16   0.013
19640527   -0.14   -0.25    0.22   0.013
19640528    0.15    0.11   -0.01   0.013
19640601   -0.33    0.04    0.05   0.014
19640602   -0.52   -0.04   -0.05   0.014
19640603   -0.28   -0.21    0.19   0.014
19640604   -1.02    0.08   -0.33   0.014
19640605    0.40   -0.19    0.18   0.014
19640608   -0.47    0.08   -0.16   0.014
19640609    0.55   -0.25    0.46   0.014
19640610    0.37    0.03   -0.18   0.014
19640611    0.29    0.08   -0.38   0.014
19640612   -0.21    0.14    0.10   0.014
19640615    0.44   -0.06    0.07   0.014
19640616    0.51   -0.07    0.33   0.014
19640617    0.51   -0.13    0.15   0.014
19640618    0.00    0.00    0.07   0.014
19640619    0.11    0.00    0.08   0.014
19640622    0.25   -0.28    0.37   0.014
19640623   -0.37    0.36   -0.24   0.014
19640624    0.34    0.01    0.24   0.014
19640625    0.18   -0.06   -0.01   0.014
19640626    0.26    0.14    0.11   0.014
19640629    0.16    0.01   -0.17   0.014
19640630    0.03    0.01   -0.16   0.014
19640701    0.61   -0.30    0.43   0.014
19640702    0.39    0.10   -0.23   0.014
19640706    0.41   -0.14   -0.10   0.014
19640707    0.14   -0.15    0.10   0.014
19640708    0.01    0.07    0.12   0.014
19640709    0.12    0.31   -0.09   0.014
19640710    0.19   -0.02    0.42   0.014
19640713   -0.06    0.07    0.06   0.014
19640714   -0.28    0.20    0.09   0.014
19640715    0.36    0.00   -0.37   0.014
19640716    0.30   -0.20    0.18   0.014
19640717    0.44   -0.13   -0.29   0.014
19640720   -0.30    0.18    0.09   0.014
19640721   -0.18    0.20   -0.12   0.014
19640722    0.02   -0.05    0.04   0.014
19640723   -0.02    0.17    0.11   0.014
19640724   -0.03   -0.01   -0.06   0.014
19640727   -0.48   -0.14    0.26   0.014
19640728   -0.24    0.05    0.05   0.014
19640729    0.12   -0.05   -0.03   0.014
19640730    0.13   -0.09    0.00   0.014
19640731    0.07    0.05    0.10   0.014
19640803   -0.24   -0.26    0.23   0.013
19640804   -1.12   -0.09   -0.03   0.013
19640805    0.15   -0.39    0.05   0.013
19640806   -0.85    0.45   -0.10   0.013
19640807    0.55   -0.01   -0.13   0.013
19640810    0.02    0.13   -0.21   0.013
19640811   -0.01    0.07    0.20   0.013
19640812    0.50    0.13   -0.01   0.013
19640813    0.28   -0.01    0.17   0.013
19640814   -0.10    0.18    0.07   0.013
19640817   -0.01   -0.06   -0.23   0.013
19640818    0.06   -0.16    0.34   0.013
19640819   -0.09    0.02    0.01   0.013
19640820   -0.43   -0.02   -0.27   0.013
19640821    0.16    0.09   -0.07   0.013
19640824   -0.20    0.02    0.52   0.013
19640825   -0.49    0.14   -0.29   0.013
19640826   -0.17   -0.03   -0.01   0.013
19640827    0.48   -0.28    0.04   0.013
19640828    0.31   -0.05   -0.14   0.013
19640831   -0.20    0.28   -0.09   0.013
19640901    0.45   -0.22    0.56   0.013
19640902    0.21    0.10    0.23   0.013
19640903    0.26   -0.15   -0.22   0.013
19640904    0.21    0.02    0.03   0.013
19640908    0.12    0.01   -0.03   0.013
19640909    0.18   -0.24    0.35   0.013
19640910    0.09   -0.07    0.25   0.013
19640911    0.34   -0.27    0.33   0.013
19640914   -0.23   -0.04    0.38   0.013
19640915   -0.23    0.12   -0.09   0.013
19640916    0.27   -0.11    0.24   0.013
19640917    0.58   -0.19    0.23   0.013
19640918   -0.34    0.16   -0.24   0.013
19640921    0.41   -0.14    0.16   0.013
19640922    0.05    0.19   -0.22   0.013
19640923    0.01    0.12    0.21   0.013
19640924    0.10   -0.13    0.03   0.013
19640925    0.21    0.07   -0.35   0.013
19640928    0.06   -0.04   -0.10   0.013
19640929   -0.01    0.00   -0.09   0.013
19640930   -0.04    0.15   -0.07   0.013
19641001   -0.14    0.08    0.10   0.013
19641002    0.23   -0.24    0.15   0.013
19641005    0.40   -0.26    0.38   0.013
19641006    0.02   -0.10    0.16   0.013
19641007   -0.02   -0.11    0.07   0.013
19641008    0.25   -0.03    0.16   0.013
19641009    0.20    0.00    0.09   0.013
19641012    0.06    0.21   -0.08   0.013
19641013   -0.23    0.05    0.33   0.013
19641014   -0.18    0.02    0.15   0.013
19641015   -0.71   -0.36   -0.18   0.013
19641016    0.69    0.37    0.06   0.013
19641019    0.14    0.28    0.16   0.013
19641020    0.25   -0.03    0.27   0.013
19641021   -0.04   -0.03    0.00   0.013
19641022   -0.17    0.11    0.04   0.013
19641023    0.20   -0.09    0.02   0.013
19641026   -0.17    0.22    0.26   0.013
19641027   -0.04    0.03   -0.12   0.013
19641028   -0.35    0.07   -0.54   0.013
19641029    0.04    0.07   -0.16   0.013
19641030    0.17    0.17   -0.25   0.013
19641102    0.44   -0.19   -0.28   0.015
19641104   -0.01   -0.14    0.23   0.015
19641105    0.00   -0.10   -0.47   0.015
19641106    0.19   -0.16   -0.13   0.015
19641109   -0.03    0.08   -0.49   0.015
19641110   -0.41    0.12   -0.18   0.015
19641111    0.25   -0.16    0.53   0.015
19641112    0.19    0.18    0.27   0.015
19641113    0.11    0.36   -0.27   0.015
19641116    0.42   -0.01   -0.51   0.015
19641117    0.44   -0.27    0.02   0.015
19641118    0.23   -0.08   -0.02   0.015
19641119   -0.02    0.00   -0.31   0.015
19641120    0.09    0.04   -0.03   0.015
19641123   -0.26    0.12    0.06   0.015
19641124   -0.27    0.08    0.04   0.015
19641125   -0.21    0.38   -0.12   0.015
19641127   -0.29    0.21   -0.13   0.015
19641130   -0.85    0.19   -0.18   0.015
19641201   -0.99    0.16   -0.19   0.014
19641202    0.26   -0.29    0.01   0.014
19641203    0.38   -0.07    0.13   0.014
19641204    0.17    0.02   -0.18   0.014
19641207   -0.02    0.00   -0.16   0.014
19641208   -0.36   -0.07   -0.54   0.014
19641209   -0.67   -0.20   -0.09   0.014
19641210   -0.04   -0.13    0.20   0.014
19641211    0.22    0.06    0.04   0.014
19641214   -0.25    0.19   -0.34   0.014
19641215   -0.33   -0.18   -0.18   0.014
19641216    0.38    0.13   -0.27   0.014
19641217    0.35    0.04    0.24   0.014
19641218    0.47   -0.02   -0.02   0.014
19641221    0.07    0.04   -0.10   0.014
19641222   -0.06    0.07   -0.34   0.014
19641223   -0.20    0.12   -0.22   0.014
19641224    0.01    0.09    0.08   0.014
19641228   -0.10    0.01   -0.16   0.014
19641229   -0.30   -0.07    0.02   0.014
19641230    0.56   -0.06   -0.25   0.014
19641231    0.50   -0.11   -0.14   0.014
19650104   -0.45    0.73   -0.12   0.014
19650105    0.49    0.38   -0.11   0.014
19650106    0.35    0.18    0.41   0.014
19650107    0.40    0.08    0.15   0.014
19650108    0.16    0.17   -0.19   0.014
19650111    0.06    0.06    0.09   0.014
19650112    0.28    0.18   -0.07   0.014
19650113    0.27    0.21   -0.02   0.014
19650114    0.01    0.04    0.23   0.014
19650115    0.42   -0.17    0.13   0.014
19650118    0.29   -0.11   -0.22   0.014
19650119    0.17   -0.27    0.17   0.014
19650120   -0.02   -0.01    0.10   0.014
19650121   -0.10    0.13   -0.08   0.014
19650122    0.25    0.01    0.12   0.014
19650125    0.16    0.25    0.07   0.014
19650126    0.11    0.08   -0.07   0.014
19650127    0.30    0.18   -0.29   0.014
19650128    0.26    0.02   -0.14   0.014
19650129    0.11    0.32   -0.06   0.014
19650201    0.02    0.13   -0.06   0.016
19650202    0.06    0.02   -0.02   0.016
19650203    0.14    0.21   -0.16   0.016
19650204   -0.02    0.40   -0.26   0.016
19650205   -0.24    0.40   -0.07   0.016
19650208   -0.34    0.09    0.18   0.016
19650209    0.31    0.09    0.07   0.016
19650210   -0.84   -0.01   -0.03   0.016
19650211   -0.99    0.35   -0.02   0.016
19650212    0.66    0.20    0.03   0.016
19650215   -0.05    0.26    0.31   0.016
19650216   -0.35    0.34    0.12   0.016
19650217    0.15    0.23   -0.06   0.016
19650218    0.29    0.32   -0.02   0.016
19650219    0.19    0.30   -0.11   0.016
19650223    0.48   -0.05    0.67   0.016
19650224    0.63   -0.11    0.02   0.016
19650225    0.08   -0.02   -0.05   0.016
19650226    0.24    0.09   -0.44   0.016
19650301   -0.15    0.38    0.00   0.016
19650302    0.17    0.15   -0.07   0.016
19650303   -0.05    0.27   -0.21   0.016
19650304   -0.30    0.29   -0.15   0.016
19650305   -0.20    0.07    0.00   0.016
19650308    0.04    0.19    0.24   0.016
19650309   -0.15   -0.08    0.12   0.016
19650310   -0.10    0.17   -0.14   0.016
19650311    0.37    0.08   -0.32   0.016
19650312    0.30   -0.19    0.29   0.016
19650315    0.06   -0.03    0.19   0.016
19650316   -0.10   -0.01    0.21   0.016
19650317   -0.14    0.14    0.02   0.016
19650318   -0.26    0.26   -0.29   0.016
19650319   -0.02   -0.07    0.11   0.016
19650322   -0.02    0.02    0.25   0.016
19650323    0.04   -0.04    0.10   0.016
19650324    0.18   -0.03    0.45   0.016
19650325   -0.28    0.11    0.12   0.016
19650326   -0.69    0.07   -0.10   0.016
19650329   -0.25   -0.18    0.01   0.016
19650330    0.19    0.03   -0.02   0.016
19650331    0.00    0.16    0.13   0.016
19650401    0.15    0.04   -0.17   0.015
19650402    0.25    0.11    0.21   0.015
19650405    0.01    0.05    0.00   0.015
19650406   -0.05    0.05   -0.06   0.015
19650407    0.06    0.11   -0.08   0.015
19650408    0.52    0.13    0.02   0.015
19650409    0.55    0.03    0.01   0.015
19650412    0.44   -0.06    0.08   0.015
19650413    0.13    0.05    0.28   0.015
19650414    0.18    0.17   -0.24   0.015
19650415   -0.06    0.36   -0.04   0.015
19650419    0.37    0.05   -0.38   0.015
19650420   -0.04    0.19    0.12   0.015
19650421   -0.22    0.00    0.00   0.015
19650422    0.44   -0.19   -0.10   0.015
19650423    0.13    0.13   -0.12   0.015
19650426    0.00    0.03    0.40   0.015
19650427    0.16   -0.20    0.40   0.015
19650428   -0.05   -0.28    0.49   0.015
19650429   -0.07    0.19   -0.14   0.015
19650430    0.12   -0.02   -0.11   0.015
19650503    0.07   -0.29   -0.16   0.015
19650504    0.26   -0.29   -0.07   0.015
19650505    0.25   -0.41    0.27   0.015
19650506    0.24   -0.06   -0.18   0.015
19650507   -0.06    0.04   -0.07   0.015
19650510   -0.10    0.23   -0.13   0.015
19650511   -0.08   -0.04   -0.17   0.015
19650512    0.36    0.09   -0.39   0.015
19650513    0.32    0.30   -0.27   0.015
19650514   -0.15    0.39   -0.14   0.015
19650517   -0.54    0.26    0.29   0.015
19650518   -0.07    0.09    0.13   0.015
19650519    0.20    0.12   -0.12   0.015
19650520   -0.52   -0.07   -0.07   0.015
19650521   -0.46    0.14   -0.02   0.015
19650524   -0.75   -0.13    0.12   0.015
19650525    0.54    0.00   -0.32   0.015
19650526   -0.27   -0.20    0.05   0.015
19650527   -0.58   -0.07   -0.10   0.015
19650528    0.59   -0.01   -0.17   0.015
19650601   -0.69    0.00    0.20   0.016
19650602   -0.79   -0.35   -0.47   0.016
19650603   -0.24    0.06   -0.08   0.016
19650604    0.20    0.05   -0.04   0.016
19650607   -0.36   -0.31    0.15   0.016
19650608   -1.07   -0.15    0.03   0.016
19650609   -1.02   -0.24    0.59   0.016
19650610   -0.43   -0.66    0.18   0.016
19650611    0.42    0.01   -0.08   0.016
19650614   -1.35   -0.62   -0.06   0.016
19650615    0.46   -0.12   -0.12   0.016
19650616    0.89    0.49    0.08   0.016
19650617    0.58   -0.05    0.20   0.016
19650618   -0.43   -0.01    0.00   0.016
19650621   -0.39   -0.15   -0.09   0.016
19650622    0.18   -0.06    0.01   0.016
19650623   -0.63   -0.01    0.05   0.016
19650624   -1.35   -0.71    0.13   0.016
19650625   -0.65   -0.29   -0.05   0.016
19650628   -1.89   -1.33    0.08   0.016
19650629    0.77   -0.78   -0.14   0.016
19650630    2.20    1.03    0.04   0.016
19650701    0.45    0.35    0.05   0.015
19650702    0.80    0.13   -0.04   0.015
19650706   -0.18    0.28   -0.03   0.015
19650707   -0.35   -0.16    0.11   0.015
19650708    0.78    0.00   -0.20   0.015
19650709    0.39    0.40   -0.04   0.015
19650712   -0.01    0.09    0.16   0.015
19650713   -0.15   -0.07   -0.24   0.015
19650714    0.29    0.17    0.16   0.015
19650715   -0.09    0.26    0.00   0.015
19650716   -0.04    0.06   -0.05   0.015
19650719   -0.10    0.14   -0.27   0.015
19650720   -1.22   -0.30    0.27   0.015
19650721   -0.56   -0.05    0.20   0.015
19650722   -0.23    0.15    0.17   0.015
19650723    0.23   -0.20    0.32   0.015
19650726   -0.02    0.09    0.06   0.015
19650727   -0.19    0.00    0.20   0.015
19650728    0.19   -0.49    0.88   0.015
19650729    0.72   -0.12    0.53   0.015
19650730    0.68    0.09   -0.05   0.015
19650802    0.20    0.21   -0.36   0.015
19650803    0.12    0.05   -0.23   0.015
19650804    0.42    0.20    0.10   0.015
19650805    0.02    0.25   -0.02   0.015
19650806    0.34    0.01   -0.32   0.015
19650809   -0.13    0.40   -0.12   0.015
19650810    0.04    0.41   -0.15   0.015
19650811    0.32    0.12    0.12   0.015
19650812    0.29    0.28   -0.09   0.015
19650813    0.44   -0.20    0.27   0.015
19650816    0.11   -0.08    0.24   0.015
19650817    0.17    0.09   -0.25   0.015
19650818    0.02    0.12    0.25   0.015
19650819   -0.23   -0.29   -0.03   0.015
19650820   -0.09    0.02    0.12   0.015
19650823   -0.13    0.05    0.03   0.015
19650824    0.17    0.21   -0.30   0.015
19650825    0.14    0.21   -0.25   0.015
19650826    0.37   -0.11    0.20   0.015
19650827    0.13    0.25   -0.04   0.015
19650830    0.05    0.27   -0.07   0.015
19650831   -0.05    0.28   -0.08   0.015
19650901    0.04    0.05   -0.20   0.015
19650902    0.56    0.01    0.08   0.015
19650903    0.46    0.05    0.12   0.015
19650907    0.33    0.12   -0.44   0.015
19650908    0.28    0.05   -0.15   0.015
19650909    0.25    0.08    0.08   0.015
19650910    0.23    0.12   -0.38   0.015
19650913    0.24    0.13   -0.15   0.015
19650914   -0.43   -0.28    0.14   0.015
19650915    0.47   -0.13    0.10   0.015
19650916    0.52   -0.28    0.48   0.015
19650917    0.01    0.07   -0.08   0.015
19650920    0.05    0.16    0.06   0.015
19650921   -0.27    0.12   -0.13   0.015
19650922    0.46    0.22    0.12   0.015
19650923   -0.38   -0.31    0.10   0.015
19650924    0.24    0.05    0.60   0.015
19650927    0.58    0.07   -0.17   0.015
19650928   -0.24    0.27    0.12   0.015
19650929   -0.47   -0.04   -0.13   0.015
19650930   -0.06    0.05   -0.23   0.015
19651001   -0.07    0.18    0.08   0.015
19651004    0.23    0.47    0.04   0.015
19651005    0.54   -0.06    0.35   0.015
19651006   -0.08   -0.10   -0.31   0.015
19651007   -0.04    0.38    0.00   0.015
19651008    0.48    0.55    0.39   0.015
19651011    0.56    0.18   -0.04   0.015
19651012   -0.04    0.42   -0.21   0.015
19651013    0.01   -0.01    0.57   0.015
19651014   -0.14    0.40    0.19   0.015
19651015    0.23    0.21    0.09   0.015
19651018    0.28    0.23   -0.06   0.015
19651019    0.12    0.03   -0.47   0.015
19651020   -0.01    0.16    0.15   0.015
19651021    0.15    0.24   -0.06   0.015
19651022   -0.06   -0.19   -0.01   0.015
19651025   -0.40   -0.35    0.06   0.015
19651026    0.49   -0.16    0.25   0.015
19651027    0.36   -0.22    0.21   0.015
19651028   -0.30    0.00    0.12   0.015
19651029    0.26   -0.07    0.20   0.015
19651101   -0.10   -0.05    0.25   0.017
19651103    0.13    0.25   -0.28   0.017
19651104    0.20    0.09   -0.16   0.017
19651105    0.12    0.29   -0.31   0.017
19651108   -0.35    0.10   -0.25   0.017
19651109   -0.26    0.19    0.31   0.017
19651110   -0.09    0.16   -0.04   0.017
19651111    0.26    0.10   -0.03   0.017
19651112    0.47    0.50   -0.32   0.017
19651115    0.12    0.58   -0.23   0.017
19651116   -0.12    0.47   -0.12   0.017
19651117    0.13   -0.70    0.21   0.017
19651118   -0.34    0.54    0.11   0.017
19651119    0.02    0.34    0.09   0.017
19651122   -0.53    0.27    0.11   0.017
19651123    0.15    0.17    0.03   0.017
19651124    0.20    0.30    0.14   0.017
19651126    0.26    0.43    0.21   0.017
19651129   -0.14    0.39    0.32   0.017
19651130   -0.14    0.13    0.21   0.017
19651201   -0.02    0.32    0.29   0.015
19651202   -0.23    0.32    0.05   0.015
19651203    0.06    0.21   -0.19   0.015
19651206   -0.77   -0.34   -0.29   0.015
19651207    0.94    0.56    0.35   0.015
19651208   -0.08    0.43   -0.24   0.015
19651209    0.29    0.42   -0.14   0.015
19651210    0.27    0.22   -0.09   0.015
19651213    0.11    0.48   -0.13   0.015
19651214    0.07   -0.19    0.42   0.015
19651215    0.17   -0.12    0.78   0.015
19651216    0.15    0.07    0.54   0.015
19651217    0.04    0.12    0.67   0.015
19651220   -0.54   -0.24    0.05   0.015
19651221    0.34   -0.04    0.51   0.015
19651222    0.14   -0.91    0.21   0.015
19651223   -0.16   -0.01   -0.31   0.015
19651227   -0.65    0.07   -0.13   0.015
19651228   -0.05   -0.06   -0.19   0.015
19651229    0.29    0.37   -0.03   0.015
19651230    0.36    0.24   -0.25   0.015
19651231    0.27    0.06    0.13   0.015
19660103   -0.20    0.60    0.25   0.018
19660104    0.11    0.31    0.18   0.018
19660105    0.57   -0.31    0.70   0.018
19660106    0.18   -0.35    0.52   0.018
19660107    0.11    0.11   -0.04   0.018
19660110    0.23    0.25    0.12   0.018
19660111    0.07    0.37   -0.28   0.018
19660112   -0.15    0.32   -0.03   0.018
19660113    0.22    0.44    0.22   0.018
19660114    0.15   -0.01    0.12   0.018
19660117    0.32    0.31    0.14   0.018
19660118    0.18    0.03    0.11   0.018
19660119   -0.29   -0.01    0.16   0.018
19660120   -0.27    0.30    0.11   0.018
19660121    0.09    0.15   -0.23   0.018
19660124    0.27    0.25    0.33   0.018
19660125    0.16    0.11    0.41   0.018
19660126   -0.09    0.16    0.16   0.018
19660127   -0.05    0.12    0.29   0.018
19660128   -0.33    0.50    0.02   0.018
19660131   -0.45    0.19   -0.22   0.018
19660201   -0.80   -0.82   -0.42   0.018
19660202    0.39    0.19    0.45   0.018
19660203    0.14    0.10   -0.32   0.018
