"","year","ccode","fatlev1","hostlev1","legselec","esolow","bhkavg","exchprem","sh_staa","sh_med_b","sh_med_p","sh_h2o_s","immig","emig"
"3646",1882,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,41,8.69999980926514
"3647",1883,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,52,9.5
"3648",1884,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,50,14
"3649",1885,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,81,15
"3650",1886,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,66,14
"3651",1887,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,95,14
"3652",1888,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,129,17
"3653",1889,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,219,41
"3654",1890,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,78,49
"3655",1891,160,0,4,2,NA,NA,NA,NA,NA,NA,NA,28,72
"3656",1892,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,40,30
"3657",1893,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,52,26
"3658",1894,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,55,21
"3659",1895,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,61,20
"3660",1896,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,103,20
"3661",1897,160,0,3,2,NA,NA,NA,NA,NA,NA,NA,73,31
"3662",1898,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,67,31
"3663",1899,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,84,38
"3664",1900,160,NA,4,2,NA,NA,NA,NA,NA,NA,NA,85,38
"3665",1901,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,90,49
"3666",1902,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,8,45
"3667",1903,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,75,41
"3668",1904,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,126,39
"3669",1905,160,0,3,2,NA,NA,NA,NA,NA,NA,NA,177,43
"3670",1906,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,253,60
"3671",1907,160,0,4,2,NA,NA,NA,NA,NA,NA,NA,209,90
"3672",1908,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,256,85
"3673",1909,160,0,3,2,NA,NA,NA,NA,NA,NA,NA,231,95
"3674",1910,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,290,98
"3675",1911,160,0,4,2,NA,NA,NA,NA,NA,NA,NA,226,121
"3676",1912,160,0,4,2,NA,NA,NA,NA,NA,NA,NA,323,120
"3677",1913,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,302,157
"3678",1914,160,0,4,NA,NA,NA,NA,NA,NA,NA,NA,115,179
"3679",1915,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,111
"3680",1916,160,0,4,NA,NA,NA,NA,NA,NA,NA,NA,33,73
"3681",1917,160,0,4,NA,NA,NA,NA,NA,NA,NA,NA,18,51
"3682",1918,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,24
"3683",1919,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,41,42
"3684",1920,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,87,57
"3685",1921,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,98,45
"3686",1922,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,129,46
"3687",1923,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,195,47
"3688",1924,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,160,46
"3689",1925,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,125,50
"3690",1926,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,135,56
"3691",1927,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,162,58
"3692",1928,160,0,2,2,NA,NA,NA,NA,NA,NA,NA,129,54
"3693",1929,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,140,58
"3694",1930,160,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,124,60
"3695",1931,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,56,53
"3696",1932,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,31,43
"3697",1933,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,24,35
"3698",1934,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,28,42
"3699",1935,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,35,37
"3700",1936,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,36,37
"3701",1937,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,41,37
"3702",1938,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,38,33
"3703",1939,160,NA,4,2,NA,NA,NA,NA,NA,NA,NA,15,29
"3704",1940,160,0,4,NA,NA,NA,NA,NA,NA,NA,NA,6.19999980926514,14
"3705",1941,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69999980926514,13
"3706",1942,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79999995231628,4.19999980926514
"3707",1943,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.800000011920929,2.90000009536743
"3708",1944,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.800000011920929,NA
"3709",1945,160,0,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1.29999995231628
"3710",1946,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4.40000009536743,4.59999990463257
"3711",1947,160,0,4,2,NA,NA,NA,NA,NA,NA,NA,39,8.89999961853027
"3712",1948,160,0,4,2,NA,NA,NA,NA,NA,NA,NA,119,13
"3713",1949,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,152,17
"3714",1950,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,128,25
"3715",1951,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,98,27
"3716",1952,160,0,4,2,NA,NA,NA,NA,NA,NA,NA,64,45
"3717",1953,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,35,32
"3718",1954,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,44,19
"3719",1955,160,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,30,18
"3720",1956,160,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,18,18
"3721",1957,160,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,27,24
"3722",1958,160,0,4,2,NA,NA,NA,NA,NA,NA,NA,20,NA
"3723",1959,160,0,3,2,NA,NA,NA,NA,NA,NA,NA,16,NA
"3724",1960,160,0,3,2,NA,NA,NA,NA,NA,NA,NA,8.80000019073486,NA
"3725",1961,160,NA,NA,2,0.0164640005677938,7.66440010070801,-0.00601800018921494,NA,NA,NA,NA,9.10000038146973,NA
"3726",1962,160,1,4,0,-0.0761329978704453,7.66440010070801,0,NA,NA,NA,NA,9.5,NA
"3727",1963,160,NA,NA,2,-0.0573789998888969,7.66440010070801,0,NA,NA,NA,NA,5.69999980926514,NA
"3728",1964,160,0,4,2,0.0644079968333244,7.66440010070801,0.240905001759529,NA,NA,NA,NA,3.70000004768372,NA
"3729",1965,160,1,4,2,0.0472679995000362,7.66440010070801,0.274293005466461,NA,NA,NA,NA,3.90000009536743,NA
"3730",1966,160,NA,NA,0,-0.0279029998928308,7.66440010070801,0.0840649977326393,NA,NA,NA,NA,3.20000004768372,NA
"3731",1967,160,0,4,0,-0.00581499980762601,7.66440010070801,0,NA,NA,NA,NA,3.79999995231628,NA
"3732",1968,160,0,4,0,0.00684799998998642,7.66440010070801,0,NA,NA,NA,NA,4.90000009536743,NA
"3733",1969,160,0,4,0,0.0328410007059574,7.66440010070801,0.0056839999742806,NA,NA,NA,NA,6.30000019073486,NA
"3734",1970,160,NA,NA,0,0.0088280001655221,7.66440010070801,0.0907540023326874,NA,179,528,56,7.40000009536743,NA
"3735",1971,160,NA,NA,0,-0.00785499997437,7.66440010070801,0.703097999095917,NA,NA,NA,NA,4.59999990463257,NA
"3736",1972,160,NA,NA,0,-0.0119920000433922,7.66440010070801,0.841566979885101,NA,NA,NA,NA,3.5,NA
"3737",1973,160,NA,NA,2,0.0140629997476935,7.66440010070801,0.788456976413727,NA,NA,NA,NA,NA,NA
"3738",1974,160,NA,NA,2,0.0295150000602007,7.66440010070801,1.53255701065063,NA,NA,NA,NA,NA,NA
"3739",1975,160,NA,NA,2,-0.032820999622345,7.66440010070801,1.37168800830841,NA,NA,534,66,NA,NA
"3740",1976,160,0,4,0,-0.0359579995274544,7.66440010070801,0.0198030006140471,NA,NA,NA,NA,NA,NA
"3741",1977,160,0,3,0,0.0180089995265007,7.66440010070801,0.0125209996476769,NA,NA,NA,NA,NA,NA
"3742",1978,160,0,3,0,-0.0428319983184338,7.66440010070801,0.00747200008481741,NA,NA,NA,NA,NA,NA
"3743",1979,160,NA,NA,0,0.039902999997139,7.66440010070801,0.000899999984540045,NA,NA,NA,NA,NA,NA
"3744",1980,160,0,4,0,-0.0256660003215075,7.66440010070801,0.00329499994404614,NA,NA,NA,NA,NA,NA
"3745",1981,160,NA,NA,0,-0.0684809982776642,7.66440010070801,0.389539003372192,NA,NA,NA,NA,NA,NA
"3746",1982,160,NA,NA,0,-0.0431570000946522,7.66440010070801,0.269493013620377,NA,NA,NA,NA,NA,NA
"3747",1983,160,NA,NA,NA,0.0330189988017082,7.66440010070801,0.1075080037117,NA,NA,NA,NA,NA,NA
"3748",1984,160,0,4,NA,0.0300999991595745,7.66440010070801,0.000899999984540045,NA,NA,372,NA,NA,NA
"3749",1985,160,NA,NA,NA,-0.0522250011563301,7.66440010070801,0.336472004652023,NA,NA,369,55,NA,NA
"3750",1986,160,0,4,NA,0.065482996404171,NA,0.510846018791199,NA,NA,335,NA,NA,NA
"3751",1987,160,0,4,NA,0.00141899997834116,NA,0.383015006780624,NA,NA,NA,NA,NA,NA
"3752",1988,160,NA,NA,NA,-0.0304320007562637,NA,0.402727991342545,NA,NA,329,NA,NA,NA
"3753",1989,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3754",1990,160,NA,NA,NA,NA,NA,NA,NA,217,NA,NA,NA,NA
"3755",1991,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3756",1992,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3757",1993,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA
"3758",1994,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3759",1995,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3760",1835,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.600000023841858,NA
"3761",1836,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09999990463257,NA
"3762",1837,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59999990463257,NA
"3763",1838,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.40000009536743,NA
"3764",1839,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20000004768372,NA
"3765",1840,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA
"3766",1841,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.90000009536743,NA
"3767",1842,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.89999961853027,NA
"3768",1843,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3769",1844,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3770",1845,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3771",1846,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3772",1847,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3773",1848,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3774",1849,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3775",1850,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3776",1851,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3777",1852,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3778",1853,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3779",1854,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3780",1855,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3781",1856,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3782",1857,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3783",1858,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3784",1859,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3785",1860,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3786",1861,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3787",1862,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3788",1863,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3789",1864,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3790",1865,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3791",1866,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.30000019073486,NA
"3792",1867,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"3793",1868,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"3794",1869,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
"3795",1870,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA
"3796",1871,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA
"3797",1872,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
"3798",1873,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
"3799",1874,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
"3800",1875,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.30000019073486,NA
"3801",1876,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59999990463257,NA
"3802",1877,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19999980926514,NA
"3803",1878,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA
"3804",1879,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7
"3805",1880,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.30000019073486,6.80000019073486
"3806",1881,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.30000019073486,6.30000019073486
"3807",1882,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6.19999980926514
"3808",1883,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6.09999990463257
"3809",1884,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6
"3810",1885,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,6.69999980926514
"3811",1886,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6.5
"3812",1887,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6.30000019073486
"3813",1888,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,7.59999990463257
"3814",1889,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,11
"3815",1890,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,20
"3816",1891,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,20
"3817",1892,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,88
"3818",1893,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,6.30000019073486
"3819",1894,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6
"3820",1895,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.19999980926514,6.40000009536743
"3821",1896,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5.90000009536743
"3822",1897,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.10000038146973,6.80000019073486
"3823",1898,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,6.40000009536743
"3824",1899,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5.80000019073486
"3825",1900,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89999961853027,6.69999980926514
"3826",1901,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.60000038146973,6.69999980926514
"3827",1902,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.90000009536743,6.90000009536743
"3828",1903,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.30000019073486,6.19999980926514
"3829",1904,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.90000009536743
"3830",1905,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.90000009536743,6.09999990463257
"3831",1906,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69999980926514,5.80000019073486
"3832",1907,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.60000038146973,6.5
"3833",1908,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89999961853027,5.90000009536743
"3834",1909,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.30000019073486,7.80000019073486
"3835",1910,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8.39999961853027
"3836",1911,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,8.80000019073486
"3837",1912,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,9.5
"3838",1913,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12
"3839",1914,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12
"3840",1915,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59999990463257,6.90000009536743
"3841",1916,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69999980926514,5
"3842",1917,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.40000009536743,4
"3843",1918,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19999980926514,4.30000019073486
"3844",1919,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,11,6
"3845",1920,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,7.09999990463257
"3846",1921,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,9.19999980926514,5.30000019073486
"3847",1922,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,11,6.19999980926514
"3848",1923,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,17,6.59999990463257
"3849",1924,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3850",1925,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3851",1926,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3852",1927,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3853",1928,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3854",1929,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3855",1930,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3856",1931,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3857",1932,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3858",1933,165,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3859",1934,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3860",1935,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3861",1936,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3862",1937,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3863",1938,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3864",1939,165,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3865",1940,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3866",1941,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3867",1942,165,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3868",1943,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3869",1944,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3870",1945,165,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3871",1946,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3872",1947,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3873",1948,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3874",1949,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3875",1950,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3876",1951,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3877",1952,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3878",1953,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3879",1954,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3880",1955,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3881",1956,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3882",1957,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3883",1958,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3884",1959,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3885",1960,165,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3886",1961,165,NA,NA,2,-0.0304569993168116,6.70279979705811,-0.000899999984540045,NA,NA,NA,NA,NA,NA
"3887",1962,165,NA,NA,2,-0.0354019999504089,6.70279979705811,0.0286849997937679,NA,NA,NA,NA,NA,NA
"3888",1963,165,NA,NA,2,-0.0429020002484322,6.70279979705811,0.0505030006170273,NA,NA,NA,NA,NA,NA
"3889",1964,165,NA,NA,2,0.0131700001657009,6.70279979705811,0.249513000249863,NA,NA,NA,NA,NA,NA
"3890",1965,165,NA,NA,2,-0.0501080006361008,6.70279979705811,0.141413003206253,NA,NA,NA,NA,NA,NA
"3891",1966,165,NA,NA,2,0.0473640002310276,6.70279979705811,0.0104449996724725,NA,NA,NA,NA,NA,NA
"3892",1967,165,NA,NA,2,-0.0436079986393452,6.70279979705811,0,NA,NA,NA,NA,NA,NA
"3893",1968,165,NA,NA,2,-0.0152580002322793,6.70279979705811,0.00399200012907386,NA,NA,NA,NA,NA,NA
"3894",1969,165,0,4,2,0.0562420003116131,6.70279979705811,0.0198030006140471,NA,NA,NA,NA,NA,NA
"3895",1970,165,NA,NA,2,0.0373019985854626,6.70279979705811,0.148420006036758,NA,169,914,92,NA,NA
"3896",1971,165,NA,NA,2,-0.0079150004312396,6.70279979705811,0.940006971359253,NA,NA,NA,NA,NA,NA
"3897",1972,165,NA,NA,2,-0.0371919982135296,6.70279979705811,0.250135987997055,NA,NA,NA,NA,NA,NA
"3898",1973,165,0,3,1,0.024023000150919,6.70279979705811,-0.0128830000758171,NA,NA,NA,NA,NA,NA
"3899",1974,165,NA,NA,1,0.0186299998313189,6.70279979705811,0.399782001972198,NA,NA,NA,NA,NA,NA
"3900",1975,165,NA,NA,1,0.0326899997889996,6.70279979705811,0.0604359991848469,NA,199,899,98,NA,NA
"3901",1976,165,NA,NA,1,0.00381899997591972,6.70279979705811,0.0246929991990328,NA,NA,NA,NA,NA,NA
"3902",1977,165,NA,NA,1,-0.023174000903964,6.70279979705811,-0.0167389996349812,NA,NA,NA,NA,NA,NA
"3903",1978,165,NA,NA,1,0.019879000261426,6.70279979705811,-0.0014009999576956,NA,NA,NA,NA,NA,NA
"3904",1979,165,NA,NA,1,0.0353699997067451,6.70279979705811,-0.00712500000372529,NA,NA,NA,NA,NA,NA
"3905",1980,165,NA,NA,1,0.00847699958831072,6.70279979705811,-0.00702500017359853,NA,NA,NA,NA,NA,NA
"3906",1981,165,NA,NA,1,-0.0295729991048574,6.70279979705811,-0.0341770015656948,NA,NA,500,NA,NA,NA
"3907",1982,165,NA,NA,1,-0.130825996398926,6.70279979705811,-0.0224500000476837,NA,NA,NA,NA,NA,NA
"3908",1983,165,NA,NA,NA,-0.113746002316475,6.70279979705811,0,NA,NA,NA,NA,NA,NA
"3909",1984,165,NA,NA,NA,-0.0157689992338419,6.70279979705811,0.0357530005276203,NA,NA,519,NA,NA,NA
"3910",1985,165,NA,NA,NA,-0.00425599981099367,6.70279979705811,0.113329000771046,NA,307,513,83,NA,NA
"3911",1986,165,NA,NA,NA,0.0775989964604378,NA,0.0998449996113777,NA,NA,NA,NA,NA,NA
"3912",1987,165,NA,NA,NA,0.0785880014300346,NA,0.129975005984306,NA,NA,NA,NA,NA,NA
"3913",1988,165,NA,NA,NA,0.000241000001551583,NA,0.103097997605801,NA,NA,NA,NA,NA,NA
"3914",1989,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3915",1990,165,NA,NA,NA,NA,NA,NA,NA,221,NA,NA,NA,NA
"3916",1991,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3917",1992,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3918",1993,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA
"3919",1994,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3920",1995,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3921",1812,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3922",1813,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3923",1814,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3924",1815,200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2.09999990463257
"3925",1816,200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,12.5
"3926",1817,200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,20.6000003814697
"3927",1818,200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,27.7999992370605
"3928",1819,200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,34.7999992370605
"3929",1820,200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,25.7000007629395
"3930",1821,200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,18.2999992370605
"3931",1822,200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,20.3999996185303
"3932",1823,200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,16.6000003814697
"3933",1824,200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,14
"3934",1825,200,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,14.8999996185303
