"","year","ai","sd","ainew","sdnew","idgurr","ccode"
"2666",1977,NA,NA,NA,NA,704,704
"2667",1978,NA,NA,NA,NA,704,704
"2668",1979,NA,NA,NA,NA,704,704
"2669",1980,NA,NA,NA,NA,704,704
"2670",1981,NA,NA,NA,NA,704,704
"2671",1982,NA,NA,NA,NA,704,704
"2672",1983,NA,NA,NA,NA,704,704
"2673",1984,NA,NA,NA,NA,704,704
"2674",1985,NA,NA,NA,NA,704,704
"2675",1986,NA,NA,NA,NA,704,704
"2676",1987,NA,NA,NA,NA,704,704
"2677",1988,NA,NA,NA,NA,704,704
"2678",1989,NA,NA,NA,NA,704,704
"2679",1990,NA,NA,NA,NA,704,704
"2680",1991,NA,NA,NA,NA,704,704
"2681",1992,1,2,1,2,704,704
"2682",1993,2,2,2,2,704,704
"2683",1976,NA,NA,NA,NA,705,705
"2684",1977,NA,NA,NA,NA,705,705
"2685",1978,NA,NA,NA,NA,705,705
"2686",1979,NA,NA,NA,NA,705,705
"2687",1980,NA,NA,NA,NA,705,705
"2688",1981,NA,NA,NA,NA,705,705
"2689",1982,NA,NA,NA,NA,705,705
"2690",1983,NA,NA,NA,NA,705,705
"2691",1984,NA,NA,NA,NA,705,705
"2692",1985,NA,NA,NA,NA,705,705
"2693",1986,NA,NA,NA,NA,705,705
"2694",1987,NA,NA,NA,NA,705,705
"2695",1988,NA,NA,NA,NA,705,705
"2696",1989,NA,NA,NA,NA,705,705
"2697",1990,NA,NA,NA,NA,705,705
"2698",1991,NA,NA,NA,NA,705,705
"2699",1992,1,1,1,1,705,705
"2700",1993,1,1,1,1,705,705
"2701",1976,4,NA,4,4,710,710
"2702",1977,4,NA,4,4,710,710
"2703",1978,3,NA,3,3,710,710
"2704",1979,3,3,3,3,710,710
"2705",1980,3,3,3,3,710,710
"2706",1981,2,3,2,3,710,710
"2707",1982,3,2,3,2,710,710
"2708",1983,3,2,3,2,710,710
"2709",1984,2,3,2,3,710,710
"2710",1985,3,3,3,3,710,710
"2711",1986,3,2,3,2,710,710
"2712",1987,3,3,3,3,710,710
"2713",1988,3,3,3,3,710,710
"2714",1989,5,5,5,5,710,710
"2715",1990,4,4,4,4,710,710
"2716",1991,4,3,4,3,710,710
"2717",1992,4,3,4,3,710,710
"2718",1993,3,3,3,3,710,710
"2719",1976,NA,NA,NA,NA,712,712
"2720",1977,NA,NA,NA,NA,712,712
"2721",1978,NA,NA,NA,NA,712,712
"2722",1979,NA,NA,NA,NA,712,712
"2723",1980,NA,NA,NA,NA,712,712
"2724",1981,NA,NA,NA,NA,712,712
"2725",1982,NA,NA,NA,NA,712,712
"2726",1983,NA,NA,NA,NA,712,712
"2727",1984,NA,NA,NA,NA,712,712
"2728",1985,NA,NA,NA,NA,712,712
"2729",1986,NA,NA,NA,NA,712,712
"2730",1987,NA,NA,NA,NA,712,712
"2731",1988,NA,NA,NA,NA,712,712
"2732",1989,NA,NA,NA,NA,712,712
"2733",1990,NA,1,1,1,712,712
"2734",1991,1,1,1,1,712,712
"2735",1992,1,1,1,1,712,712
"2736",1993,1,1,1,1,712,712
"2737",1976,NA,NA,NA,NA,713,713
"2738",1977,3,3,3,3,713,713
"2739",1978,3,2,3,2,713,713
"2740",1979,3,2,3,2,713,713
"2741",1980,3,3,3,3,713,713
"2742",1981,3,3,3,3,713,713
"2743",1982,3,2,3,2,713,713
"2744",1983,3,3,3,3,713,713
"2745",1984,2,2,2,2,713,713
"2746",1985,2,2,2,2,713,713
"2747",1986,2,2,2,2,713,713
"2748",1987,2,2,2,2,713,713
"2749",1988,2,3,2,3,713,713
"2750",1989,2,2,2,2,713,713
"2751",1990,2,2,2,2,713,713
"2752",1991,2,2,2,2,713,713
"2753",1992,1,2,1,2,713,713
"2754",1993,2,2,2,2,713,713
"2755",1976,3,3,3,3,732,732
"2756",1977,3,3,3,3,732,732
"2757",1978,3,2,3,2,732,732
"2758",1979,3,2,3,2,732,732
"2759",1980,3,3,3,3,732,732
"2760",1981,3,3,3,3,732,732
"2761",1982,3,3,3,3,732,732
"2762",1983,4,3,4,3,732,732
"2763",1984,3,3,3,3,732,732
"2764",1985,3,3,3,3,732,732
"2765",1986,3,3,3,3,732,732
"2766",1987,3,3,3,3,732,732
"2767",1988,3,2,3,2,732,732
"2768",1989,3,3,3,3,732,732
"2769",1990,3,3,3,3,732,732
"2770",1991,3,3,3,3,732,732
"2771",1992,3,3,3,3,732,732
"2772",1993,2,2,2,2,732,732
"2773",1976,1,1,1,1,740,740
"2774",1977,1,1,1,1,740,740
"2775",1978,1,1,1,1,740,740
"2776",1979,1,1,1,1,740,740
"2777",1980,NA,1,1,1,740,740
"2778",1981,NA,1,1,1,740,740
"2779",1982,1,1,1,1,740,740
"2780",1983,2,1,2,1,740,740
"2781",1984,1,1,1,1,740,740
"2782",1985,1,1,1,1,740,740
"2783",1986,1,1,1,1,740,740
"2784",1987,1,1,1,1,740,740
"2785",1988,2,1,2,1,740,740
"2786",1989,1,1,1,1,740,740
"2787",1990,1,1,1,1,740,740
"2788",1991,1,1,1,1,740,740
"2789",1992,1,1,1,1,740,740
"2790",1993,1,1,1,1,740,740
"2791",1976,4,3,4,3,750,750
"2792",1977,3,2,3,2,750,750
"2793",1978,3,2,3,2,750,750
"2794",1979,3,2,3,2,750,750
"2795",1980,4,3,4,3,750,750
"2796",1981,4,3,4,3,750,750
"2797",1982,4,3,4,3,750,750
"2798",1983,3,3,3,3,750,750
"2799",1984,3,3,3,3,750,750
"2800",1985,3,4,3,4,750,750
"2801",1986,3,3,3,3,750,750
"2802",1987,4,4,4,4,750,750
"2803",1988,4,4,4,4,750,750
"2804",1989,4,4,4,4,750,750
"2805",1990,4,4,4,4,750,750
"2806",1991,4,4,4,4,750,750
"2807",1992,5,4,5,4,750,750
"2808",1993,5,5,5,5,750,750
"2809",1976,NA,NA,NA,NA,760,760
"2810",1977,NA,NA,NA,NA,760,760
"2811",1978,NA,NA,NA,NA,760,760
"2812",1979,NA,NA,NA,NA,760,760
"2813",1980,NA,NA,NA,NA,760,760
"2814",1981,NA,NA,NA,NA,760,760
"2815",1982,NA,1,1,1,760,760
"2816",1983,NA,1,1,1,760,760
"2817",1984,NA,1,1,1,760,760
"2818",1985,NA,1,1,1,760,760
"2819",1986,NA,1,1,1,760,760
"2820",1987,NA,1,1,1,760,760
"2821",1988,NA,1,1,1,760,760
"2822",1989,NA,1,1,1,760,760
"2823",1990,2,NA,2,2,760,760
"2824",1991,4,3,4,3,760,760
"2825",1992,3,4,3,4,760,760
"2826",1993,3,4,3,4,760,760
"2827",1976,NA,1,1,1,770,770
"2828",1977,4,3,4,3,770,770
"2829",1978,3,3,3,3,770,770
"2830",1979,4,3,4,3,770,770
"2831",1980,3,3,3,3,770,770
"2832",1981,4,3,4,3,770,770
"2833",1982,5,3,5,3,770,770
"2834",1983,4,3,4,3,770,770
"2835",1984,3,3,3,3,770,770
"2836",1985,3,3,3,3,770,770
"2837",1986,3,3,3,3,770,770
"2838",1987,3,3,3,3,770,770
"2839",1988,3,3,3,3,770,770
"2840",1989,3,3,3,3,770,770
"2841",1990,4,3,4,3,770,770
"2842",1991,4,3,4,3,770,770
"2843",1992,4,4,4,4,770,770
"2844",1993,3,4,3,4,770,770
"2845",1976,4,3,4,3,771,771
"2846",1977,3,3,3,3,771,771
"2847",1978,3,3,3,3,771,771
"2848",1979,3,2,3,2,771,771
"2849",1980,3,3,3,3,771,771
"2850",1981,3,2,3,2,771,771
"2851",1982,3,3,3,3,771,771
"2852",1983,3,3,3,3,771,771
"2853",1984,4,2,4,2,771,771
"2854",1985,3,2,3,2,771,771
"2855",1986,5,3,5,3,771,771
"2856",1987,3,4,3,4,771,771
"2857",1988,3,3,3,3,771,771
"2858",1989,3,3,3,3,771,771
"2859",1990,4,4,4,4,771,771
"2860",1991,3,4,3,4,771,771
"2861",1992,4,4,4,4,771,771
"2862",1993,3,3,3,3,771,771
"2863",1976,3,3,3,3,775,775
"2864",1977,4,3,4,3,775,775
"2865",1978,NA,3,3,3,775,775
"2866",1979,2,3,2,3,775,775
"2867",1980,NA,3,3,3,775,775
"2868",1981,NA,3,3,3,775,775
"2869",1982,NA,3,3,3,775,775
"2870",1983,3,4,3,4,775,775
"2871",1984,3,3,3,3,775,775
"2872",1985,3,4,3,4,775,775
"2873",1986,4,4,4,4,775,775
"2874",1987,5,3,5,3,775,775
"2875",1988,5,5,5,5,775,775
"2876",1989,4,4,4,4,775,775
"2877",1990,4,4,4,4,775,775
"2878",1991,4,4,4,4,775,775
"2879",1992,5,5,5,5,775,775
"2880",1993,5,5,5,5,775,775
"2881",1976,3,2,3,2,780,780
"2882",1977,2,1,2,1,780,780
"2883",1978,2,1,2,1,780,780
"2884",1979,3,2,3,2,780,780
"2885",1980,2,1,2,1,780,780
"2886",1981,3,2,3,2,780,780
"2887",1982,3,2,3,2,780,780
"2888",1983,5,4,5,4,780,780
"2889",1984,5,4,5,4,780,780
"2890",1985,5,4,5,4,780,780
"2891",1986,5,4,5,4,780,780
"2892",1987,5,4,5,4,780,780
"2893",1988,4,5,4,5,780,780
"2894",1989,5,5,5,5,780,780
"2895",1990,5,5,5,5,780,780
"2896",1991,5,4,5,4,780,780
"2897",1992,5,4,5,4,780,780
"2898",1993,5,4,5,4,780,780
"2899",1976,NA,NA,NA,NA,781,781
"2900",1977,NA,NA,NA,NA,781,781
"2901",1978,NA,NA,NA,NA,781,781
"2902",1979,NA,2,2,2,781,781
"2903",1980,2,2,2,2,781,781
"2904",1981,2,2,2,2,781,781
"2905",1982,NA,1,1,1,781,781
"2906",1983,NA,1,1,1,781,781
"2907",1984,NA,2,2,2,781,781
"2908",1985,NA,2,2,2,781,781
"2909",1986,NA,2,2,2,781,781
"2910",1987,NA,1,1,1,781,781
"2911",1988,1,1,1,1,781,781
"2912",1989,1,1,1,1,781,781
"2913",1990,2,2,2,2,781,781
"2914",1991,2,2,2,2,781,781
"2915",1992,2,2,2,2,781,781
"2916",1993,2,2,2,2,781,781
"2917",1976,3,2,3,2,790,790
"2918",1977,3,3,3,3,790,790
"2919",1978,3,2,3,2,790,790
"2920",1979,2,2,2,2,790,790
"2921",1980,3,2,3,2,790,790
"2922",1981,3,2,3,2,790,790
"2923",1982,3,2,3,2,790,790
"2924",1983,2,3,2,3,790,790
"2925",1984,3,2,3,2,790,790
"2926",1985,3,3,3,3,790,790
"2927",1986,3,3,3,3,790,790
"2928",1987,3,3,3,3,790,790
"2929",1988,3,3,3,3,790,790
"2930",1989,3,3,3,3,790,790
"2931",1990,4,3,4,3,790,790
"2932",1991,3,2,3,2,790,790
"2933",1992,3,3,3,3,790,790
"2934",1993,3,3,3,3,790,790
"2935",1976,4,3,4,3,800,800
"2936",1977,3,2,3,2,800,800
"2937",1978,3,3,3,3,800,800
"2938",1979,4,3,4,3,800,800
"2939",1980,3,3,3,3,800,800
"2940",1981,3,3,3,3,800,800
"2941",1982,3,3,3,3,800,800
"2942",1983,NA,3,3,3,800,800
"2943",1984,2,3,2,3,800,800
"2944",1985,3,2,3,2,800,800
"2945",1986,3,3,3,3,800,800
"2946",1987,2,3,2,3,800,800
"2947",1988,2,3,2,3,800,800
"2948",1989,2,2,2,2,800,800
"2949",1990,3,2,3,2,800,800
"2950",1991,2,2,2,2,800,800
"2951",1992,4,3,4,3,800,800
"2952",1993,2,3,2,3,800,800
"2953",1976,5,5,5,5,811,811
"2954",1977,5,NA,5,5,811,811
"2955",1978,3,NA,3,3,811,811
"2956",1979,3,NA,3,3,811,811
"2957",1980,3,3,3,3,811,811
"2958",1981,3,3,3,3,811,811
"2959",1982,3,4,3,4,811,811
"2960",1983,3,4,3,4,811,811
"2961",1984,4,3,4,3,811,811
"2962",1985,3,4,3,4,811,811
"2963",1986,5,4,5,4,811,811
"2964",1987,NA,4,4,4,811,811
"2965",1988,3,4,3,4,811,811
"2966",1989,3,4,3,4,811,811
"2967",1990,3,4,3,4,811,811
"2968",1991,3,4,3,4,811,811
"2969",1992,4,3,4,3,811,811
"2970",1993,4,4,4,4,811,811
"2971",1976,4,NA,4,4,812,812
"2972",1977,4,NA,4,4,812,812
"2973",1978,4,NA,4,4,812,812
"2974",1979,4,4,4,4,812,812
"2975",1980,3,3,3,3,812,812
"2976",1981,3,3,3,3,812,812
"2977",1982,3,3,3,3,812,812
"2978",1983,3,4,3,4,812,812
"2979",1984,3,4,3,4,812,812
"2980",1985,3,4,3,4,812,812
"2981",1986,4,4,4,4,812,812
"2982",1987,3,4,3,4,812,812
"2983",1988,3,3,3,3,812,812
"2984",1989,2,3,2,3,812,812
"2985",1990,2,3,2,3,812,812
"2986",1991,2,2,2,2,812,812
"2987",1992,2,3,2,3,812,812
"2988",1993,2,3,2,3,812,812
"2989",1976,5,NA,5,5,815,815
"2990",1977,4,NA,4,4,815,815
"2991",1978,4,NA,4,4,815,815
"2992",1979,4,5,4,5,815,815
"2993",1980,3,3,3,3,815,815
"2994",1981,3,3,3,3,815,815
"2995",1982,3,3,3,3,815,815
"2996",1983,3,3,3,3,815,815
"2997",1984,3,4,3,4,815,815
"2998",1985,3,3,3,3,815,815
"2999",1986,3,4,3,4,815,815
"3000",1987,3,4,3,4,815,815
"3001",1988,3,3,3,3,815,815
"3002",1989,3,3,3,3,815,815
"3003",1990,3,3,3,3,815,815
"3004",1991,3,3,3,3,815,815
"3005",1992,2,3,2,3,815,815
"3006",1993,2,2,2,2,815,815
"3007",1976,3,2,3,2,820,820
"3008",1977,3,2,3,2,820,820
"3009",1978,3,3,3,3,820,820
"3010",1979,3,3,3,3,820,820
"3011",1980,2,2,2,2,820,820
"3012",1981,3,2,3,2,820,820
"3013",1982,NA,2,2,2,820,820
"3014",1983,2,3,2,3,820,820
"3015",1984,2,2,2,2,820,820
"3016",1985,3,2,3,2,820,820
"3017",1986,2,2,2,2,820,820
"3018",1987,2,2,2,2,820,820
"3019",1988,2,2,2,2,820,820
"3020",1989,2,2,2,2,820,820
"3021",1990,2,2,2,2,820,820
"3022",1991,3,2,3,2,820,820
"3023",1992,2,2,2,2,820,820
"3024",1993,1,2,1,2,820,820
"3025",1976,NA,NA,NA,NA,821,821
"3026",1977,NA,NA,NA,NA,821,821
"3027",1978,NA,NA,NA,NA,821,821
"3028",1979,NA,NA,NA,NA,821,821
"3029",1980,NA,NA,NA,NA,821,821
"3030",1981,NA,NA,NA,NA,821,821
"3031",1982,NA,NA,NA,NA,821,821
"3032",1983,NA,NA,NA,NA,821,821
"3033",1984,2,2,2,2,821,821
"3034",1985,2,2,2,2,821,821
"3035",1986,2,2,2,2,821,821
"3036",1987,2,1,2,1,821,821
"3037",1988,2,2,2,2,821,821
"3038",1989,2,2,2,2,821,821
"3039",1990,2,1,2,1,821,821
"3040",1991,1,1,1,1,821,821
"3041",1992,1,1,1,1,821,821
"3042",1993,NA,1,1,1,821,821
"3043",1976,3,2,3,2,830,830
"3044",1977,3,2,3,2,830,830
"3045",1978,3,2,3,2,830,830
"3046",1979,3,3,3,3,830,830
"3047",1980,3,3,3,3,830,830
"3048",1981,3,2,3,2,830,830
"3049",1982,3,2,3,2,830,830
"3050",1983,2,2,2,2,830,830
"3051",1984,2,2,2,2,830,830
"3052",1985,1,2,1,2,830,830
"3053",1986,1,1,1,1,830,830
"3054",1987,2,2,2,2,830,830
"3055",1988,2,2,2,2,830,830
"3056",1989,2,2,2,2,830,830
"3057",1990,2,2,2,2,830,830
"3058",1991,2,1,2,1,830,830
"3059",1992,1,1,1,1,830,830
"3060",1993,1,2,1,2,830,830
"3061",1976,4,3,4,3,840,840
"3062",1977,4,3,4,3,840,840
"3063",1978,4,3,4,3,840,840
"3064",1979,4,3,4,3,840,840
"3065",1980,4,3,4,3,840,840
"3066",1981,4,4,4,4,840,840
"3067",1982,4,3,4,3,840,840
"3068",1983,4,4,4,4,840,840
"3069",1984,4,3,4,3,840,840
"3070",1985,4,4,4,4,840,840
"3071",1986,3,4,3,4,840,840
"3072",1987,4,3,4,3,840,840
"3073",1988,3,3,3,3,840,840
"3074",1989,4,3,4,3,840,840
"3075",1990,4,4,4,4,840,840
"3076",1991,4,4,4,4,840,840
"3077",1992,4,4,4,4,840,840
"3078",1993,4,4,4,4,840,840
"3079",1976,4,3,4,3,850,850
"3080",1977,4,4,4,4,850,850
"3081",1978,4,3,4,3,850,850
"3082",1979,3,3,3,3,850,850
"3083",1980,4,3,4,3,850,850
"3084",1981,5,3,5,3,850,850
"3085",1982,4,3,4,3,850,850
"3086",1983,4,3,4,3,850,850
"3087",1984,5,3,5,3,850,850
"3088",1985,4,4,4,4,850,850
"3089",1986,3,3,3,3,850,850
"3090",1987,3,3,3,3,850,850
"3091",1988,3,3,3,3,850,850
"3092",1989,3,3,3,3,850,850
"3093",1990,4,3,4,3,850,850
"3094",1991,4,4,4,4,850,850
"3095",1992,5,3,5,3,850,850
"3096",1993,4,4,4,4,850,850
"3097",1976,NA,1,1,1,900,900
"3098",1977,NA,1,1,1,900,900
"3099",1978,NA,1,1,1,900,900
"3100",1979,NA,1,1,1,900,900
"3101",1980,NA,1,1,1,900,900
"3102",1981,NA,1,1,1,900,900
"3103",1982,NA,1,1,1,900,900
"3104",1983,NA,1,1,1,900,900
"3105",1984,NA,1,1,1,900,900
"3106",1985,NA,1,1,1,900,900
"3107",1986,NA,1,1,1,900,900
"3108",1987,1,1,1,1,900,900
"3109",1988,1,1,1,1,900,900
"3110",1989,1,1,1,1,900,900
"3111",1990,1,1,1,1,900,900
"3112",1991,1,1,1,1,900,900
"3113",1992,1,1,1,1,900,900
"3114",1993,1,1,1,1,900,900
"3115",1976,NA,NA,NA,NA,910,910
"3116",1977,NA,NA,NA,NA,910,910
"3117",1978,NA,NA,NA,NA,910,910
"3118",1979,NA,1,1,1,910,910
"3119",1980,1,1,1,1,910,910
"3120",1981,1,1,1,1,910,910
"3121",1982,NA,1,1,1,910,910
"3122",1983,NA,1,1,1,910,910
"3123",1984,NA,1,1,1,910,910
"3124",1985,1,2,1,2,910,910
"3125",1986,NA,2,2,2,910,910
"3126",1987,NA,2,2,2,910,910
"3127",1988,4,2,4,2,910,910
"3128",1989,4,2,4,2,910,910
"3129",1990,4,4,4,4,910,910
"3130",1991,4,3,4,3,910,910
"3131",1992,4,3,4,3,910,910
"3132",1993,4,3,4,3,910,910
"3133",1976,NA,NA,NA,NA,911,911
"3134",1977,NA,NA,NA,NA,911,911
"3135",1978,NA,NA,NA,NA,911,911
"3136",1979,NA,1,1,1,911,911
"3137",1980,NA,1,1,1,911,911
"3138",1981,NA,1,1,1,911,911
"3139",1982,NA,1,1,1,911,911
"3140",1983,NA,1,1,1,911,911
"3141",1984,NA,1,1,1,911,911
"3142",1985,NA,1,1,1,911,911
"3143",1986,NA,1,1,1,911,911
"3144",1987,NA,1,1,1,911,911
"3145",1988,NA,1,1,1,911,911
"3146",1989,NA,1,1,1,911,911
"3147",1990,NA,1,1,1,911,911
"3148",1991,NA,1,1,1,911,911
"3149",1992,NA,1,1,1,911,911
"3150",1993,NA,1,1,1,911,911
"3151",1976,NA,NA,NA,NA,914,914
"3152",1977,NA,NA,NA,NA,914,914
"3153",1978,NA,NA,NA,NA,914,914
"3154",1979,NA,NA,NA,NA,914,914
"3155",1980,3,3,3,3,914,914
"3156",1981,3,1,3,1,914,914
"3157",1982,NA,1,1,1,914,914
"3158",1983,NA,1,1,1,914,914
"3159",1984,NA,1,1,1,914,914
"3160",1985,NA,1,1,1,914,914
"3161",1986,NA,1,1,1,914,914
"3162",1987,NA,1,1,1,914,914
"3163",1988,NA,1,1,1,914,914
"3164",1989,NA,1,1,1,914,914
"3165",1990,NA,1,1,1,914,914
"3166",1991,NA,1,1,1,914,914
"3167",1992,NA,1,1,1,914,914
"3168",1993,NA,1,1,1,914,914
"3169",1976,NA,1,1,1,920,920
"3170",1977,NA,1,1,1,920,920
"3171",1978,NA,1,1,1,920,920
"3172",1979,NA,1,1,1,920,920
"3173",1980,NA,1,1,1,920,920
"3174",1981,NA,1,1,1,920,920
"3175",1982,NA,1,1,1,920,920
"3176",1983,NA,1,1,1,920,920
"3177",1984,NA,1,1,1,920,920
"3178",1985,NA,1,1,1,920,920
"3179",1986,NA,1,1,1,920,920
"3180",1987,NA,1,1,1,920,920
"3181",1988,NA,1,1,1,920,920
"3182",1989,NA,1,1,1,920,920
"3183",1990,NA,1,1,1,920,920
"3184",1991,NA,1,1,1,920,920
"3185",1992,NA,1,1,1,920,920
"3186",1993,1,1,1,1,920,920
"3187",1976,NA,NA,NA,NA,950,950
"3188",1977,NA,NA,NA,NA,950,950
"3189",1978,NA,NA,NA,NA,950,950
"3190",1979,NA,NA,NA,NA,950,950
"3191",1980,NA,1,1,1,950,950
"3192",1981,NA,1,1,1,950,950
"3193",1982,NA,1,1,1,950,950
"3194",1983,NA,1,1,1,950,950
"3195",1984,NA,1,1,1,950,950
"3196",1985,NA,1,1,1,950,950
"3197",1986,NA,1,1,1,950,950
"3198",1987,3,3,3,3,950,950
"3199",1988,2,NA,2,2,950,950
"3200",1989,1,NA,1,1,950,950
"3201",1990,2,NA,2,2,950,950
"3202",1991,2,NA,2,2,950,950
"3203",1992,2,NA,2,2,950,950
"3204",1993,NA,1,1,1,950,950
"3205",1976,NA,NA,NA,NA,990,990
"3206",1977,NA,NA,NA,NA,990,990
"3207",1978,NA,NA,NA,NA,990,990
"3208",1979,NA,1,1,1,990,990
"3209",1980,NA,1,1,1,990,990
"3210",1981,NA,1,1,1,990,990
"3211",1982,NA,1,1,1,990,990
"3212",1983,NA,1,1,1,990,990
"3213",1984,NA,1,1,1,990,990
"3214",1985,NA,1,1,1,990,990
"3215",1986,NA,1,1,1,990,990
"3216",1987,NA,1,1,1,990,990
"3217",1988,NA,1,1,1,990,990
"3218",1989,NA,1,1,1,990,990
"3219",1990,NA,1,1,1,990,990
"3220",1991,NA,1,1,1,990,990
"3221",1992,NA,1,1,1,990,990
"3222",1993,NA,1,1,1,990,990
