Year,OT Departure%,Late Arrival%,OT Arrival%,Cancelled%,Diverted%,#Flights
1996.9091,82.56,19.65,77.91,2.19,0.24,435088
1995.9091,81.48,20.49,77.85,1.47,0.19,427091
2004.3636,81.74,20.36,77.62,1.75,0.28,594457
2005.0909,81.11,20.52,77.58,1.74,0.16,545332
1997.5455,82.29,20.54,77.5,1.69,0.28,466771
1998.3636,81.73,20.21,77.48,2.09,0.21,449293
2004.0909,82,20.68,77.48,1.71,0.13,553876
1996.8182,82.76,20.82,77.19,1.74,0.25,456577
1998.6364,80.62,19.56,77.03,3.16,0.25,465910
2000.1818,80.73,20.68,76.99,2.12,0.21,482944
2005.1818,79.77,21.28,76.94,1.65,0.14,617540
2003.0909,80.79,19.21,76.54,4,0.25,500205
2006.9091,79.97,21.66,76.52,1.63,0.18,586197
2006.7273,80.41,21.87,76.22,1.7,0.21,584937
1999.3636,81.16,21,76.19,2.57,0.25,462054
2001.6364,79.86,21.08,76.18,2.45,0.29,544351
1997.4545,81.41,22.04,76.14,1.51,0.32,450737
2006.1818,78.57,22.45,76.12,1.25,0.17,605217
1999.6364,80.23,21.21,76.11,2.44,0.23,479549
2000.8182,80.17,21.6,76.07,2.13,0.19,485761
2004,80.33,21.72,76.04,2.09,0.15,555495
2004.5455,79.07,22.14,75.95,1.65,0.26,614166
1995.4545,81.7,22.53,75.94,1.32,0.21,439423
1996.1818,79.84,21.87,75.94,1.98,0.21,449569
1998.1818,80.26,21.76,75.85,2.14,0.25,459703
2006.6364,78.46,22.39,75.8,1.56,0.25,628732
1999.2727,81.05,22.05,75.73,1.98,0.24,450620
2001,78.72,20.64,75.42,3.75,0.18,529940
1998.0909,80.91,21.82,75.39,2.54,0.25,412832
2000.2727,79.74,21.9,75.37,2.51,0.22,463263
2006.0909,78.47,22.33,75.3,2.13,0.25,531247
1996.5455,79.97,22.42,75.29,2.04,0.26,458376
2001.1818,78.26,21.24,75.22,3.37,0.17,531119
1997.0909,80.37,22.51,75.21,2.07,0.2,415656
2005.4545,78.06,22.94,75.2,1.63,0.23,609195
2001.4545,78.73,21.52,75.18,2.98,0.32,520230
2005.6364,77.92,22.42,75.16,2.13,0.29,630904
1998,79.9,21.59,75.05,3.07,0.28,452001
2004,79.68,21.96,74.85,3.02,0.17,583987
2000.0909,78.89,21.58,74.76,3.42,0.24,444499
1996.6364,79.98,23.34,74.69,1.72,0.25,462294
1996.4545,79.57,23.24,74.67,1.81,0.28,443311
2000.3636,78.34,22.01,74.25,3.45,0.28,478909
1995,78.39,22.82,73.83,3.07,0.29,464933
2000,78.26,20.77,73.75,5.21,0.28,470477
2006.5455,75.91,24.27,73.7,1.73,0.3,621244
1998,78.64,24.38,73.54,1.82,0.26,450904
1999,76.89,24.27,73.22,2.18,0.34,455099
2004.4545,77.36,25.26,72.95,1.49,0.29,588792
2006.8182,77.76,25.02,72.91,1.86,0.2,611718
2006.4545,75.36,25.18,72.83,1.69,0.3,598315
2000.9091,77.21,24.67,72.82,2.34,0.17,467251
2001.0909,77.17,23.31,72.73,3.65,0.3,477824
1996.0909,76.44,24.3,71.9,3.47,0.33,420265
2005,74.46,25.39,71.56,2.82,0.23,606731
2005,75.17,24.09,71.39,4.22,0.3,594924
1999.5455,75.98,25.44,71.07,3.14,0.35,474047
2006,74.25,26.92,71.01,1.88,0.19,572343
2005.5455,73.89,26.56,70.92,2.21,0.32,627961
1999.4545,76.68,26.02,70.88,2.75,0.35,460467
2007,73.28,25.98,70.8,2.99,0.23,604758
1998.4545,75.47,26.3,70.42,2.88,0.4,446427
2000.5455,74.31,26.21,70.31,3.21,0.27,483342
2000.6364,74.56,26.71,69.96,3.05,0.28,491366
1997,74.19,27.32,68.41,3.95,0.32,459123
1999,71.95,26.04,67.66,5.85,0.45,453814
1996,71.62,29.21,67.66,2.87,0.26,441688
2001.7273,68.53,11.82,67.66,20.24,0.28,490698
1997,71.37,30.36,66.63,2.7,0.32,455997
2000.4545,71.11,29.37,66.34,3.95,0.34,471100
2001,66.52,30.99,62.75,5.95,0.31,481038
1996,68.49,30.28,62.67,6.62,0.44,447224
