"EXPONSAL"	"HIGHTECH"	"LOWTECH"	"MEDTECH"	"RD"	"RDINTENS"	"SALES"	"WORKERS"
77.7244	1	0	0	0	0	200000000	651
1.1178	1	0	0	0	0	24600000	191
32.2104	1	0	0	8549741999.999999	7.843799999999999	1090000000	7018
9.408900000000001	0	0	1	0	0	4540000	47
41.5873	0	1	0	0	0	106000000	758
6.047700000000001	1	0	0	0	0	12900000	86
19.7264	0	0	1	0	0	18400000	103
0	0	0	1	0	0	4830000	20
0.8723	0	0	1	81192000	0.398	204000000	236
0	0	1	0	0	0	1150000	20
0	0	0	1	0	0	511000.0000000001	11
0	0	0	1	0	0	279000	6
0	0	1	0	0	0	2350000	14
19.6936	1	0	0	0	0	1070000	7
85.9648	0	1	0	18406960	1.2872	14300000	112
79.12639999999999	0	0	1	19096440	1.4467	13200000	184
4.6006	1	0	0	0	0	2230000	17
0	0	0	1	0	0	673000	10
12.7907	0	0	1	0	0	60900000	268
0.0203	0	1	0	0	0	2300000	26
12.0647	0	1	0	40032000	0.2085	192000000	978
6.157900000000001	0	1	0	0	0	4320000	23
17.6376	0	0	1	52721900	0.3157	167000000	567
0	0	0	1	0	0	544000	9
33.1451	1	0	0	2255680.000000001	2.014	1120000	14
0	0	1	0	0	0	337000	11
43.1151	0	0	1	115219200	3.0005	38400000	344
83.95179999999999	1	0	0	10236800	0.457	22400000	70
5.8189	1	0	0	0	0	3110000	20
0	0	0	1	0	0	4060000	25
32.1951	0	1	0	0	0	621000	5
0	0	1	0	0	0	380000	9
2.8034	0	1	0	0	0	688000	14
53.6894	1	0	0	526464000	11.6992	45000000	247
29.2275	0	0	1	0	0	1710000	23
2.7138	0	1	0	0	0	5610000	37
15.0001	0	0	1	0	0	10400000	37
46.84860000000001	1	0	0	23813999	3.3121	7190000	141
1.2323	0	0	1	0	0	14600000	22
41.3201	0	1	0	0	0	2060000	11
87.7803	1	0	0	130633800	1.9793	66000000	426
0	0	0	1	0	0	261000	10
0	1	0	0	0	0	434999.9999999999	5
0	0	0	1	0	0	1220000	37
2.8002	0	1	0	6916910.000000001	2.4185	2860000	62
64.69500000000001	0	0	1	6013279.999999999	0.2891	20800000	210
8.613200000000001	0	0	1	418883400.0000001	0.9126000000000001	459000000	3360
1.3608	0	0	1	0	0	5040000	22
46.8165	0	0	1	0	0	6410000	150
13.2518	0	0	1	0	0	42400000	234
1.2968	0	1	0	0	0	15500000	92
61.3386	0	1	0	8521200	0.0263	324000000	1992
89.89200000000001	0	0	1	2146149	0.7083	3030000	18
27.084	0	0	1	99455400	0.5023	198000000	931
47.417	0	0	1	0	0	47500000	718
0	0	1	0	0	0	29900000	164
1.3217	0	1	0	0	0	26600000	562
0	0	1	0	0	0	555000	17
