AGE	CAREPROV	CARESELF	CHILDU15	CHILDUP3	CHILDUP5	CHRONDIS	CIVILSTAT	CLOTHPRV	EDUC	EMPLOYEE	FEMALE	FLEXSCHED	FOODPROV	FULLTIME	GOODHLTH	HELPOTHF	HHINC	HHSIZE	HOBBIES	HOMEMNT	HOUSWIFE	HOUSWORK	LABFORCE	LEISURE	MEDTIME	NORESDOM	PAIDWORK	PERSINC	PRIVEMPL	PUBEMPL	REGION	RESDMSTC	RETIRED	SATURDAY	SLEEP	SOCLIFE	SPANIARD	SPORT	STUDY	SUNDAY	TOTALWRK	UNEMPLYD	UNPAIDWK	VOLWORK	WEEKDOMH	WEEKWRKH	WORKDAY	WORKNOPR
41	50	190	2	1	1	0	1	0	8	0	1	0	0	0	1	0	1371,9	5	0	0	0	50	1	800	70	0	0	1371,9	0	0	8	0	0	0	590	430	1	110	0	1	50	0	50	0	0	0	0	0
33	200	150	2	1	2	0	1	0	15	1	1	0	0	0	1	0	2235,26	4	0	110	0	310	1	590	320	0	0	1723,23	0	1	12	0	0	0	540	120	1	0	0	1	310	0	310	0	0	21	0	0
15	0	210	1	0	0	0	2	0	8	0	0	0	0	0	1	0	2492,99	4	0	0	0	0	0	780	50	1	0	0	0	0	13	0	0	0	660	60	1	0	460	1	0	0	0	0	15	0	0	0
57	0	100	0	0	0	0	5	120	2,5	0	1	0	20	0	1	0	760,95	1	0	0	0	140	0	710	410	0	0	0	0	0	16	0	1	0	590	0	1	200	0	0	140	0	140	0	0	0	1	0
73	0	210	0	0	0	0	1	0	2,5	0	1	0	0	0	1	0	1248,25	4	70	50	0	50	0	810	220	0	0	0	0	0	9	0	1	0	580	230	1	80	0	0	50	0	50	0	0	0	1	0
57	0	360	0	0	0	1	3	69,23076923	8	0	0	0	242,3076923	0	1	0	3601,12	3	0	138,4615385	0	450	0	460	80	1	0	0	0	0	7	0	1	0	530	20	1	0	0	0	450	0	450	0	1	0	1	0
17	0	150	0	0	0	0	2	0	8	0	0	0	0	0	1	0	1894,42	4	0	0	0	0	0	960	90	0	0	0	0	0	13	0	0	0	480	0	1	150	570	0	0	0	0	0	0	0	1	0
63	0	290	0	0	0	0	1	0	6,5	1	1	0	110	1	1	0	2492,99	4	0	0	0	110	1	490	70	0	440	769,759	0	1	10	0	0	0	400	60	1	70	0	0	550	0	110	0	0	35	1	0
28	120	140	0	0	0	1	2	0	8	0	0	0	140	0	1	0	2730,65	3	0	70	0	330	0	660	70	0	0	0	0	0	5	0	0	0	450	150	1	0	300	0	330	0	330	0	0	0	1	0
22	0	230	0	0	0	0	2	21,81818182	8	1	0	0	207,2727273	1	1	0	1740,81	4	30	130,9090909	0	360	1	540	30	0	0	769,759	1	0	1	0	0	0	540	120	1	130	0	0	360	0	360	0	0	40	1	0
71	0	130	0	0	0	1	2	0	6,5	0	0	0	180	0	1	0	760,95	1	0	30	0	210	0	650	420	1	0	0	0	0	1	0	1	0	580	100	1	0	0	0	210	0	210	0	8	0	1	0
51	110	110	1	0	0	0	1	20	17	0	0	0	80	0	1	0	5502,96	5	0	10	0	220	1	230	90	1	430	2205,47	0	0	9	0	0	0	560	20	1	10	0	0	650	0	220	0	25	0	1	0
22	70	150	0	0	0	0	2	0	8	0	0	0	70	0	1	0	760,95	4	30	0	0	140	0	670	150	0	0	0	0	0	2	0	0	0	630	90	1	40	210	0	140	0	140	0	0	0	1	0
10	0	190	2	0	0	0	2	0	2,5	0	1	0	30	0	1	0	1539,52	7	30	0	0	30	0	870	120	0	0	0	0	0	1	0	0	0	540	80	1	50	400	0	30	0	30	0	0	0	1	0
70	0	170	0	0	0	0	1	0	12	0	0	0	237,037037	0	1	0	1248,25	2	0	162,962963	0	400	0	500	120	1	0	0	0	0	13	0	1	0	540	100	1	110	0	0	400	0	400	0	3	0	1	0
