AGE	CAREPROV	CARSELF	CHILD35	CHILD515	CHILDU15	CHILDUP3	CHILDUP5	CHRONDIS	CIVILSTAT	CLOTHPRV	DOMESTIC	EDUC	EMPLOYEE	FEMALE	FLEXSCHD	FOODPROV	FULLTIME	GOODHLTH	HELPOTHF	HHINC	HHSIZE	HOBBIES	HOMEMNT	HOUSWIFE	LABFORCE	MEDTIME	NONRESDOM	PAIDWORK	PERSINC	PRIVEMPL	PUBEMPL	REGION	RESDMSTC	RETIRED	SATURDAY	SLEEP	SOCLIFE	SPANIARD	SPORT	STUDY	SUNDAY	UNEMPL	WATCHTV	WEEKDOMH	WEEKWRKH	WORKDAY	WORKNOPR	Y2009
23	180	90	0	0	0	0	0	0	2	0	0	12	0	0	0	0	0	1	0	0	3	0	0	0	0	280	0	0	0	0	0	9	0	0	1	810	80	1	0	0	0	0	280	0	0	0	0	0
57	0	200	0	0	0	0	0	0	1	0	0	6.5	1	0	0	142.5	1	1	60	1248.25	2	0	427.5	0	1	90	0	0	1124.66	1	0	9	0	0	1	490	30	1	0	0	0	0	90	0	40	0	0	0
38	20	240	0	1	1	0	0	0	1	0	1	12	1	0	1	20	1	1	0	5502.96	3	0	0	0	1	160	1	0	3232.29	1	0	3	0	0	0	500	270	1	230	0	1	0	160	6	37.5	0	0	0
78	0	140	0	0	0	0	0	0	3	30	0	6.5	0	1	0	100	0	0	0	313.4	1	0	90	0	0	210	0	0	0	0	0	12	0	1	0	710	40	1	120	0	0	0	210	0	0	1	0	0
17	17.5	110	0	1	1	0	0	0	2	17.5	0	8	1	0	1	17.5	0	1	0	1740.81	5	60	17.5	0	1	0	0	320	342.621	1	0	9	0	0	1	120	760	1	0	0	0	0	0	0	0	0	0	0
68	0	150	0	0	0	0	0	0	1	0	0	8	0	1	0	314.4827586	0	1	0	760.95	2	0	65.51724138	1	0	260	0	0	0	0	0	10	0	0	0	420	120	1	110	0	0	0	260	0	0	1	0	0
66	58.33333333	70	0	0	0	0	0	0	1	0	0	2.5	0	1	0	245	0	1	0	1740.81	2	0	116.6666667	0	0	210	0	0	0	0	0	9	0	1	0	590	120	1	30	0	0	0	210	0	0	1	0	0
55	2.5	190	0	0	0	0	0		2	2.5	1	17	0	0	0	2.5	1	1	0	3765.14	2	0	2.5	0	1	130		680	3297.19			12		0	0	430	0	1	0	0	0	0	130		55	1	0	1
43	0	150	0	1	1	0	0	0	3	0	0	8	1	0	0	0	1	1	0	1248.25	4	0	0	0	1	0	0	620	769.759	1	0	12	0	0	0	490	180	1	0	0	0	0	0	0	40	1	0	0
81	0	130	0	0	0	0	0	1	3	0	0	0	0	1	0	60	0	0	0	313.4	1	0	40	0	0	330	0	0	0	0	0	9	0	1	0	720	50	1	110	0	1	0	330	0	0	0	0	0
19	148.1395349	210	0	2	3	1	1		2	0	0	4.5	1	1	0	113.9534884	0	1	0	1212.93	7	0	227.9069767	0	1	390		0	0			18		0	0	350	0	1	0	0	0	1	390		0	1	0	1
49	0	140	0	0	0	0	0		2	0	0	11	1	0	0	0	1	1	0	0	4	80	0	0	1	70		490	0			11		0	0	470	190	1	0	0	0	0	70		35	1	0	1
64	0	280	0	0	0	0	0		2	40	0	4.5	0	1	0	133.3333333	0	1	170	0	3	0	66.66666667	1	0	330		0	0			2		0	0	400	20	1	0	0	0	0	210		0	1	0	1
59	0	400	0	0	0	0	0		1	0	0	12	1	1	0	100	0	0	0	313.399	2	0	0	0	1	0		0	0			13		0	0	430	30	1	0	480	0	1	0		0	1	0	1
11	0	200	0	2	2	0	0	0	2	0	0	6.5	0	1	0	0	0	1	0	5502.96	4	100	290	0	0	20	0	0	0	0	0	13	0	0	0	400	70	1	20	340	0	0	20	0	0	1	0	0
15	0	160	0	1	1	0	0	0	2	0	0	6.5	0	0	0	20	0	1	0	2492.99	4	0	0	0	0	300	0	0	0	0	0	9	0	0	1	780	180	1	0	0	0	0	300	0	0	0	0	0
40	40	90	0	1	1	0	0		2	0	0	11	1	0	1	0	1	1	0	2433.18	3	0	0	0	1	110		590	1392.46			13		0	0	440	80	1	50	0	0	0	110		40	1	40	1
15	10	90	0	2	2	0	0		1	0	0	8	1	0	0	0	0	1	0	313.399	4	70	20	0	0	0		0	0			1		0	0	130	1120	0	0	0	0	0	0		0	1	0	1
97	0	170	0	0	0	0	0		3	0	0	0	0	1	0	0	0	1	0	3765.14	4	0	0	0	0	420		0	0			5		1	1	680	120	1	50	0	0	0	420		0	0	0	1
54	0	140	0	0	0	0	0	0	4	0	0	8	1	1	0	187.5862069	1	1	0	1539.52	2	0	152.4137931	0	1	120	0	0	769.759	1	0	7	0	0	0	560	230	1	50	0	1	0	120	0	40	0	0	0
73	0	220	0	0	0	0	0	1	1	0	0	2.5	0	0	0	184	0	0	0	313.4	2	0	276	0	0	140	0	0	0	0	0	12	0	1	0	530	90	1	0	0	0	0	140	0	0	1	0	0
45	0	390	0	2	2	0	0	0	1	0	0	8	1	0	0	0	1	1	0	1740.81	4	0	0	0	1	0	0	0	769.759	1	0	10	0	0	1	590	180	1	280	0	0	0	0	0	40	0	0	0
63	0	360	0	0	0	0	0	1	1	98.51851852	0	8	0	1	0	239.2592593	0	0	0	760.95	2	0	42.22222222	0	0	170	0	0	0	0	0	1	0	1	0	450	0	1	80	0	0	0	170	0	0	1	0	0
74	0	120	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	1	0	1248.25	2	180	60	0	0	260	0	0	0	0	0	9	0	1	1	530	160	1	130	0	0	0	120	0	0	0	0	0
31	187	90	0	0	1	1	1	0	1	22	0	11	1	1	0	198	1	1	0	1740.81	3	0	33	0	1	80	0	420	769.759	1	0	18	0	0	0	410	0	0	0	0	0	0	80	0	40	1	0	0
29	0	140	0	0	0	0	0	0	1	32.5	0	12	1	1	0	130	1	1	0	1740.81	2	0	97.5	0	1	70	0	360	342.621	1	0	3	0	0	0	520	90	1	0	0	0	0	70	0	2.8	1	0	0
54	30	90	0	0	0	0	0		4	0	0	12	0	1	0	30	1	1	0	0	2	0	10	0	1	0		760	0			4		0	0	510	10	1	0	0	0	0	0		30	1	0	1
58	0	120	0	0	0	0	0	0	1	0	0	6.5	1	0	0	10	1	1	150	769.76	2	0	0	0	1	0	0	620	769.759	1	0	7	0	0	0	540	0	1	0	0	0	0	0	0	45	1	0	0
37	0	420	0	0	0	0	0		1	0	1	15	1	1	1	90	1	1	0	2701.78	1	130	0	0	1	260		30	2701.78			9		0	0	420	90	1	0	0	0	0	200		45	1	0	1
51	0	140	0	0	0	0	0	0	1	0	0	6.5	0	1	0	635.2941176	0	1	0	1248.25	2	0	84.70588235	1	0	0	0	0	0	0	0	1	0	0	0	570	10	1	0	0	0	0	0	0	0	1	0	0
33	0	150	0	1	1	0	0		2	0	0	12	1	1	1	60	1	1	0	1212.93	4	0	0	0	1	340		0	911.388			9		0	0	720	170	0	0	0	1	0	340		30	0	0	1
47	17.5	120	0	0	0	0	0		1	17.5	0	4.5	1	0	0	17.5	1	1	0	2433.18	2	0	17.5	0	1	140		600	911.388			12		0	0	510	0	1	0	0	0	0	140		40	1	0	1
49	192	110	0	1	1	0	0		2	60	0	8	1	1	0	216	0	1	0	1212.93	3	0	12	0	1	210		190	399.004			3		0	0	450	0	1	0	0	0	0	210		9	1	0	1
25	0	220	0	0	0	0	0	0	1	0	0	8	0	1	0	140	0	1	0	769.76	2	90	0	0	1	70	0	0	0	0	0	9	0	0	0	800	70	1	50	0	1	1	70	0	0	0	0	0
81	0	190	0	0	0	0	0	1	3	0	0	6.5	0	1	0	80	0	1	0	1740.81	4	0	30	0	0	340	0	0	0	0	0	12	0	1	0	670	0	1	130	0	0	0	190	0	0	1	0	0
65	0	180	0	0	0	0	0		2	0	1	4.5	0	1	0	330.8823529	0	1	0	313.399	2	0	119.1176471	1	0	250		0	0			1		0	0	470	0	1	90	0	0	0	250		0	1	0	1
48	20	290	0	0	0	0	0	1	1	0	1	17	1	1	0	130	1	1	0	3601.12	3	0	20	0	1	20	1	0	1723.23	0	1	12	0	0	0	640	240	1	80	0	1	0	0	9	30	0	0	0
24	0	160	0	0	0	0	0	0	2	0	0	15	1	1	0	20	1	1	0	2235.26	4	60	30	0	1	310	0	0	769.759	0	1	2	0	0	1	350	510	1	0	0	0	0	190	0	35	0	0	0
56	0	260	0	0	0	0	0		2	0	0	15	1	0	0	37.5	1	1	0	0	2	120	12.5	0	1	110		330	0			7		0	0	480	30	1	60	0	0	0	110		37	1	0	1
13	0	170	0	2	2	0	0	0	2	0	0	8	0	0	0	20	0	1	0	2235.26	4	160	0	0	0	200	0	0	0	0	0	1	0	0	0	670	100	1	0	120	1	0	200	0	0	0	0	0
61	0	120	0	0	0	0	0		2	0	0	12	0	0	0	0	1	0	0	0	2	0	0	0	1	170		490	0			2		0	0	530	0	1	130	0	0	0	170		40	1	0	1
59	0	120	0	0	0	0	0	0	1	0	0	6.5	0	0	0	156.25	0	1	230	1248.25	2	0	93.75	0	0	220	0	0	0	0	0	9	0	1	0	490	80	1	50	0	0	0	220	0	0	1	0	0
49	0	160	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	1	0	1371.9	3	0	0	0	1	190	0	620	1371.9	0	0	18	0	0	0	470	0	1	0	0	0	0	190	0	0	1	0	0
61	0	90	0	0	0	0	0	0	1	0	0	12	1	0	0	10	1	1	0	2730.65	4	20	0	0	1	90	0	560	2205.47	1	0	12	0	0	0	470	200	1	0	0	0	0	70	0	40	1	0	0
16	0	220	0	1	1	0	0	0	2	10	0	6.5	0	1	0	10	0	1	0	769.76	4	0	90	0	0	120	0	0	0	0	0	1	0	0	1	440	310	1	0	240	0	0	60	0	0	0	0	0
49	0	100	0	0	0	0	0	0	1	60	0	8	0	1	0	170	0	0	0	1539.52	4	0	50	1	0	310	0	0	0	0	0	7	0	0	0	500	30	1	220	0	1	0	310	0	0	0	0	0
34	108	90	0	0	1	1	1	0	1	48	1	11	0	1	0	108	0	1	0	2235.26	3	0	36	0	1	90	1	450	1124.66	0	0	9	0	0	1	510	0	1	0	0	0	0	90	4	0	0	0	0
68	430	100	0	0	0	0	0	1	2	0	0	2.5	0	1	0	180	0	0	0	1248.25	3	0	10	0	0	110	0	0	0	0	0	12	0	1	1	520	90	1	0	0	0	0	110	0	0	0	0	0
61	0	100	0	0	0	0	0		2	0	0	8	1	1	0	220	1	1	0	0	3	0	0	0	1	80		450	0			6		0	0	410	90	1	90	0	0	0	80		35.5	1	0	1
43	10	230	0	2	2	0	0	0	1	10	1	17	0	0	0	10	0	1	70	3601.12	4	0	10	0	1	30	1	620	3232.29	0	0	7	0	0	0	380	70	1	0	0	0	0	0	26	0	1	0	0
53	0	190	0	0	0	0	0	0	1	0	0	6.5	1	0	0	0	1	1	0	2235.26	6	0	0	0	1	0	0	580	769.759	1	0	12	0	0	0	550	120	1	0	0	0	0	0	0	40	1	0	0
78	0	110	0	0	0	0	0	1	1	0	0	2.5	0	1	0	220	0	1	0	760.95	2	0	50	1	0	300	0	0	0	0	0	10	0	0	0	760	0	1	0	0	1	0	300	0	0	0	0	0
44	0	70	0	0	0	0	0		2	0	1	17	1	1	0	0	1	1	0	3765.14	2	0	0	0	1	30		1260	3297.19			2		0	0	80	0	1	0	0	0	0	30		40	1	0	1
24	40	120	0	0	0	0	0		1	0	0	12	1	0	0	0	0	1	0	313.399	3	440	160	0	0	110		0	0			5		0	0	540	30	1	0	0	0	0	110		0	1	0	1
18	0	180	0	1	1	0	0	0	2	0	0	8	0	1	0	10	0	1	0	760.95	4	50	20	0	1	160	0	190	342.621	0	0	10	0	0	0	650	100	0	0	80	0	0	160	0	0	1	0	0
18	0	140	0	0	0	0	0		1	0	0	4.5	1	1	0	40	0	1	0	0	4	70	30	0	1	0		540	0			9		0	0	570	0	1	0	50	1	0	0		16	0	0	1
27	0	100	0	0	0	0	0		1	0	0	12	1	0	0	0	1	1	0	3765.14	4	0	0	0	1	260		550	2701.78			7		0	1	500	30	1	0	0	0	0	260		40	0	0	1
28	335.8333333	120	0	2	2	0	0		2	0	0	4.5	1	0	0	97.5	0	1	0	313.399	4	0	86.66666667	0	1	170		0	0			2		0	0	630	0	0	0	0	0	1	100		0	1	0	1
26	0	170	0	0	0	0	0	1	2	0	1	17	1	0	0	0	0	1	10	5502.96	6	20	120	0	1	60	1	120	2419.38	0	1	14	0	0	0	410	100	1	110	320	0	0	60	5	18	1	0	0
42	10	100	0	2	2	0	0	0	1	0	0	15	1	0	0	40	1	1	0	5502.96	5	0	60	0	1	140	0	610	3232.29	1	0	13	0	0	0	460	20	0	0	0	0	0	140	0	0	1	0	0
45	0	110	0	1	1	0	0	0	1	0	0	8	0	0	0	0	0	1	0	2235.26	4	0	0	0	1	150	0	550	2205.47	0	0	1	0	0	1	440	120	1	70	0	0	0	90	0	0	0	0	0
54	0	120	0	0	0	0	0		1	0	0	2.5	1	0	0	70	1	1	0	911.388	1	0	0	0	1	0		460	911.388			2		0	0	640	0	1	150	0	0	0	0		35	1	0	1
63	0	240	0	0	0	0	0		2	0	0	11	0	1	0	188.4615385	0	1	0	313.399	2	0	161.5384615	1	0	300		0	0			15		0	0	510	40	1	0	0	0	0	130		0	1	0	1
54	0	260	0	1	1	0	0	1	1	0	0	8	1	0	0	20	1	0	0	2664.18	4	0	0	0	1	50	0	0	1124.66	1	0	15	0	0	0	710	130	1	270	0	1	0	50	0	35	0	0	0
77	0	140	0	0	0	0	0		2	0	0	4.5	0	1	0	50	0	1	0	313.399	2	0	490	1	0	200		0	0			9		0	0	410	150	1	0	0	0	0	200		0	1	0	1
70	0	270	0	2	2	0	0		1	0	0	8	0	1	0	170	0	1	0	0	7	0	0	0	0	320		0	0			5		1	0	510	40	1	130	0	0	0	320		0	1	0	1
29	15.625	160	0	0	0	0	0	0	1	46.875	0	11	1	1	0	109.375	1	1	0	1539.52	2	0	78.125	0	1	50	0	80	769.759	1	0	9	0	0	1	600	300	1	0	0	0	0	50	0	40	0	0	0
54	0	140	0	0	0	0	0	0	5	55.71428571	0	15	0	1	0	153.2142857	0	1	0	1539.52	3	30	181.0714286	0	1	130	0	0	0	0	0	9	0	0	0	430	90	1	10	220	0	1	60	0	0	1	0	0
42	30	150	1	2	3	0	1	0	1	0	0	6.5	1	0	0	20	1	1	0	1248.25	5	0	0	0	1	60	0	650	1124.66	1	0	9	0	0	0	480	50	1	0	0	0	0	60	0	40	1	0	0
50	0	260	0	0	0	0	0	0	1	0	0	8	0	1	0	70	0	1	100	3601.12	5	0	10	1	0	90	0	0	0	0	0	1	0	0	1	560	350	1	0	0	0	0	90	0	0	0	0	0
70	0	90	0	0	0	0	0		1	0	0	8	0	0	0	139.3333333	0	1	0	0	1	0	50.66666667	0	0	360		0	0			7		1	0	450	280	1	70	0	0	0	360		0	1	0	1
56	0	150	0	0	0	0	0	1	2	0	0	2.5	0	0	0	0	0	1	70	313.4	1	0	60	0	0	240	0	0	0	0	0	1	0	1	0	570	210	1	140	0	1	0	240	0	0	0	0	0
49	110	110	1	2	3	0	1	0	2	0	0	12	0	1	0	50	0	1	0	769.76	5	80	140	1	0	300	0	0	0	0	0	5	0	0	1	420	230	0	0	0	0	0	210	0	0	0	0	0
