 Roll       Pitch     Heave    Surge      Sway      Yaw       Wave     Wind
-1.61400   3.73900  -0.03412  -0.27370   0.01919   0.16110   0.54860  15.880
-1.22400   4.19500  -0.02274  -0.25260  -0.01937   0.20490   0.20930  15.977
-1.12100   4.36100  -0.00184  -0.25700  -0.05107   0.41060  -0.20610  15.970
-1.08100   4.31700   0.01852  -0.27670  -0.06343   0.42120  -0.95750  16.616
-1.12700   3.75000   0.04229  -0.31020  -0.06277   0.44380  -0.91250  16.933
-1.30900   3.24000   0.06224  -0.34780  -0.04857   0.38520  -0.59720  18.330
-1.61900   2.31400   0.07539  -0.38280  -0.02778   0.22930  -0.24230  17.484
-2.10300   1.57800   0.07764  -0.40780  -0.00565   0.13060   0.17050  16.950
-2.28300   0.70230   0.06786  -0.41610   0.01554   0.19040   0.52920  16.786
-2.65100   0.23190   0.04900  -0.40540   0.03258   0.26780   0.72220  16.750
-3.13400   0.02695   0.02357  -0.37560   0.04631   0.20930   0.73110  16.740
-3.19000   0.32050  -0.00343  -0.32600   0.05652   0.49940   0.33120  16.774
-3.24000   0.80810  -0.02977  -0.25640   0.06352   0.56660  -0.49490  16.369
-3.23900   1.84200  -0.04598  -0.19750   0.06343   0.49170  -0.61630  17.175
-3.24100   2.79500  -0.05444  -0.14260   0.05449   0.29440  -0.38410  17.286
-3.14200   3.74200  -0.04953  -0.10850   0.03289   0.07640  -0.30260  18.007
-2.82300   4.58200  -0.03039  -0.09740   0.00023  -0.17700  -0.04280  18.022
-2.54100   4.69800  -0.00075  -0.09940  -0.03718  -0.08628   0.10160  17.699
-2.14900   4.52900   0.03455  -0.10890  -0.06924   0.06860   0.26420  17.640
-1.61400   3.56000   0.06555  -0.11990  -0.08380   0.20020   0.23660  17.965
-1.38300   2.16900   0.08440  -0.12620  -0.07800   0.39140  -0.01309  16.731
-1.34800   0.79610   0.08520  -0.11890  -0.05280   0.48780  -0.37240  16.060
-1.62200   0.15230   0.06540  -0.09010  -0.01386   0.70050  -0.77010  17.068
-1.96000  -0.02400   0.04239  -0.06050   0.01007   0.60330  -0.43800  17.948
-2.10700   0.27480   0.01574  -0.02471   0.02191   0.55510  -0.02451  18.299
-2.24200   0.77740  -0.00166   0.00590   0.01864   0.47840   0.14010  17.790
-2.29200   1.65700  -0.00899   0.04374   0.00875   0.40850   0.07450  17.299
-2.28900   2.14400  -0.00518   0.09210   0.00146   0.22070  -0.01700  18.011
-2.28500   2.33000   0.00590   0.14000   0.00021  -0.03346   0.00638  17.521
-2.24700   2.29200   0.01946   0.18610   0.00380  -0.36870   0.30080  16.890
-2.27100   2.61000   0.03076   0.21710   0.00412  -0.46380   0.32560  16.441
-2.24100   2.85600   0.03853   0.23390   0.00293  -0.29220   0.32200  17.197
-2.24200   3.70400   0.04196   0.23950   0.00619   0.27000   0.30890  17.772
-2.24300   3.95800   0.04066   0.23730   0.01287   0.69820   0.66900  16.949
-2.24600   3.74400   0.03253   0.23340   0.02502   0.83260   0.31670  17.147
-2.25000   3.24100   0.01735   0.23410   0.03516   0.44320  -0.35320  16.249
-2.19500   2.16600  -0.00412   0.23940   0.03728  -0.03620  -0.68180  15.832
-2.14600   1.43400  -0.02406   0.24230   0.02766  -0.08010  -0.53810  16.258
-2.00500   0.83900  -0.03772   0.23450   0.00900   0.22690   0.24260  17.054
-1.60700   1.15600  -0.03613   0.21550  -0.00809   0.66530   0.75020  17.664
-1.07800   1.61000  -0.01757   0.18900  -0.02173   0.88660   0.54880  18.583
-0.61920   2.09800   0.01693   0.16550  -0.03273   0.58660   0.38110  18.167
-0.29380   2.16200   0.05790   0.15080  -0.04414   0.02169   0.28490  18.027
-0.21620   2.11400   0.08290   0.14680  -0.05605  -0.24750   0.23590  17.733
-0.22060   1.98300   0.09830   0.15000  -0.07180  -0.21460   0.05910  17.036
-0.25170   1.84300   0.09520   0.16230  -0.07940  -0.10850   0.14840  16.642
-0.63120   2.04400   0.07640   0.18370  -0.07410   0.12690   0.26480  16.781
-1.03380   2.15400   0.04620   0.21300  -0.05639   0.25080   0.28530  16.035
-1.61100   2.18900   0.01340   0.24620  -0.03752   0.38630  -0.06400  15.869
-2.20300   2.13400  -0.01438   0.27760  -0.03057   0.26160  -0.12840  15.994
-2.72500   1.97500  -0.03201   0.29960  -0.04322   0.17180  -0.08990  15.894
-3.07800   2.02400  -0.03709   0.30560  -0.07458   0.14020  -0.12460  16.637
-3.19000   2.13400  -0.02542   0.28970  -0.11890   0.47960   0.18190  17.144
-3.15500   2.52600  -0.00604   0.26390  -0.14440   0.56640   0.37750  17.506
-3.18800   3.23800   0.02181   0.22680  -0.15550   0.58500   0.23590  17.631
-3.18800   3.70100   0.04549   0.19100  -0.14920   0.59110   0.21310  17.299
-3.19500   3.73200   0.06041   0.15830  -0.13420   0.33470   0.26270  17.246
-3.11200   3.72200   0.06293   0.12810  -0.11960   0.24610   0.32410  16.608
-2.82100   3.24200   0.05341   0.10040  -0.11160   0.21140   0.46260  17.555
-2.56200   2.51800   0.03596   0.07470  -0.11000   0.08010   0.22470  16.867
-2.19900   1.75800   0.01618   0.05605  -0.11360   0.06881  -0.02755  16.808
-1.70700   0.72430  -0.00126   0.04915  -0.11770   0.11660  -0.29930  16.210
-1.17000   0.21710  -0.01420   0.05084  -0.11720   0.14270  -0.29410  16.059
-0.99200   0.08830  -0.01765   0.05493  -0.11070   0.38280  -0.32840  15.887
-0.64840   0.44180  -0.01267   0.05922  -0.09670   0.63620  -0.28970  16.212
-0.50140   1.15000  -0.00027   0.06553  -0.07880   0.60790   0.23490  15.848
-0.37560   2.18100   0.01626   0.07424  -0.06310   0.45650   0.15220  15.348
-0.45780   3.24000   0.03196   0.08440  -0.05425   0.17840  -0.43840  15.574
-0.62850   4.07500   0.04369   0.09190  -0.05536   0.08280  -0.69750  16.007
-0.63940   4.49800   0.04991   0.09070  -0.06383   0.18610  -0.45140  15.169
-0.93910   4.60400   0.05092   0.07310  -0.07687   0.20540  -0.07280  15.420
-0.98630   4.30100   0.04947   0.03637  -0.08760   0.39230   0.04080  16.264
-1.08300   3.69800   0.04712  -0.01444  -0.09080   0.47640  -0.06230  16.531
-1.21500   3.10400   0.04596  -0.05394  -0.08890   0.48600  -0.18770  17.527
-1.62400   2.10300   0.04455  -0.09730  -0.08190   0.43220   0.01284  16.924
-2.10400   1.07900   0.04282  -0.13360  -0.07210   0.48150   0.17800  16.608
-2.24900   0.44480   0.03751  -0.16310  -0.05695   0.50890   0.55160  17.286
-2.61300   0.20990   0.02568  -0.17600  -0.03819   0.31580   0.50030  16.939
-2.80900   0.67370   0.00554  -0.16650  -0.01697   0.17740   0.24470  16.351
-3.11100   1.51800  -0.02085  -0.13750   0.00183   0.21120   0.03036  16.517
-3.14300   2.72400  -0.04451  -0.10770   0.01399   0.34540   0.07240  16.069
-3.14300   4.07000  -0.05765  -0.09350   0.01588   0.18810   0.52720  16.326
-3.11600   5.21400  -0.04887  -0.11080  -0.00447   0.04259   0.72820  16.941
-2.87500   5.60800  -0.02468  -0.14180  -0.03225   0.08552   0.64420  16.687
-2.65100   5.12200   0.01444  -0.18060  -0.06442   0.39150   0.04680  16.998
-2.50600   3.72400   0.05289  -0.21340  -0.08140   0.53100  -0.68390  16.108
-2.45700   1.84500   0.07889  -0.23710  -0.07480   0.49930  -0.89470  15.135
-2.45700   0.40680   0.08410  -0.25170  -0.04466   0.43220  -0.54220  15.618
-2.50400  -0.32560   0.07230  -0.25980  -0.00457   0.21200   0.08940  15.325
-2.63000  -0.04360   0.04981  -0.25760   0.03355   0.45520   0.43390  17.202
-2.64800   0.70560   0.02725  -0.23820   0.05893   0.74390   0.46720  17.253
-2.60100   1.63400   0.00971  -0.19850   0.06927   0.84780   0.08530  15.818
-2.24600   2.26900  -0.00004  -0.14330   0.06832   0.30150  -0.17660  17.060
-2.08300   2.67400  -0.00164  -0.10120   0.05852  -0.13150  -0.13110  16.984
-1.61200   2.88500   0.00042  -0.06390   0.03874  -0.43060   0.05080  17.064
-1.28800   3.21000   0.00581  -0.04393   0.01612  -0.31170   0.35810  17.151
-1.08800   3.70100   0.01495  -0.03814  -0.00230  -0.14790   0.59310  17.504
-0.98600   3.84600   0.02581  -0.03808  -0.00973   0.20940   0.49620  17.478
-0.95200   3.73600   0.03600  -0.03859  -0.00162   0.42990   0.02242  16.676
-1.03500   3.41800   0.04076  -0.03826   0.02090   0.39810  -0.27240  16.790
-1.17000   2.80700   0.03736  -0.04024   0.05265   0.34740  -0.33930  15.778
-1.61400   2.27900   0.02638  -0.04743   0.08650   0.21860  -0.28560  16.635
-2.19600   2.13600   0.01007  -0.05968   0.12480   0.53670  -0.31290  16.249
-2.65900   2.27200  -0.00124  -0.07007   0.15350   0.79860  -0.17790  16.641
-3.18600   2.27900  -0.00954  -0.08480   0.18140   0.59260  -0.00765  17.016
-3.35000   2.26900  -0.01047  -0.10340   0.19470   0.15300   0.42260  17.331
-3.70200   2.27300  -0.00465  -0.12220   0.18830  -0.11070   0.78720  17.469
-3.87700   1.89000   0.00609  -0.13000   0.16340  -0.28060   0.82710  18.084
-3.56700   1.24700   0.01794  -0.11960   0.12870  -0.24910   0.69750  17.382
-3.24900   0.72540   0.02850  -0.08730   0.09620  -0.12220   0.39220  16.796
-2.69100   0.44480   0.03557  -0.03535   0.07650  -0.18440   0.07130  17.124
-2.26100   0.73060   0.03763   0.02510   0.07390  -0.27900  -0.26180  16.742
-2.09900   1.67400   0.03580   0.09530   0.08710  -0.16370  -0.48590  17.043
-1.70100   2.72800   0.03368   0.14010   0.10250   0.17340  -0.56540  17.020
-1.61300   3.73500   0.03354   0.17440   0.11780   0.53430  -0.69720  16.527
-1.60900   4.63900   0.03659   0.18970   0.12630   1.07700  -0.84860  16.262
-1.34400   4.97400   0.04135   0.18810   0.12360   1.02150  -0.53050  16.667
-1.16900   4.40900   0.04510   0.17290   0.10890   0.58180  -0.16180  16.306
-1.07900   3.70300   0.04425   0.15120   0.08990  -0.03478   0.29970  16.422
-1.03100   2.56200   0.03814   0.12750   0.06780  -0.41270   0.79160  16.346
-1.07600   1.61000   0.02745   0.10860   0.04612  -0.50110   1.13390  16.975
-1.08300   0.71470   0.01674   0.09870   0.02741  -0.30150   0.99140  16.999
-1.17100   0.31630   0.00571   0.10340   0.01762   0.02910   0.83460  17.712
-1.26600   0.23970  -0.00112   0.12030   0.02509   0.18890   0.58760  17.129
-1.61400   0.46570  -0.00635   0.14950   0.04602   0.12050   0.10290  17.167
-2.10700   1.20000  -0.01045   0.18490   0.07032   0.11610  -0.19340  16.883
-2.65100   2.28800  -0.01220   0.21840   0.08490   0.18360  -0.15540  16.762
-3.14500   3.45100  -0.01090   0.24500   0.08500   0.12600  -0.23440  17.236
-3.38600   4.16300  -0.00522   0.26200   0.07260   0.15510  -0.50120  16.969
-3.72300   4.59100   0.00300   0.27240   0.05427   0.31710  -0.70390  16.555
-3.76100   4.15300   0.01255   0.27400   0.03709   0.32410  -0.58710  16.102
-3.39900   3.36600   0.02297   0.26220   0.02304   0.26410  -0.29130  15.717
-3.28700   2.44800   0.03434   0.23320   0.01262   0.15970   0.07060  15.614
-3.15200   2.03000   0.04369   0.20330   0.00707   0.18980   0.34220  16.415
-2.96200   1.64600   0.05427   0.17000   0.00343   0.33570   0.28340  17.224
-2.64700   1.10600   0.06351   0.14460   0.00333   0.31990   0.20360  17.112
-2.25100   0.76450   0.06693   0.13610   0.00605  -0.06700   0.08430  16.743
-2.05600   0.75500   0.06209   0.14390   0.00859  -0.25570   0.13560  16.795
-1.61600   1.19500   0.04806   0.16600   0.00732  -0.29020   0.44840  16.475
-1.33900   1.99200   0.03052   0.19120   0.00351  -0.02374   0.20780  16.553
-1.16600   2.84000   0.01486   0.21430  -0.00171   0.24670   0.02443  16.786
-1.12300   3.70100   0.00550   0.23000  -0.01040   0.25370   0.30010  16.908
-1.17000   3.74400   0.00465   0.23210  -0.02779   0.32960   0.35430  16.600
-1.21800   3.70300   0.00891   0.22080  -0.04585   0.35200   0.24660  16.228
-1.37500   3.22800   0.01495   0.20200  -0.06893   0.37890   0.05510  16.557
-1.61300   2.56700   0.01584   0.18470  -0.09090   0.20330  -0.18820  16.258
-1.61500   2.11200   0.01015   0.16960  -0.11050  -0.07841  -0.04930  15.636
-1.69200   1.84200   0.00142   0.15430  -0.12520  -0.20590   0.12450  15.875
-2.05400   1.84200  -0.00587   0.13700  -0.13060  -0.11220   0.06120  16.539
-2.15000   2.14000  -0.00659   0.11700  -0.12600   0.12680   0.07940  16.821
-2.28900   2.68400   0.00120   0.09410  -0.11440   0.16510   0.13340  16.118
-2.65000   2.84400   0.01594   0.06950  -0.10460   0.04920   0.09000  16.202
-3.14100   3.06800   0.03570   0.04289  -0.10010   0.15980  -0.28790  15.772
-3.31200   2.98300   0.04691   0.02745  -0.10140   0.12630  -0.39890  15.409
-3.34000   2.72600   0.05207   0.00974  -0.10740   0.12610  -0.21470  14.988
-3.33800   2.72600   0.04797  -0.01277  -0.11560   0.15180   0.07290  14.378
-3.23500   2.73200   0.03908  -0.04323  -0.12450   0.16790   0.01980  14.859
-3.13500   2.78900   0.02811  -0.07235  -0.13140   0.31890   0.25090  14.665
-2.65000   2.83600   0.01622  -0.09610  -0.13700   0.41010   0.27800  14.584
-2.24500   2.73100   0.00607  -0.11260  -0.14010   0.36960   0.02987  14.753
-2.00700   2.20300  -0.00026  -0.12280  -0.14110  -0.05300  -0.04270  15.424
-1.62700   1.92600  -0.00216  -0.12980  -0.14660  -0.34500   0.08120  15.586
-1.34600   1.61400   0.00159  -0.13830  -0.16520  -0.32470   0.29080  15.271
-1.21400   1.54300   0.00814  -0.14590  -0.18520  -0.09098   0.49250  16.767
-1.08900   1.78300   0.01576  -0.15050  -0.20470   0.34480   0.42060  17.027
-1.03300   2.12600   0.02138  -0.14350  -0.21250   0.41520   0.00080  16.698
-1.07300   2.60500   0.02198  -0.12800  -0.20600   0.28020  -0.28650  15.562
-1.16000   2.99200   0.01969  -0.11010  -0.18990   0.01939  -0.51800  15.500
-1.60400   3.45200   0.01801  -0.10190  -0.17120  -0.07818  -0.44590  15.620
-2.05500   3.70300   0.02094  -0.11070  -0.15470   0.06508  -0.40610  16.223
-2.27100   3.74700   0.02972  -0.14060  -0.13860   0.32560  -0.00963  16.533
-2.77600   3.76100   0.03925  -0.17570  -0.12760   0.26120   0.19950  16.733
-3.19100   3.49600   0.04486  -0.21270  -0.12080   0.22000   0.42820  16.606
-3.23800   2.83500   0.04059  -0.23280  -0.12000   0.23350   0.55310  16.683
-3.24100   1.99700   0.02352  -0.24380  -0.12190   0.25620   0.52300  16.596
-3.12300   1.57300  -0.00164  -0.24300  -0.12500   0.28310   0.39880  16.571
-2.65000   1.55700  -0.02537  -0.23630  -0.12740   0.12830   0.32250  16.797
-2.29800   1.84300  -0.03712  -0.22910  -0.12950   0.02787   0.19750  16.855
-2.09900   2.13000  -0.03200  -0.22330  -0.12970  -0.03473   0.21760  16.786
-2.05400   2.12200  -0.01022  -0.21820  -0.12770  -0.04381   0.12100  16.744
-2.00900   2.19700   0.01815  -0.21250  -0.12530  -0.03309  -0.29080  16.102
-1.61800   2.30000   0.04490  -0.20570  -0.12110   0.08244  -0.11740  16.469
-1.61500   2.84600   0.06268  -0.19610  -0.10910   0.20770  -0.12980  16.758
-1.62400   3.24200   0.06712  -0.18790  -0.09090   0.15690  -0.26150  16.492
-2.00900   3.70000   0.06252  -0.17900  -0.06150   0.11970  -0.41780  15.920
-2.10200   3.80300   0.05148  -0.17340  -0.02926   0.01795  -0.10390  16.599
-2.25000   3.74300   0.03771  -0.17340  -0.00095   0.06128  -0.10950  16.137
-2.57900   3.25600   0.02411  -0.18050   0.02312   0.18320  -0.04320  15.746
-2.77500   2.84700   0.01276  -0.19350   0.03987   0.50750  -0.00967  16.265
-2.83000   2.27400   0.00356  -0.20570   0.04645   0.61820   0.01807  16.348
-2.82200   2.13000  -0.00401  -0.21720   0.04229   0.51860   0.48120  16.871
-2.64900   1.99300  -0.01071  -0.22570   0.02707   0.17500   0.67030  16.409
-2.29100   1.90400  -0.01762  -0.22280  -0.00059  -0.02923   0.63840  16.179
-2.18300   2.01600  -0.02178  -0.20530  -0.01844   0.06717   0.42880  15.944
-2.06000   2.13000  -0.02405  -0.17320  -0.02838   0.35100   0.09470  15.593
-1.70200   2.24400  -0.02034  -0.13630  -0.01824   0.33430  -0.12790  15.280
-1.66100   2.51100  -0.00856  -0.10720   0.00882   0.09580  -0.29280  15.590
-2.00800   2.84500   0.01351  -0.09200   0.04165  -0.10396  -0.37940  16.180
-2.19700   3.58400   0.04380  -0.09210   0.07148  -0.03995  -0.63520  15.490
-2.45700   3.74300   0.07831  -0.10460   0.09710   0.33090  -0.64250  16.716
-2.63800   3.72900   0.10720  -0.12340   0.12230   0.49470  -0.29410  17.050
-2.65000   3.57200   0.11800  -0.13940   0.14360   0.46680   0.10320  17.166
-2.68500   2.83200   0.10230  -0.14770   0.16550   0.13460   0.52810  16.547
-2.64700   2.25400   0.07000  -0.13810   0.17720  -0.14110   0.97490  16.189
-2.30100   1.68200   0.01606  -0.10470   0.18720  -0.02698   0.81300  16.199
-2.15600   1.03000  -0.03852  -0.05170   0.19780   0.25940   0.47760  15.837
-2.01300   0.72150  -0.07579   0.00162   0.20760   0.56850   0.35610  16.024
-1.61600   0.71980  -0.09190   0.05145   0.21570   0.40470   0.46190  15.994
-1.61500   0.78680  -0.08090   0.09240   0.21500   0.14940   0.37910  16.435
-1.61300   1.74500  -0.04472   0.12160   0.19930   0.24520   0.08810  17.040
-1.66500   2.50500   0.00372   0.14010   0.17280   0.47190  -0.33170  17.645
-1.63800   3.45400   0.05294   0.15140   0.14390   0.81150  -0.42800  17.877
-1.61500   4.17000   0.09520   0.15700   0.12390   0.50420  -0.33200  18.043
-1.61300   4.56700   0.11190   0.15690   0.11740   0.18740  -0.33200  17.859
-1.69300   4.54800   0.11360   0.15530   0.11270  -0.09990  -0.23480  17.352
-2.00800   3.74500   0.09830   0.15890   0.10870   0.01871   0.09510  17.166
-2.10500   2.61600   0.07020   0.17470   0.11010   0.29390   0.39860  16.153
-2.11900   0.75860   0.03246   0.20370   0.12280   0.31660   0.61280  15.038
-2.24300  -0.29020   0.00006   0.23640   0.14160   0.18690   0.47950  15.504
-2.50800  -0.97200  -0.02381   0.27510   0.16270  -0.12870   0.19180  15.503
-3.05100  -0.26560  -0.03400   0.31540   0.17740  -0.03475  -0.03151  16.522
-3.24000   0.78140  -0.02706   0.34840   0.18440   0.34010  -0.31700  16.625
-3.39200   2.84700   0.00088   0.36350   0.18690   0.77100  -0.46490  17.332
-3.76500   4.16700   0.02731   0.35460   0.18510   0.71220  -0.24750  18.157
-3.60700   5.33900   0.04944   0.33230   0.17160   0.43360   0.21210  18.492
-3.25400   5.91900   0.05476   0.30940   0.14080   0.19830   0.64580  18.035
-2.60600   5.31900   0.04096   0.29530   0.09390   0.00191   0.84040  17.443
-1.61000   3.73900   0.01312   0.29320   0.03810   0.12100   0.71950  16.738
-0.61980   1.60100  -0.02071   0.30350  -0.01043   0.19770   0.54310  15.615
 0.07916  -0.61390  -0.04405   0.32000  -0.03488   0.18720  -0.01463  15.007
 0.63170  -1.90500  -0.04718   0.33580  -0.03520  -0.19950  -0.67310  15.142
 0.89420  -1.99300  -0.02529   0.34980  -0.01932  -0.52850  -0.85850  15.958
 0.84680  -0.82600   0.02610   0.36200   0.00547  -0.54140  -0.99500  15.968
 0.48430   0.72830   0.07351   0.36840   0.02550  -0.07430  -0.90240  16.575
-0.00882   2.83300   0.11830   0.37580   0.04716   0.56680  -0.86190  16.453
-0.61030   4.59900   0.13700   0.38630   0.06472   0.75600  -0.51910  15.962
-1.08100   5.61700   0.12640   0.39450   0.07603   0.61330   0.27140  14.344
-1.61400   6.06100   0.09020   0.39400   0.07739   0.37830   0.88910  14.992
-2.10600   5.88900   0.03809   0.37550   0.06894   0.18410   1.04540  14.534
-2.51100   5.04100  -0.01315   0.33050   0.04935   0.04058   1.26100  14.620
-2.81600   3.69100  -0.04201   0.27240   0.02515  -0.20530   1.22170  14.802
-3.14900   1.84200  -0.04975   0.20910  -0.00041  -0.16560   0.38080  15.329
-3.32300  -0.19040  -0.03919   0.14310  -0.02500  -0.11530   0.08430  15.704
-3.34100  -1.49500  -0.02495   0.10560  -0.03834   0.06661   0.10520  16.178
-3.38900  -1.87000  -0.00883   0.08110  -0.04907   0.28950  -0.01743  16.758
-3.34700  -1.10500   0.00332   0.07270  -0.05609   0.34860  -0.21630  17.748
-3.33800   1.09300   0.01212   0.07790  -0.05866   0.29270  -0.06560  16.951
-3.24200   3.70000   0.02072   0.08510  -0.05488   0.25220  -0.21770  18.330
-3.15800   5.30700   0.03360   0.08320  -0.04592   0.37610  -0.31580  18.103
-3.09600   6.10000   0.05041   0.06510  -0.02775   0.22970  -0.27300  16.429
-2.77200   5.97700   0.06500   0.03254  -0.01050   0.14630  -0.51890  16.173
-2.61400   4.98200   0.07178  -0.01029   0.00170   0.17190  -0.58630  15.796
-2.19700   3.03400   0.06573  -0.06451   0.00852   0.13520  -0.51180  15.580
-1.96100   1.62900   0.05155  -0.10430   0.01214   0.18190  -0.10670  15.569
-1.34600   0.27560   0.02958  -0.14190   0.01771   0.23470   0.26380  15.837
-1.15300  -0.31680   0.00727  -0.16820   0.02339   0.40300   0.51790  15.621
-1.03900  -0.35820  -0.01100  -0.18060   0.02426   0.32400   0.63460  16.284
-1.02600   0.27340  -0.02168  -0.17720   0.01654   0.19590   0.70300  17.048
-0.98600   0.91520  -0.02269  -0.16200  -0.00255   0.20800   1.04040  16.561
-0.94000   2.01900  -0.01582  -0.14040  -0.03009   0.51860   0.93740  16.557
-0.69560   2.83600  -0.00295  -0.11800  -0.05876   0.68840   0.52890  16.365
-0.63980   3.70100   0.01085  -0.10030  -0.08030   0.50990  -0.16590  16.971
-0.68700   4.08200   0.02763  -0.08930  -0.09800   0.21550  -0.05530  16.367
